count$path$bad_name$	suggested_name
    1$_NO_HIGHERTAXON$Acaciacapsus appha$	Acaciacapsus sp_ms_appha
    1$_NO_HIGHERTAXON$Acanthosoma sp 1$	Acanthosoma sp_1
    6$_NO_HIGHERTAXON$Acanthosoma sp.$	Acanthosoma sp.
    6$_NO_HIGHERTAXON$Acanthosoma versicolor$	Acanthosoma sp_ms_versicolor
    3$_NO_HIGHERTAXON$Adelphocorisella sp$	Adelphocorisella sp
    1$_NO_HIGHERTAXON$Adelphocorisella sp_c$	Adelphocorisella sp_c
    4$_NO_HIGHERTAXON$Aeptini sp_gen1_sp1$	Aeptini sp_gen1_sp1
    2$_NO_HIGHERTAXON$Aglaophon variegatus$	Aglaophon sp_ms_variegatus
   12$_NO_HIGHERTAXON$Agramma sp_bbfr12_msp_082$	Agramma sp_bbfr12_msp_082
    4$_NO_HIGHERTAXON$Agraptocorixa sp_bbfr12_msp_087$	Agraptocorixa sp_bbfr12_msp_087
    2$_NO_HIGHERTAXON$Agriopocoris sp_n_sp$	Agriopocoris sp_n_sp
    1$_NO_HIGHERTAXON$Alcaeus sp$	Alcaeus sp
    1$_NO_HIGHERTAXON$Alcaeus sp_bbned11msp027$	Alcaeus sp_bbned11msp027
    1$_NO_HIGHERTAXON$Alloeorhynchus sp_bbfr12_msp_102$	Alloeorhynchus sp_bbfr12_msp_102
    1$_NO_HIGHERTAXON$Amorbus abdominalis$	Amorbus sp_ms_abdominalis
    1$_NO_HIGHERTAXON$Amorbus alternatus$	Amorbus sp_ms_alternatus
    2$_NO_HIGHERTAXON$Amorbus sp_6$	Amorbus sp_6
    1$_NO_HIGHERTAXON$Amorbus sp_bbfr12_msp_150$	Amorbus sp_bbfr12_msp_150
    3$_NO_HIGHERTAXON$Amphaces ferruginea$	Amphaces sp_ms_ferruginea
    4$_NO_HIGHERTAXON$Amphaces major$	Amphaces sp_ms_major
    4$_NO_HIGHERTAXON$Amphaces minor$	Amphaces sp_ms_minor
    2$_NO_HIGHERTAXON$Amphaces proxima$	Amphaces sp_ms_proxima
   27$_NO_HIGHERTAXON$Amphaces sp.$	Amphaces sp.
    5$_NO_HIGHERTAXON$Amphaces sp_ms_colesa$	Amphaces sp_ms_colesa
    4$_NO_HIGHERTAXON$Amphaces sp_ms_devonia$	Amphaces sp_ms_devonia
    3$_NO_HIGHERTAXON$Amphaces sp_ms_latumium$	Amphaces sp_ms_latumium
    7$_NO_HIGHERTAXON$Amphaces sp_ms_longus$	Amphaces sp_ms_longus
    2$_NO_HIGHERTAXON$Amphidexius suspensus$	Amphidexius sp_ms_suspensus
    2$_NO_HIGHERTAXON$Andriscus armatus$	Andriscus sp_ms_armatus
    2$_NO_HIGHERTAXON$Andriscus telifer$	Andriscus sp_ms_telifer
