rank	count	NAME_LSID

1=	2	urn:lsid:biodiversity.org.au:afd.name:330177
1=	2	urn:lsid:biodiversity.org.au:afd.name:354380
1=	2	urn:lsid:biodiversity.org.au:afd.name:357653
1=	2	urn:lsid:biodiversity.org.au:afd.name:367582
1=	2	urn:lsid:biodiversity.org.au:afd.name:367583
1=	2	urn:lsid:biodiversity.org.au:afd.name:380350
1=	2	urn:lsid:biodiversity.org.au:afd.name:393518
1=	2	urn:lsid:biodiversity.org.au:afd.name:397170
1=	2	urn:lsid:biodiversity.org.au:afd.name:424579
1=	2	urn:lsid:biodiversity.org.au:afd.name:455538
1=	2	urn:lsid:biodiversity.org.au:afd.name:457796
1=	2	urn:lsid:biodiversity.org.au:afd.name:457797
1=	2	urn:lsid:biodiversity.org.au:afd.name:459653
1=	2	urn:lsid:biodiversity.org.au:afd.name:459654
1=	2	urn:lsid:biodiversity.org.au:afd.name:462989
1=	2	urn:lsid:biodiversity.org.au:afd.name:468746
17=	1	urn:lsid:biodiversity.org.au:afd.name:255267
17=	1	urn:lsid:biodiversity.org.au:afd.name:255301
17=	1	urn:lsid:biodiversity.org.au:afd.name:256973
17=	1	urn:lsid:biodiversity.org.au:afd.name:257546
17=	1	urn:lsid:biodiversity.org.au:afd.name:257830
17=	1	urn:lsid:biodiversity.org.au:afd.name:257831
17=	1	urn:lsid:biodiversity.org.au:afd.name:258053
17=	1	urn:lsid:biodiversity.org.au:afd.name:258159
17=	1	urn:lsid:biodiversity.org.au:afd.name:258240
17=	1	urn:lsid:biodiversity.org.au:afd.name:258486
17=	1	urn:lsid:biodiversity.org.au:afd.name:258488
17=	1	urn:lsid:biodiversity.org.au:afd.name:259183
17=	1	urn:lsid:biodiversity.org.au:afd.name:259260
17=	1	urn:lsid:biodiversity.org.au:afd.name:259448
17=	1	urn:lsid:biodiversity.org.au:afd.name:261690
17=	1	urn:lsid:biodiversity.org.au:afd.name:263707
17=	1	urn:lsid:biodiversity.org.au:afd.name:264171
17=	1	urn:lsid:biodiversity.org.au:afd.name:264355
17=	1	urn:lsid:biodiversity.org.au:afd.name:264384
17=	1	urn:lsid:biodiversity.org.au:afd.name:264616
17=	1	urn:lsid:biodiversity.org.au:afd.name:264743
17=	1	urn:lsid:biodiversity.org.au:afd.name:265245
17=	1	urn:lsid:biodiversity.org.au:afd.name:265247
17=	1	urn:lsid:biodiversity.org.au:afd.name:265325
17=	1	urn:lsid:biodiversity.org.au:afd.name:265335
17=	1	urn:lsid:biodiversity.org.au:afd.name:265345
17=	1	urn:lsid:biodiversity.org.au:afd.name:265403
17=	1	urn:lsid:biodiversity.org.au:afd.name:265421
17=	1	urn:lsid:biodiversity.org.au:afd.name:265598
17=	1	urn:lsid:biodiversity.org.au:afd.name:266194
17=	1	urn:lsid:biodiversity.org.au:afd.name:266230
17=	1	urn:lsid:biodiversity.org.au:afd.name:266409
17=	1	urn:lsid:biodiversity.org.au:afd.name:266960
17=	1	urn:lsid:biodiversity.org.au:afd.name:267300
17=	1	urn:lsid:biodiversity.org.au:afd.name:267538
17=	1	urn:lsid:biodiversity.org.au:afd.name:267755
17=	1	urn:lsid:biodiversity.org.au:afd.name:267886
17=	1	urn:lsid:biodiversity.org.au:afd.name:267922
17=	1	urn:lsid:biodiversity.org.au:afd.name:267982
17=	1	urn:lsid:biodiversity.org.au:afd.name:267983
17=	1	urn:lsid:biodiversity.org.au:afd.name:268191
17=	1	urn:lsid:biodiversity.org.au:afd.name:268247
17=	1	urn:lsid:biodiversity.org.au:afd.name:268377
17=	1	urn:lsid:biodiversity.org.au:afd.name:268622
17=	1	urn:lsid:biodiversity.org.au:afd.name:268713
17=	1	urn:lsid:biodiversity.org.au:afd.name:268794
17=	1	urn:lsid:biodiversity.org.au:afd.name:269119
17=	1	urn:lsid:biodiversity.org.au:afd.name:269803
