rank	count	TAXON_URI
3=	1	http://biodiversity.org.au/afd.taxon/00d75006-b23c-44fa-87f7-b4ff960583f4
3=	1	http://biodiversity.org.au/afd.taxon/00dd38a7-b8b2-4c33-9f2d-f6217395e086
3=	1	http://biodiversity.org.au/afd.taxon/00e009f0-d1a4-4dd9-b19f-caff90241f92
3=	1	http://biodiversity.org.au/afd.taxon/00e1d74a-239b-4120-b3ba-4001e00ff5ca
3=	1	http://biodiversity.org.au/afd.taxon/00e489dd-71fc-42a4-ae43-efcc4d100d0a
3=	1	http://biodiversity.org.au/afd.taxon/00e82155-2621-4d93-9565-538bc7a3da98
3=	1	http://biodiversity.org.au/afd.taxon/00ec8af4-6388-4858-9d5e-d4baccb621e5
3=	1	http://biodiversity.org.au/afd.taxon/00f0b47b-90bf-4800-a320-199e8dc14295
3=	1	http://biodiversity.org.au/afd.taxon/00f29620-827c-46f7-91c7-7ebab5f56ca8
3=	1	http://biodiversity.org.au/afd.taxon/00f30921-852f-4f4a-91d1-b85959785c80
3=	1	http://biodiversity.org.au/afd.taxon/00f6f1b7-d5af-4623-a41d-bc1bdd4f3638
3=	1	http://biodiversity.org.au/afd.taxon/00fb2c32-f521-4f47-8673-972c96cfb2ec
3=	1	http://biodiversity.org.au/afd.taxon/00fb72f9-22f6-49ac-bfdb-bd798e2a79b9
3=	1	http://biodiversity.org.au/afd.taxon/0103ec76-15a8-4d92-a0e8-7d16a58beac7
3=	1	http://biodiversity.org.au/afd.taxon/0106ae88-ccce-4073-8a73-4571d0d83345
3=	1	http://biodiversity.org.au/afd.taxon/0106e71c-94a4-4bcf-96b2-83023bd38b8d
3=	1	http://biodiversity.org.au/afd.taxon/01097257-8c15-49c3-97be-e4ec9cff1a86
3=	1	http://biodiversity.org.au/afd.taxon/010a5917-1afd-46aa-8526-f133e5e7c715
3=	1	http://biodiversity.org.au/afd.taxon/010df993-ca52-461e-8149-ff28906848cc
3=	1	http://biodiversity.org.au/afd.taxon/0111660e-f4af-4e1d-a386-58cab73aec44
3=	1	http://biodiversity.org.au/afd.taxon/011705b4-5c82-47ab-ad6f-4fffcd54f088
3=	1	http://biodiversity.org.au/afd.taxon/01196e08-23a9-45e2-970f-d8a7435aecf3
3=	1	http://biodiversity.org.au/afd.taxon/011d7842-73ea-4626-b853-11bc8fa3cd5b
3=	1	http://biodiversity.org.au/afd.taxon/0121e235-c490-401b-a8fb-8061f4db9381
3=	1	http://biodiversity.org.au/afd.taxon/0121f89d-2382-4e83-99dc-eff1827a3425
3=	1	http://biodiversity.org.au/afd.taxon/012432d3-bd31-4de7-9691-760113a15cf7
3=	1	http://biodiversity.org.au/afd.taxon/0124f745-153f-4c0f-8392-71bded8215b7
3=	1	http://biodiversity.org.au/afd.taxon/01271eaf-2e97-41c5-97ad-27962e547c11
3=	1	http://biodiversity.org.au/afd.taxon/0132b2d3-21f2-4566-b44f-e0d90ff516d2
3=	1	http://biodiversity.org.au/afd.taxon/01361c19-a9f4-4704-8ea7-a4641e822053
3=	1	http://biodiversity.org.au/afd.taxon/013c0b1c-d968-4498-b7de-5285db210643
3=	1	http://biodiversity.org.au/afd.taxon/013c0b91-8383-4eb2-97a0-2470258c8368
3=	1	http://biodiversity.org.au/afd.taxon/013dcc7b-377c-4298-903c-81f6eb94b9ab
3=	1	http://biodiversity.org.au/afd.taxon/0140ccf5-8c85-4587-ac13-011a8911747c
3=	1	http://biodiversity.org.au/afd.taxon/01473ec8-b9dc-4838-a49d-bee9a78b7c5f
3=	1	http://biodiversity.org.au/afd.taxon/014a8fd3-e2c6-40c8-a7a0-dd9e933502de
3=	1	http://biodiversity.org.au/afd.taxon/014aeb98-a782-4160-90a3-03d347dd217e
3=	1	http://biodiversity.org.au/afd.taxon/014b553e-2744-4320-b44c-6ec2ffde96ff
3=	1	http://biodiversity.org.au/afd.taxon/014d0e56-e64e-4b17-9860-e077612ba07c
3=	1	http://biodiversity.org.au/afd.taxon/0152890f-efcd-4c33-9744-23310f61d6c0
3=	1	http://biodiversity.org.au/afd.taxon/015391b4-6282-4285-b41d-edd7c33ebbaf
3=	1	http://biodiversity.org.au/afd.taxon/01591098-09dd-4c9f-8fb9-a9cd46c38f58
3=	1	http://biodiversity.org.au/afd.taxon/01612ad5-3d62-4ec2-a8f7-ef816e5f7f18
3=	1	http://biodiversity.org.au/afd.taxon/01640767-9f6d-4875-bbdb-b8e3f74ca50a
3=	1	http://biodiversity.org.au/afd.taxon/0164b443-aeb6-4f63-b74d-0e008c935f90
3=	1	http://biodiversity.org.au/afd.taxon/0166abf3-3340-48b8-b831-caf9bccccd1a
3=	1	http://biodiversity.org.au/afd.taxon/016f0c17-eac8-41ec-aaf7-9f024bd89cbd
3=	1	http://biodiversity.org.au/afd.taxon/01746fa9-68a5-4ec8-b445-dd39c3992eb4
3=	1	http://biodiversity.org.au/afd.taxon/018637e3-c32a-4bb9-89f9-932e4955d86c
3=	1	http://biodiversity.org.au/afd.taxon/018802be-78aa-4c3a-8415-9b0ee8d85fb3
3=	1	http://biodiversity.org.au/afd.taxon/018a079a-e039-4c81-8ad9-d321d0cc1b78
3=	1	http://biodiversity.org.au/afd.taxon/018c7d13-be26-4c6b-a9a9-744b8cec4828
3=	1	http://biodiversity.org.au/afd.taxon/018d9084-cf98-486b-b11c-27d9ebcfddbd
3=	1	http://biodiversity.org.au/afd.taxon/01901599-6001-4b2d-bffa-c4df7120c83a
3=	1	http://biodiversity.org.au/afd.taxon/0192e91b-0881-45ea-90b1-e87ad752aca5
3=	1	http://biodiversity.org.au/afd.taxon/0193f347-bf13-4042-a51d-bd5a8f26e31b
3=	1	http://biodiversity.org.au/afd.taxon/019523f6-0310-4cfa-ba92-51f1276a2916
3=	1	http://biodiversity.org.au/afd.taxon/019ac61b-79b4-4b65-aeec-57d14bb333e5
3=	1	http://biodiversity.org.au/afd.taxon/019ca738-7498-4cff-9d8e-400bc63e4b04
3=	1	http://biodiversity.org.au/afd.taxon/01a1b108-eddf-4d1f-abb2-1b47359e17e1
3=	1	http://biodiversity.org.au/afd.taxon/01a210d6-6904-491b-9236-417c5afedd66
3=	1	http://biodiversity.org.au/afd.taxon/01a69c9e-8498-4864-9bb0-69713646d4b2
3=	1	http://biodiversity.org.au/afd.taxon/01a75bd2-82b1-45d2-bc13-e24c46e0954d
3=	1	http://biodiversity.org.au/afd.taxon/01a8357e-4313-4a83-9dc9-77e874bb770a
3=	1	http://biodiversity.org.au/afd.taxon/01aab40b-2d0d-4080-a18a-041c97f6a4b3
3=	1	http://biodiversity.org.au/afd.taxon/01ad5db4-15d9-4646-b299-ff10d3578192
3=	1	http://biodiversity.org.au/afd.taxon/01ae3381-aba1-42c4-9c90-0eae9026e419
3=	1	http://biodiversity.org.au/afd.taxon/01af1c83-1c7c-4e8e-829d-6f3102310eb1
3=	1	http://biodiversity.org.au/afd.taxon/01b224ca-7bd1-47f2-a303-b194b1565ba9
3=	1	http://biodiversity.org.au/afd.taxon/01b45e80-98b3-475d-86c2-06f54734eb8d
3=	1	http://biodiversity.org.au/afd.taxon/01b85e98-219b-443d-9072-ab2c03288fd2
3=	1	http://biodiversity.org.au/afd.taxon/01bbd8d8-6052-4e3a-a13e-2c7394b1dbbd
3=	1	http://biodiversity.org.au/afd.taxon/01bda072-20a6-42f0-92d8-31f79bd40aaf
3=	1	http://biodiversity.org.au/afd.taxon/01c0c628-23a7-44e8-a2b6-af6b98cb8f2d
3=	1	http://biodiversity.org.au/afd.taxon/01c72d7e-0e6a-487b-a2f9-be24e988daa7
3=	1	http://biodiversity.org.au/afd.taxon/01c79c9e-3b0d-4b99-b7c9-237c3a525bc4
3=	1	http://biodiversity.org.au/afd.taxon/01c987fe-d5f4-4605-b2b9-32ac3f078984
3=	1	http://biodiversity.org.au/afd.taxon/01cbe5f2-6986-4a55-9ef7-50fea63dca0e
3=	1	http://biodiversity.org.au/afd.taxon/01d3077d-ce34-4122-8e24-4148351a5242
3=	1	http://biodiversity.org.au/afd.taxon/01d72200-b34b-4ed5-b23c-8ff607bc7a87
3=	1	http://biodiversity.org.au/afd.taxon/01d857cc-7c35-43b9-803f-3561c88d097f
3=	1	http://biodiversity.org.au/afd.taxon/01d87c5b-c36c-4817-84be-b7420b9b081b
3=	1	http://biodiversity.org.au/afd.taxon/01dba660-790b-4834-a98f-55be7942ec5c
3=	1	http://biodiversity.org.au/afd.taxon/01ddaaa9-169d-4259-b072-b1c36890dd9e
3=	1	http://biodiversity.org.au/afd.taxon/01e2f9be-08c1-4bea-b750-baa7b5a77158
3=	1	http://biodiversity.org.au/afd.taxon/01e2fbe2-272b-4a98-9370-8802c5dafa86
3=	1	http://biodiversity.org.au/afd.taxon/01e54cd7-07c2-4dd6-9e00-0b9fe2d9dc6c
3=	1	http://biodiversity.org.au/afd.taxon/01e570df-cf5b-4dbc-b93b-8662cf279f37
3=	1	http://biodiversity.org.au/afd.taxon/01e63e91-0fb7-42f7-97d7-12056ec7c7f0
3=	1	http://biodiversity.org.au/afd.taxon/01eaa0d5-c8bb-4271-8d7c-e05f639b7cd0
3=	1	http://biodiversity.org.au/afd.taxon/01eca38b-df62-4767-917e-f44332493330
3=	1	http://biodiversity.org.au/afd.taxon/01eed60c-e9a5-439b-b6cd-30345f945ea7
3=	1	http://biodiversity.org.au/afd.taxon/01f24c33-28c4-4b61-bb78-cc75b4cea70a
3=	1	http://biodiversity.org.au/afd.taxon/01f87c8c-033a-4e55-b9ed-d0f60e2e5e41
3=	1	http://biodiversity.org.au/afd.taxon/01f94c13-0d70-4835-8495-283ae6d4b2ff
