rank	count	NAME_YEAR

1	326	1914
2	271	1990
3	259	2004
4	241	1758
5	230	1915
6	228	1907
7	227	1985
8	221	1991
9	220	1910
10	218	2006
11	215	1982
12=	210	1977
12=	210	1978
14=	204	1906
14=	204	1998
16	202	1902
17	199	1908
18	194	1979
19	191	1905
20	187	1888
21	185	1879
22	184	1984
23	183	1885
24	182	2001
25	180	1913
26	179	1981
27	175	1912
28	171	1995
29	170	1987
30	168	1886
31	166	1992
32	165	2009
33	163	1909
34	160	1916
35=	159	1884
35=	159	1986
37	155	1988
38=	154	1972
38=	154	1994
40	153	1939
41	151	1997
42	149	1934
43=	146	1974
43=	146	2010
45	145	1957
46	144	1993
47	141	1853
48	137	2008
49=	136	1900
49=	136	1968
51	134	1911
52=	132	1961
52=	132	1965
54	131	1996
55	130	1938
56	127	1864
57=	126	1852
57=	126	1896
57=	126	1973
60=	125	1953
60=	125	1969
60=	125	1989
63=	124	1917
63=	124	1924
63=	124	2003
66=	121	1889
66=	121	1970
68	120	1898
69	119	1918
70=	118	1842
70=	118	1868
70=	118	1983
73=	116	1901
73=	116	1923
75=	115	1869
75=	115	1893
75=	115	1904
75=	115	1936
75=	115	1975
80	114	1922
81=	112	1895
81=	112	1944
83	109	1775
84	108	1980
85	107	1890
86=	106	1897
86=	106	1929
88	105	2000
89=	103	1865
89=	103	1883
89=	103	1894
92=	101	1903
92=	101	1925
94=	100	1867
94=	100	1876
96	98	1930
97	97	1958
98=	96	1863
98=	96	1962
100	95	1856
101=	94	1877
101=	94	1971
103	92	1951
104=	90	1858
104=	90	2002
106=	89	1880
106=	89	1927
108=	88	1872
108=	88	1931
110=	87	1838
110=	87	1846
110=	87	1871
110=	87	1873
110=	87	1926
115	86	1933
116	85	1841
117=	84	1976
117=	84	1999
119=	82	1855
119=	82	1878
121=	80	1834
121=	80	1844
121=	80	1881
124	79	1887
125=	78	1843
125=	78	1928
127=	77	1837
127=	77	1854
127=	77	1954
130=	76	1801
130=	76	2007
132	75	2012
133	74	1875
134=	73	1892
134=	73	1899
134=	73	1935
137=	72	1859
137=	72	1932
139=	71	1860
139=	71	1921
139=	71	1967
142=	70	1818
142=	70	1966
144=	69	1882
144=	69	1942
146	68	1941
147=	67	1791
147=	67	1861
147=	67	1862
150	66	1956
151=	65	1845
151=	65	1851
151=	65	1866
151=	65	1874
151=	65	1964
156=	64	1835
156=	64	1920
156=	64	1943
156=	64	1959
160	63	1955
161	62	1963
162	61	1940
163	59	1847
164=	58	1919
164=	58	1937
166=	57	1819
166=	57	1830
168=	55	1849
168=	55	1891
170=	54	1848
170=	54	1850
170=	54	1960
173=	53	1831
173=	53	1870
175	52	1833
176=	51	1857
176=	51	2005
178=	50	1945
178=	50	1946
180	49	1839
181	48	1832
182	47	1949
183	44	1948
184	43	1798
185	42	1792
186	40	1822
187=	36	1814
187=	36	1825
187=	36	1828
187=	36	1829
191=	35	1836
191=	35	1950
193	33	1947
194	32	1826
195=	31	1811
195=	31	1840
195=	31	1952
198=	30	1790
198=	30	1793
198=	30	1802
201=	29	1805
201=	29	2011
203	28	1824
204	24	1817
205	23	1788
206=	22	1803
206=	22	1804
208	20	1787
209	19	1821
210	17	1781
211	16	1767
212=	15	1778
212=	15	1816
214=	14	1766
214=	14	1783
214=	14	1794
217=	13	1815
217=	13	1820
217=	13	1827
217=	13	NULL
221=	12	1774
221=	12	1789
223=	11	1782
223=	11	1807
223=	11	1810
226	10	1763
227=	9	1776
227=	9	1823
229	8	1786
230=	7	1780
230=	7	1809
232=	6	1799
232=	6	1800
234=	5	1773
234=	5	1797
236=	4	1761
236=	4	1771
236=	4	1795
236=	4	1808
236=	4	1812
236=	4	1813
242=	3	1764
242=	3	1777
242=	3	1779
242=	3	1796
242=	3	1806
247=	2	1762
247=	2	1765
247=	2	1770
247=	2	1772
247=	2	1785
247=	2	2013
253=	1	1759
253=	1	1769
253=	1	1901)
253=	1	1949)
253=	1	1970)
253=	1	1970b
253=	1	1986)

21949	TOTAL
