rank	count	NAME_AUTHORSHIP

1	350	Cockerell
2	322	Smith
3	307	Forel
4	272	Linnaeus
5	235	Walker
6	229	Turner
7	211	Iredale
8	187	Exley
9	183	Meyrick
10	170	Lamarck
11	168	Hill
12	157	Moore
13	156	Hale
14	149	Hedley
15=	147	Bruce
15=	147	Reeve
17	144	Carter
18	142	Rayment
19	136	Blackburn
20	129	Fabricius
21=	126	Clark
21=	126	Solem
23	123	Taylor
24	120	Tillyard
25	118	Kott
26	117	Macleay
27=	115	Giordani Soika
27=	115	Lea
29=	110	Laseron
29=	110	Sowerby
31	105	Günther
32	101	Saussure
33=	100	Crespi, Morris & Mound
33=	100	Haswell
35	98	Gould
36	97	Perkins
37	96	Roth
38	92	Hentschel
39	91	Gray
40	80	J.L. Barnard
41	78	Beveridge
42	77	Bleeker
43	76	Lendenfeld
44	75	Froggatt
45	74	Dendy
46=	73	Johnston & Mawson
46=	73	Westwood
48=	72	Gmelin
48=	72	J.L. Barnard & Drummond
50	71	Howden
51	70	Miers
52	69	Womersley
53	68	Cuvier
54	67	Distant
55=	66	Dana
55=	66	Quoy & Gaimard
57=	65	Cox
57=	65	Wheeler
59	64	Theischinger
60=	63	Alexander
60=	63	de Man
62=	62	Carne
62=	62	Verco
64=	61	H. Milne Edwards
64=	61	Lamprell & Healy
64=	61	Stanisic
67=	60	Emery
67=	60	Lowry & Stoddart
67=	60	Neboiss
70	59	Baehr
71	58	Löcker
72=	56	J.E. Gray
72=	56	Reid
72=	56	Valenciennes
72=	56	Watson
76	55	Hartmann-Schröder
77=	54	Clark, Miller & Ponder
77=	54	Hooper
77=	54	McAreavey
77=	54	Richardson
81	53	Bate
82	52	Mayr
83=	51	Mawson
83=	51	Mosely
83=	51	Stebbing
83=	51	Stimpson
87=	50	Kirkaldy
87=	50	Whitley
89=	49	Smithers
89=	49	Tepper
91=	48	Lower
91=	48	Ridley & Dendy
93=	47	Houston
93=	47	Myers
95=	46	Brazier
95=	46	Rathbun
95=	46	Ridley
98=	45	Skuse
98=	45	Wells
100=	44	Mackerras
100=	44	Poore
100=	44	Whitelegge
103	43	Burmeister
104=	42	A. Milne Edwards
104=	42	Gay
104=	42	Hutchings & Glasby
104=	42	Mound
104=	42	Poore & Lew Ton
104=	42	Spratt
104=	42	Stål
104=	42	White
112=	41	Michener
112=	41	Raven
114=	40	Barker
114=	40	Mathews
114=	40	Shaw
117	39	Tate
118=	38	Andersen & Weir
118=	38	Barnard & Drummond
118=	38	Gerken
118=	38	Piaget
118=	38	Selys
123=	37	Cotton
123=	37	Hickman
123=	37	Timmermann
126=	36	Davis
126=	36	De Haan
126=	36	Schuh & Pedraza
126=	36	Thomson
126=	36	Topsent
131=	35	Ahyong
131=	35	Riek
131=	35	Saunders
134=	34	Crawley
134=	34	Forsskål
134=	34	Herbst
134=	34	Kemp
134=	34	Peters
134=	34	Pfeiffer
134=	34	Sluiter
141=	33	Edwards
141=	33	Kirby
141=	33	Miller
141=	33	Philippi
145=	32	Leclercq
145=	32	Petrescu
145=	32	Smales
145=	32	Theobald
149=	31	Gross
149=	31	Holthuis
149=	31	Malipatil
149=	31	Ogilby
149=	31	Waite
149=	31	Waterhouse
155=	30	Deshayes
155=	30	Hebard
155=	30	Thiele
155=	30	Thomas
159=	29	Alcock
159=	29	Boisduval
159=	29	Brown
159=	29	Gibson
159=	29	Grube
159=	29	McCulloch
159=	29	Morgan
166=	28	A. Adams
166=	28	Banner & Banner
166=	28	Cotton & Godfrey
166=	28	Erichson
166=	28	Lacépède
166=	28	Nicholls
172=	27	Coutière
172=	27	Dunker
172=	27	Girault
172=	27	Henderson
172=	27	Herdman
172=	27	Marks
178=	26	Angas
178=	26	Bagnall
178=	26	Bloch
178=	26	Boulenger
178=	26	De Man
178=	26	Hansen
178=	26	Mjöberg
178=	26	Tindale
186=	25	Ahyong & Poore
186=	25	Borradaile
186=	25	Latham
186=	25	Löcker & Fletcher
186=	25	Sars
186=	25	Stein, Chernova & Andriashev
186=	25	Wiedenmayer
186=	25	Wilson
194=	24	Banks
194=	24	Bowerbank
194=	24	Dobrotworsky
194=	24	Hallmann
194=	24	Matthews
194=	24	Rothschild
194=	24	Röding
201=	23	Batley & Houston
201=	23	Kirkpatrick
201=	23	Löcker & Larivière
201=	23	Sjöstedt
201=	23	Viehmeyer
206=	22	Augener
206=	22	Hwass in Bruguiere
206=	22	Kimmins
206=	22	L. Koch
206=	22	Ponder & Clark
206=	22	Schött
212=	21	Donovan
212=	21	Fowler
212=	21	Gory & Laporte
212=	21	Hamond
212=	21	Levey
212=	21	Main
212=	21	Manning
212=	21	Mound & Matsumoto
212=	21	Rudow
212=	21	Shelford
212=	21	Tenison-Woods
223=	20	Burton
223=	20	Enderlein
223=	20	Hutchings
223=	20	Martin
223=	20	McKay
223=	20	Müller
223=	20	Nobili
223=	20	Odhner
223=	20	Ponder
223=	20	Pulitzer-Finali
223=	20	Sakai
234=	19	Baker
234=	19	Bloch & Schneider
234=	19	Giebel
234=	19	Guérin-Méneville
234=	19	Harold
234=	19	Hope
234=	19	Hutchings & Murray
234=	19	Janson
234=	19	Johnson
234=	19	Lee & Reye
234=	19	Monteith
234=	19	Muir
234=	19	Petterd
234=	19	Pilsbry
234=	19	Rüppell
234=	19	Sollas
250=	18	Blainville
250=	18	Harris
250=	18	Hinds
250=	18	Just
250=	18	Lewis
250=	18	Lowry & Springthorpe
250=	18	Marshall
250=	18	Rainbow & Pulleine
250=	18	Randall
250=	18	Ward
260=	17	Brauer
260=	17	Brunner von Wattenwyl
