rank	count	NAME_COMPLETE

1=	2	Aetiopedes gracilis
1=	2	Chicomurex laciniatus
1=	2	Chicomurex superbus
1=	2	Chicoreus (Siratus) pliciferoides
1=	2	Chicoreus (Triplex) axicornis
1=	2	Chicoreus (Triplex) banksii
1=	2	Chicoreus (Triplex) cervicornis
1=	2	Chicoreus (Triplex) damicornis
1=	2	Chicoreus (Triplex) longicornis
1=	2	Chicoreus (Triplex) microphyllus
1=	2	Chicoreus (Triplex) palmarosae
1=	2	Haustellum multiplicatus multiplicatus
1=	2	Haustellum tweedianus
1=	2	Hirondellea franklin
1=	2	Hirondellea naturaliste
1=	2	Naquetia barclayi
1=	2	Photis brevicaudata
1=	2	Photis dolichommata
19=	1	'Ochlerotatus' ('Finlaya') australiensis
19=	1	'Ochlerotatus' ('Finlaya') biocellatus
19=	1	'Ochlerotatus' ('Finlaya') britteni
19=	1	'Ochlerotatus' ('Finlaya') candidoscutellum
19=	1	'Ochlerotatus' ('Finlaya') keefei
19=	1	'Ochlerotatus' ('Finlaya') lauriei
19=	1	'Ochlerotatus' ('Finlaya') mallochi
19=	1	'Ochlerotatus' ('Finlaya') monocellatus
19=	1	'Ochlerotatus' ('Finlaya') plagosus
19=	1	'Ochlerotatus' ('Finlaya') quasirubithorax
19=	1	'Ochlerotatus' ('Finlaya') subauridorsum
19=	1	'Ochlerotatus' ('Finlaya') wasselli
19=	1	'Ochlerotatus' daliensis
19=	1	Aaaba fossicollis
19=	1	Aaaba nodosus
19=	1	Aacanthocnema casuarinae
19=	1	Aacanthocnema dobsoni
19=	1	Aaptos aaptos
19=	1	Aaroniella rawlingsi
19=	1	Abalistes filamentosus
19=	1	Abantiades hyalinatus
19=	1	Abantiades labyrinthicus
19=	1	Abantiades latipennis
19=	1	Abantiades leucochiton
19=	1	Abantiades magnificus
19=	1	Abantiades marcidus
19=	1	Abgrallaspis cyanophylli
19=	1	Abispa (Abispa) australiana
19=	1	Abispa (Abispa) ephippium
19=	1	Abispa (Abispa) laticincta
19=	1	Abispa (Abispa) splendida australis
19=	1	Abispa (Abispa) splendida splendida
19=	1	Ablabesmyia hilli
19=	1	Ablabesmyia notabilis
19=	1	Aborolobatea insidiosa
19=	1	Abra (Abra) infans
19=	1	Abra (Syndosmya) exigua
19=	1	Abra (Syndosmya) sibogai
19=	1	Abra (Syndosmya) truncata
19=	1	Abracadabrella birdsville
19=	1	Abracadabrella lewiston
19=	1	Abraliopsis gilchristi
19=	1	Abudefduf septemfasciatus
19=	1	Abudefduf sordidus
19=	1	Abyssarcturella cidaris
19=	1	Abyssarcturella panope
19=	1	Abyssianira bathyalis
19=	1	Abyssianira tasmaniensis
19=	1	Acaenosquilla brazieri
19=	1	Acalyptophis peronii
19=	1	Acanthacaris tenuimana
19=	1	Acanthaeschna victoria
19=	1	Acanthanura dendyi
19=	1	Acantharctus ornatus
19=	1	Acanthaxius garawa
19=	1	Acanthaxius ningaloo
19=	1	Acanthaxius polychaetes
19=	1	Acanthella cavernosa
19=	1	Acanthella inflexa
19=	1	Acanthella pulcherrima
19=	1	Acanthella tenuispiculata
19=	1	Acanthephyra acutifrons
19=	1	Acanthephyra armata
19=	1	Acanthephyra curtirostris
19=	1	Acanthephyra eximia
19=	1	Acanthephyra faxoni
