rank	count	Latitude
162=	107	-33.99916
164=	106	-32.01573
164=	106	-33.63335
166=	105	-21.94606
166=	105	-33.93293
168=	104	-30.55001
168=	104	-31.11547
170	102	-42.29848
171=	101	-20.37360
171=	101	-33.92254
171=	101	-35.46302
174=	100	-26.26835
174=	100	-29.91094
176=	98	-32.05143
176=	98	-32.55001
178	96	-35.23180
179=	95	-27.43701
179=	95	-30.47130
179=	95	-31.22843
179=	95	-33.16284
183	93	-29.90460
184	92	-33.32199
185=	91	-25.62519
185=	91	-26.48810
185=	91	-35.51520
188=	90	-27.41007
188=	90	-32.06190
188=	90	-34.09361
191=	89	-28.01426
191=	89	-30.55365
193=	88	-30.57312
193=	88	-32.91893
195	87	-38.97705
196=	85	-23.55000
196=	85	-30.32116
196=	85	-33.66513
199	84	-31.08334
200	83	-42.68151
201	82	-31.97145
202=	80	-26.14706
202=	80	-31.58335
204=	79	-18.08155
204=	79	-26.49202
204=	79	-28.86304
204=	79	-29.57861
204=	79	-41.18012
209=	78	-32.83472
209=	78	-34.91668
209=	78	-43.03732
212=	77	-1.98330
212=	77	-18.05494
212=	77	-31.62314
215	76	-27.46785
216=	75	-2.90000
216=	75	-24.01667
216=	75	-34.73363
216=	75	-9.05000
220	74	-30.53334
221	73	-31.85648
222=	72	-31.14334
222=	72	-35.26387
222=	72	-42.91670
225=	71	-24.66376
225=	71	-25.16667
225=	71	-30.30001
225=	71	-31.33222
225=	71	-8.80000
230	70	-34.07200
231=	69	-21.51928
231=	69	-27.67424
231=	69	-32.50001
231=	69	-34.06667
231=	69	-35.61000
236=	68	-17.38413
236=	68	-25.34361
236=	68	-33.53334
236=	68	-34.89687
240	67	-5.10000
241=	66	-11.34999
241=	66	-24.58000
241=	66	-29.94000
241=	66	-31.37749
241=	66	-4.35861
246	65	-17.74097
247=	64	-31.27367
247=	64	-34.79166
249=	63	-42.11581
249=	63	-8.47000
251=	62	-22.35327
251=	62	-22.50001
251=	62	-31.10916
251=	62	-33.76864
251=	62	-33.81790
256=	61	-25.06667
256=	61	-26.34230
258=	60	-17.25883
258=	60	-27.61971
260=	59	-24.49068
260=	59	-30.25001
260=	59	-33.96726
260=	59	-34.98624
264=	58	-24.68335
264=	58	-30.26666
264=	58	-33.81039
267	57	-27.69228
268=	56	-12.78330
268=	56	-31.64192
270=	55	-10.57400
270=	55	-21.82102
270=	55	-30.49902
270=	55	-33.07796
274=	54	-21.15619
274=	54	-23.53334
274=	54	-34.07227
277=	53	-17.10000
277=	53	-24.63456
277=	53	-30.32466
277=	53	-34.73333
277=	53	-9.43333
282=	52	-30.60057
282=	52	-33.94611
282=	52	-34.24000
282=	52	-34.81596
286=	51	-24.45443
286=	51	-30.08751
286=	51	-32.53334
289=	50	-25.91094
289=	50	-33.28742
289=	50	-7.33333
289=	50	-9.43361
293=	49	-29.54794
293=	49	-31.89259
293=	49	-33.41500
293=	49	-35.65981
297	48	-24.52583
298=	47	-16.10412
298=	47	-31.76668
298=	47	-33.00680
298=	47	-33.36519
298=	47	-33.87088
303=	46	-17.99041
303=	46	-26.56331
303=	46	-27.82917
303=	46	-31.55001
303=	46	-8.16624
308=	45	-15.68297
308=	45	-16.56475
308=	45	-17.83677
308=	45	-19.00813
308=	45	-3.36670
313=	44	-22.64869
313=	44	-25.28334
313=	44	-31.95540
313=	44	-33.08558
317=	43	-22.00344
317=	43	-31.23319
317=	43	-35.33333
320=	42	-26.48726
320=	42	-30.07260
320=	42	-30.51668
320=	42	-30.67583
320=	42	-34.16667
320=	42	-34.17911
320=	42	-36.76666
327=	41	-17.40000
327=	41	-27.25379
327=	41	-30.05420
327=	41	-30.22339
327=	41	-30.43141
327=	41	-32.27972
327=	41	-33.26031
327=	41	-33.81500
327=	41	-34.33334
327=	41	-34.50000
327=	41	-36.58255
327=	41	-42.76859
327=	41	6.11666
340=	40	-26.83333
340=	40	-29.25294
340=	40	-3.55000
340=	40	-34.80035
340=	40	-41.74202
345=	39	-11.38138
345=	39	-31.13666
345=	39	-31.71668
345=	39	-33.26485
345=	39	-35.13883
345=	39	-37.20000
351=	38	-33.66667
351=	38	-35.55197
351=	38	-35.65001
351=	38	6.12100
355=	37	-16.81722
355=	37	-22.15115
355=	37	-24.90002
355=	37	-30.02083
355=	37	-31.50001
355=	37	-31.81666
355=	37	-33.66668
355=	37	-43.03019
355=	37	9.31030
364=	36	-10.26666
364=	36	-27.60897
364=	36	-30.03403
364=	36	-32.40200
364=	36	-33.07900
364=	36	-41.55148
364=	36	-9.08330
371=	35	-2.60000
371=	35	-31.43600
371=	35	-33.46391
371=	35	-33.85156
371=	35	-36.06500
371=	35	-36.84291
371=	35	-4.66670
378=	34	-18.98853
378=	34	-23.73333
378=	34	-25.95450
378=	34	-28.90217
378=	34	-32.57916
378=	34	-8.11444
384=	33	-19.43541
384=	33	-2.01667
384=	33	-28.30029
384=	33	-28.80000
384=	33	-30.02070
384=	33	-31.89890
384=	33	-33.74900
384=	33	-33.96611
384=	33	-35.44930
393=	32	-21.33354
393=	32	-25.22806
393=	32	-25.95428
393=	32	-26.44062
393=	32	-28.03737
393=	32	-32.84222
393=	32	-33.95788
393=	32	-36.58334
393=	32	-41.43611
393=	32	-41.78387
393=	32	-9.68333
404=	31	-16.92304
404=	31	-17.65900
404=	31	-28.01057
404=	31	-30.87541
404=	31	-31.58895
404=	31	-33.77350
404=	31	-34.15000
404=	31	-38.04760
404=	31	-39.50430
404=	31	-9.56667
414=	30	-11.50000
414=	30	-16.60000
414=	30	-23.69900
414=	30	-25.60813
414=	30	-29.41666
414=	30	-30.05650
414=	30	-30.25859
414=	30	-31.06667
414=	30	-35.48726
414=	30	-41.59618
414=	30	-43.57847
414=	30	-8.31689
414=	30	5.46670
414=	30	5.96670
428=	29	-24.56668
428=	29	-25.39014
428=	29	-29.08191
428=	29	-30.06098
428=	29	-33.31524
428=	29	-33.77165
428=	29	-41.45069
435=	28	-17.65236
435=	28	-23.65001
435=	28	-28.65331
435=	28	-29.59261
435=	28	-32.17583
435=	28	-33.27400
435=	28	-34.36611
435=	28	-35.02270
435=	28	-41.98819
435=	28	-8.05000
435=	28	4.41667
446=	27	-16.10235
446=	27	-16.50003
446=	27	-17.14786
446=	27	-21.32759
446=	27	-31.73643
446=	27	-32.49900
446=	27	-33.07753
446=	27	-33.84819
454=	26	-11.75000
454=	26	-16.07000
454=	26	-17.26666
454=	26	-20.64188
454=	26	-21.17986
454=	26	-25.99111
454=	26	-29.07519
454=	26	-29.55402
454=	26	-30.15800
454=	26	-33.82061
454=	26	-36.46487
454=	26	-40.88483
454=	26	-43.15874
467=	25	-10.45000
467=	25	-16.16666
467=	25	-17.96000
467=	25	-18.14132
467=	25	-18.17997
467=	25	-20.16641
467=	25	-20.31718
467=	25	-20.93333
467=	25	-21.18232
467=	25	-22.17205
467=	25	-23.10137
467=	25	-24.18336
467=	25	-27.31666
467=	25	-34.37277
467=	25	-34.84055
467=	25	-34.97400
467=	25	-34.99397
467=	25	-35.58333
467=	25	-37.56810
467=	25	-37.76668
467=	25	-41.55565
467=	25	-41.63579
467=	25	-42.89555
467=	25	-9.66670
491=	24	-12.46670
491=	24	-21.64869
491=	24	-22.54062
491=	24	-23.88335
491=	24	-29.13733
491=	24	-3.63330
491=	24	-30.46300
491=	24	-32.58208
491=	24	-33.86520
491=	24	-34.11613
491=	24	-34.78937
491=	24	-42.91707
491=	24	0.55000
491=	24	3.16670
505=	23	-18.11092
505=	23	-22.10000
505=	23	-23.53333
505=	23	-27.35000
505=	23	-27.97253
505=	23	-31.53400
505=	23	-33.90852
505=	23	-42.82103
513=	22	-15.48600
513=	22	-24.26667
513=	22	-30.15335
513=	22	-30.60444
513=	22	-32.37141
513=	22	-32.53804
513=	22	-35.31416
513=	22	-36.56868
521=	21	-22.26426
521=	21	-29.96277
521=	21	-30.22158
521=	21	-31.93330
521=	21	-35.62872
521=	21	-36.48709
521=	21	-9.93300
528=	20	-1.17603
528=	20	-15.36809
528=	20	-17.31994
528=	20	-20.73105
528=	20	-21.64111
528=	20	-22.19583
528=	20	-27.28333
528=	20	-27.58946
528=	20	-28.35000
528=	20	-29.01800
528=	20	-3.44003
528=	20	-31.23067
528=	20	-31.93335
528=	20	-31.95000
528=	20	-33.74644
528=	20	-34.70677
528=	20	-36.55001
528=	20	-4.35000
528=	20	-41.99339
528=	20	-7.73333
528=	20	-8.73423
549=	19	-15.38000
549=	19	-17.56600
549=	19	-17.68039
549=	19	-19.91667
549=	19	-20.22505
549=	19	-22.31729
549=	19	-23.48000
549=	19	-24.46556
549=	19	-24.57194
549=	19	-26.67100
549=	19	-30.06667
549=	19	-30.83335
549=	19	-33.11264
549=	19	-34.98333
549=	19	-35.00000
549=	19	-35.31700
549=	19	-9.40700
549=	19	0.75694
567=	18	-16.94991
567=	18	-17.23333
567=	18	-17.36525
567=	18	-19.51511
567=	18	-22.16805
567=	18	-24.46528
567=	18	-26.68300
567=	18	-27.05400
567=	18	-29.03475
567=	18	-29.08152
567=	18	-29.14116
