rank	count	Host photo
57=	93	http://research.amnh.org/pbi/specimen/nsw%201995%20l53%20h089.jpg
57=	93	http://research.amnh.org/pbi/specimen/wa1999%20l59%20h192.jpg
59	91	http://research.amnh.org/pbi/specimen/wa1999%20l49%20h155.jpg
60=	90	http://research.amnh.org/pbi/specimen/wa%201996%20l09%20h021b.jpg;http://research.amnh.org/pbi/specimen/wa%201996%20l09%20h021.jpg
60=	90	http://research.amnh.org/pbi/specimen/wa%201997%20l17%20h044.jpg;
62=	88	http://research.amnh.org/pbi/specimen/nsw%201995%20l12%20h017.jpg
62=	88	http://research.amnh.org/pbi/specimen/pbi_wa04l11h86.jpg;http://research.amnh.org/pbi/specimen/wa04l11h86%20b.jpg;http://research.amnh.org/pbi/specimen/wa04l11h86a.jpg
62=	88	http://research.amnh.org/pbi/specimen/wa1999%20l24%20h089.jpg
65	84	http://research.amnh.org/pbi/specimen/wa%201997%20l20%20h049.jpg
66=	82	http://research.amnh.org/pbi/specimen/ca01h67a.jpg;http://research.amnh.org/pbi/specimen/ca01h67b.jpg;http://research.amnh.org/pbi/specimen/ca01h67c.jpg
66=	82	http://research.amnh.org/pbi/specimen/wa%201996%20l21%20h077.jpg
68	80	http://research.amnh.org/pbi/specimen/wa1999%20l67%20h209.jpg
69=	79	http://research.amnh.org/pbi/specimen/wa%201996%20l10%20h023.jpg;http://research.amnh.org/pbi/specimen/wa%201996%20l10%20h023b.jpg
69=	79	http://research.amnh.org/pbi/specimen/wa%201996%20l50%20h148.jpg
69=	79	http://research.amnh.org/pbi/specimen/wa%201997%20l53%20h109.jpg
72=	78	http://research.amnh.org/pbi/specimen/wa1999%20l20%20h073.jpg;http://research.amnh.org/pbi/specimen/wa99l20h73a.jpg;http://research.amnh.org/pbi/specimen/wa99l20h73b.jpg
72=	78	http://research.amnh.org/pbi/specimen/wa1999%20l45%20h147.jpg
74=	76	http://research.amnh.org/pbi/specimen/pbi_wa04_l41_h274.jpg;http://research.amnh.org/pbi/specimen/pbi_wa04l41h274.jpg
74=	76	http://research.amnh.org/pbi/specimen/tas04l15h22a.jpg;http://research.amnh.org/pbi/specimen/tas04l15h22b.jpg;http://research.amnh.org/pbi/specimen/tas04l15h22c.jpg;http://research.amnh.org/pbi/specimen/tas04l15h22d.jpg
74=	76	http://research.amnh.org/pbi/specimen/wa1999%20l64%20h202.jpg
77	75	http://research.amnh.org/pbi/specimen/wa%201996%20l11%20h025.jpg;http://research.amnh.org/pbi/specimen/wa%201996%20l11%20h025b.jpg;
78=	74	http://research.amnh.org/pbi/specimen/nsw%201995%20l22%20h035.jpg
78=	74	http://research.amnh.org/pbi/specimen/pbi_wa04l05h44.jpg;http://research.amnh.org/pbi/specimen/wa04l5h44a.jpg;http://research.amnh.org/pbi/specimen/wa04l5h44b.jpg;
80	72	http://research.amnh.org/pbi/specimen/wa04l6h55a.jpg;http://research.amnh.org/pbi/specimen/wa04l6h55b.jpg
81=	71	http://research.amnh.org/pbi/specimen/wa%201996%20l39%20h122.jpg;
81=	71	http://research.amnh.org/pbi/specimen/wa%201997%20l53%20h098.jpg
83=	70	http://research.amnh.org/pbi/specimen/nsw%201995%20l27%20h047.jpg
83=	70	http://research.amnh.org/pbi/specimen/wa%201997%20l17%20h044.jpg
85=	69	http://research.amnh.org/pbi/specimen/ca01h172a.jpg;http://research.amnh.org/pbi/specimen/ca01h172b.jpg;http://research.amnh.org/pbi/specimen/ca01h172c.jpg
85=	69	http://research.amnh.org/pbi/specimen/nsw%201995%20l15%20h024.jpg;
87=	68	http://research.amnh.org/pbi/specimen/wa1999%20l21%20h074.jpg;http://research.amnh.org/pbi/specimen/wa99l21h74a.jpg;http://research.amnh.org/pbi/specimen/wa99l21h74b.jpg;http://research.amnh.org/pbi/specimen/wa99l21h74c.jpg
87=	68	http://research.amnh.org/pbi/specimen/wa1999%20l70%20h216.jpg
89	67	http://research.amnh.org/pbi/specimen/nsw%201995%20l70%20h105.jpg
90=	65	http://research.amnh.org/pbi/specimen/wa%201996%20l64%20h171.jpg;
90=	65	http://research.amnh.org/pbi/specimen/wa1999%20l09%20h038.jpg;http://research.amnh.org/pbi/specimen/wa99l09h38a.jpg;http://research.amnh.org/pbi/specimen/wa99l09h38d.jpg;http://research.amnh.org/pbi/specimen/wa99l09h38f.jpg
92=	64	http://research.amnh.org/pbi/specimen/wa%201996%20l26%20h087.jpg;
92=	64	http://research.amnh.org/pbi/specimen/wa1999%20l03%20h007.jpg;http://research.amnh.org/pbi/specimen/wa99l07h7a.jpg;http://research.amnh.org/pbi/specimen/wa99l07h7b.jpg
