rank	count	UID
1=	1	104886
1=	1	104887
1=	1	104888
1=	1	104889
1=	1	104890
1=	1	104891
1=	1	104892
1=	1	104893
1=	1	104894
1=	1	104895
1=	1	104896
1=	1	104897
1=	1	104898
1=	1	104899
1=	1	104900
1=	1	104901
1=	1	104902
1=	1	104903
1=	1	104904
1=	1	104905
1=	1	104906
1=	1	104907
1=	1	104908
1=	1	104909
1=	1	104910
1=	1	104911
1=	1	104912
1=	1	104913
1=	1	104914
1=	1	104915
1=	1	104916
1=	1	104917
1=	1	104918
1=	1	104919
1=	1	104920
1=	1	104921
1=	1	104922
1=	1	104923
1=	1	104924
1=	1	104925
1=	1	104926
1=	1	104927
1=	1	104928
1=	1	104929
1=	1	104930
1=	1	104931
1=	1	104932
1=	1	104933
1=	1	104934
1=	1	104935
1=	1	104936
1=	1	104937
1=	1	104938
1=	1	104939
1=	1	104940
1=	1	104941
1=	1	104942
1=	1	104943
1=	1	104944
1=	1	104945
1=	1	104946
1=	1	104947
1=	1	104948
1=	1	104949
1=	1	104950
1=	1	104951
1=	1	104952
1=	1	104953
1=	1	104954
1=	1	104955
1=	1	104956
1=	1	104957
1=	1	104958
1=	1	104959
1=	1	104960
1=	1	104961
1=	1	104962
1=	1	104963
1=	1	104964
1=	1	104965
1=	1	104966
1=	1	104967
1=	1	104968
1=	1	104969
1=	1	104970
1=	1	104971
1=	1	104972
1=	1	104973
1=	1	104974
1=	1	104975
1=	1	104976
1=	1	104977
1=	1	104978
1=	1	104979
1=	1	104980
1=	1	104981
1=	1	104982
1=	1	104983
1=	1	104984
1=	1	104985
1=	1	104986
1=	1	104987
1=	1	104988
1=	1	104989
1=	1	104990
1=	1	104991
1=	1	104992
1=	1	104993
1=	1	104994
1=	1	104995
1=	1	104996
1=	1	104997
1=	1	104998
1=	1	104999
1=	1	105000
1=	1	105001
1=	1	105002
1=	1	105003
1=	1	105004
1=	1	105005
1=	1	105006
1=	1	105007
1=	1	105008
1=	1	105009
1=	1	105010
1=	1	105011
1=	1	105012
1=	1	105013
1=	1	105014
1=	1	105015
1=	1	105016
1=	1	105017
1=	1	105018
1=	1	105019
1=	1	105020
1=	1	105021
1=	1	105022
1=	1	105023
1=	1	105024
1=	1	105025
1=	1	105026
1=	1	105027
1=	1	105028
1=	1	105029
1=	1	105031
1=	1	105032
1=	1	105033
1=	1	105034
1=	1	105035
1=	1	105036
1=	1	105037
1=	1	105039
1=	1	105040
1=	1	105041
1=	1	105042
1=	1	105043
1=	1	105044
1=	1	105045
1=	1	105046
1=	1	105047
1=	1	105048
1=	1	105049
1=	1	105050
1=	1	105051
1=	1	105052
1=	1	105053
1=	1	105054
1=	1	105055
1=	1	105056
1=	1	105057
1=	1	105058
1=	1	105059
1=	1	105061
1=	1	105063
1=	1	105064
1=	1	105065
1=	1	105066
1=	1	105067
1=	1	105068
1=	1	105069
1=	1	105070
1=	1	105071
1=	1	105072
1=	1	105073
1=	1	105074
1=	1	105075
1=	1	105076
1=	1	105077
1=	1	105078
1=	1	105079
1=	1	105080
1=	1	105081
1=	1	105082
1=	1	105083
1=	1	105084
1=	1	105085
1=	1	105086
1=	1	105087
1=	1	105088
1=	1	105089
1=	1	105090
1=	1	105092
1=	1	105093
1=	1	105094
1=	1	105095
1=	1	105096
1=	1	105097
1=	1	105098
1=	1	105099
1=	1	105100
1=	1	105101
1=	1	105102
1=	1	105103
1=	1	105104
1=	1	105105
1=	1	105106
1=	1	105107
1=	1	105108
1=	1	105109
1=	1	105110
1=	1	105111
1=	1	105112
1=	1	105113
1=	1	105114
1=	1	105115
1=	1	105116
1=	1	105117
1=	1	105118
1=	1	105119
1=	1	105120
1=	1	105121
1=	1	105122
1=	1	105123
1=	1	105124
1=	1	105125
1=	1	105126
1=	1	105127
1=	1	105128
1=	1	105129
1=	1	105130
1=	1	105131
1=	1	105132
1=	1	105133
1=	1	105134
1=	1	105135
1=	1	105136
1=	1	105137
1=	1	105138
1=	1	105139
1=	1	105140
1=	1	105141
1=	1	105142
1=	1	105143
1=	1	105144
1=	1	105145
1=	1	105146
1=	1	105147
1=	1	105148
1=	1	105149
1=	1	105150
1=	1	105151
1=	1	105152
1=	1	105153
1=	1	105154
1=	1	105155
1=	1	105156
1=	1	105157
1=	1	105158
1=	1	105159
1=	1	105160
1=	1	105161
1=	1	105162
1=	1	105163
1=	1	105164
1=	1	105165
1=	1	105166
1=	1	105167
1=	1	105168
1=	1	105169
1=	1	105170
1=	1	105171
1=	1	105172
1=	1	105173
1=	1	105174
1=	1	105175
1=	1	105176
1=	1	105177
1=	1	105178
1=	1	105179
1=	1	105180
1=	1	105181
1=	1	105182
1=	1	105183
1=	1	105184
1=	1	105185
1=	1	105186
1=	1	105187
1=	1	105188
1=	1	105189
1=	1	105190
1=	1	105191
1=	1	105192
1=	1	105193
1=	1	105194
1=	1	105195
1=	1	105196
1=	1	105197
1=	1	105198
1=	1	105199
1=	1	105200
1=	1	105201
1=	1	105202
1=	1	105203
1=	1	105204
1=	1	105205
1=	1	105206
1=	1	105207
1=	1	105208
1=	1	105209
1=	1	105210
1=	1	105211
1=	1	105212
1=	1	105213
1=	1	105214
1=	1	105215
1=	1	105216
1=	1	105217
1=	1	105218
1=	1	105219
1=	1	105220
1=	1	105221
1=	1	105222
1=	1	105223
1=	1	105224
1=	1	105225
1=	1	105226
1=	1	105227
1=	1	105228
1=	1	105229
1=	1	105230
1=	1	105231
1=	1	105232
1=	1	105233
1=	1	105234
1=	1	105235
1=	1	105236
1=	1	105237
1=	1	105238
1=	1	105239
1=	1	105240
1=	1	105241
1=	1	105242
1=	1	105243
1=	1	105244
1=	1	105245
1=	1	105246
1=	1	105247
1=	1	105248
1=	1	105249
1=	1	105250
1=	1	105251
1=	1	105252
1=	1	105253
1=	1	105254
1=	1	105255
1=	1	105256
1=	1	105257
1=	1	105258
1=	1	105259
1=	1	105260
1=	1	105261
1=	1	105262
1=	1	105263
1=	1	105264
1=	1	105265
1=	1	105266
1=	1	105267
1=	1	105268
1=	1	105269
1=	1	105270
1=	1	105271
1=	1	105272
1=	1	105273
1=	1	105274
1=	1	105275
1=	1	105276
1=	1	105277
1=	1	105278
1=	1	105279
1=	1	105280
1=	1	105281
1=	1	105282
1=	1	105283
1=	1	105284
1=	1	105285
1=	1	105286
1=	1	105287
1=	1	105288
1=	1	105289
1=	1	105290
1=	1	105291
1=	1	105292
1=	1	105293
1=	1	105294
1=	1	105295
1=	1	105296
1=	1	105297
1=	1	105298
1=	1	105299
1=	1	105300
1=	1	105301
1=	1	105302
1=	1	105303
1=	1	105304
1=	1	105305
1=	1	105306
1=	1	105307
1=	1	105308
1=	1	105309
1=	1	105310
1=	1	105311
1=	1	105312
1=	1	105313
1=	1	105314
1=	1	105315
1=	1	105316
1=	1	105317
1=	1	105318
1=	1	105319
1=	1	105320
1=	1	105321
1=	1	105322
1=	1	1053228
1=	1	1053229
1=	1	105323
1=	1	1053230
1=	1	1053231
1=	1	105324
1=	1	105325
1=	1	105326
1=	1	105327
1=	1	105328
1=	1	105329
1=	1	105330
1=	1	105331
1=	1	105332
1=	1	105333
1=	1	105334
1=	1	105335
1=	1	105336
1=	1	105337
1=	1	105338
1=	1	105339
1=	1	105340
1=	1	105341
1=	1	105342
1=	1	105343
1=	1	105344
1=	1	105345
1=	1	105346
1=	1	105347
1=	1	105348
1=	1	105349
1=	1	105350
1=	1	105351
1=	1	105352
1=	1	105353
1=	1	105354
1=	1	105355
1=	1	105356
1=	1	105470
1=	1	105471
1=	1	105472
1=	1	105473
1=	1	105474
1=	1	105475
1=	1	105476
1=	1	105477
1=	1	105478
1=	1	105479
1=	1	105480
1=	1	105481
1=	1	105482
1=	1	105483
1=	1	105484
1=	1	1054840
1=	1	1054841
1=	1	1054843
1=	1	1054844
1=	1	1054845
1=	1	1054846
1=	1	1054847
1=	1	105485
1=	1	105486
1=	1	105487
1=	1	105488
1=	1	105489
1=	1	105490
1=	1	105491
1=	1	105492
1=	1	105493
1=	1	105494
1=	1	105495
1=	1	105497
1=	1	105498
1=	1	105499
1=	1	105500
1=	1	105501
1=	1	105502
1=	1	105503
1=	1	105504
1=	1	105505
1=	1	105506
1=	1	105507
1=	1	105508
1=	1	105509
1=	1	105510
1=	1	105511
1=	1	105512
1=	1	105513
1=	1	105514
1=	1	105515
1=	1	105516
1=	1	105517
1=	1	105518
1=	1	105519
1=	1	105520
1=	1	105521
1=	1	105522
1=	1	105523
1=	1	105524
1=	1	105525
1=	1	105526
1=	1	105527
1=	1	105528
1=	1	105529
1=	1	105530
1=	1	105531
1=	1	105532
1=	1	105533
1=	1	105534
1=	1	105535
1=	1	105536
1=	1	105544
1=	1	105545
1=	1	105546
1=	1	105548
1=	1	105549
1=	1	105550
1=	1	105551
1=	1	105552
1=	1	105553
