rank	count	Elevation meters

1	12130	0
2	3603	100
3	3220	150
4	3019	500
5	2403	600
6	2006	300
7	1950	400
8	1899	50
9	1391	20
10	1390	30
11	973	10
12	802	250
13	794	511
14	756	350
15	740	320
16	671	5
17	605	15
18	540	60
19	509	3
20	462	120
21	459	200
22	447	215
23=	439	2
23=	439	650
25	425	86
26	400	375
27	389	28
28	372	130
29	340	29
30	316	450
31	297	360
32	281	25
33	269	310
34=	262	190
34=	262	33
34=	262	366
37	257	380
38	240	80
39	237	110
40	234	170
41=	225	40
41=	225	70
43	210	586
44	200	187
45	199	330
46	192	21
47=	191	197
47=	191	90
49	189	396
50	186	53
51	183	714
52	181	560
53	179	1000
54	177	605
55	171	711
56	168	712
57=	162	240
57=	162	598
59	160	746
60	143	489
61	141	65
62	133	173
63=	132	194
63=	132	390
65	131	777
66=	130	435
66=	130	800
68	129	476
69	128	671
70=	127	16
70=	127	180
70=	127	494
73	125	464
74=	124	540
74=	124	567
76=	121	230
76=	121	550
78	118	633
79	117	167
80	116	510
81	114	125
82	112	555
83	110	445
84	107	900
85=	106	1200
85=	106	430
87	105	22
88	101	394
89	98	203
90=	97	2350
90=	97	756
90=	97	95
93=	95	345
93=	95	743
95	94	480
96	93	1560
97=	92	1100
97=	92	156
97=	92	471
97=	92	55
97=	92	8
102=	91	325
102=	91	412
102=	91	490
105	90	630
106	89	107
107	85	690
108=	83	440
108=	83	457
110	80	365
111=	79	292
111=	79	758
113=	78	162
113=	78	276
115	77	781
116	76	280
117	75	34
118=	74	122
118=	74	700
120	72	850
121	71	163
122=	69	226
122=	69	792
122=	69	925
125=	68	370
125=	68	592
127	62	589
128	60	474
129=	58	270
129=	58	545
129=	58	74
132	57	127
133	56	205
134	54	531
135	53	413
136	52	750
137	51	103
138=	49	260
138=	49	267
138=	49	580
138=	49	782
142	48	431
143	47	202
144	46	69
145=	45	519
145=	45	673
145=	45	98
148=	44	491
148=	44	664
150	43	312
151	42	14
152=	41	231
152=	41	337
152=	41	504
152=	41	942
156=	40	1196
156=	40	13
156=	40	281
156=	40	7
160=	39	19
160=	39	220
162=	38	183
162=	38	293
162=	38	432
165=	37	212
165=	37	259
165=	37	46
165=	37	593
165=	37	637
165=	37	78
171	34	1600
172	33	166
173=	32	154
173=	32	36
173=	32	823
176=	31	1300
176=	31	149
176=	31	275
176=	31	470
180=	30	678
180=	30	684
182=	29	111
182=	29	232
184=	28	12
184=	28	681
186=	27	1176
186=	27	118
186=	27	235
186=	27	395
186=	27	61
191=	26	115
191=	26	172
191=	26	211
191=	26	2300
191=	26	32
191=	26	322
191=	26	868
198=	25	1
198=	25	1267
198=	25	441
198=	25	694
198=	25	754
198=	25	895
204=	24	236
204=	24	248
204=	24	269
204=	24	451
204=	24	631
209=	23	186
209=	23	306
211=	22	136
211=	22	406
211=	22	610
211=	22	623
211=	22	646
211=	22	695
217=	21	216
217=	21	453
219=	20	1372
219=	20	1400
219=	20	18
219=	20	35
219=	20	527
224=	19	1219
224=	19	140
224=	19	549
224=	19	87
228=	18	116
228=	18	271
228=	18	407
228=	18	411
228=	18	485
228=	18	907
234=	17	265
234=	17	319
234=	17	4
234=	17	573
234=	17	640
234=	17	741
240=	16	1140
240=	16	1585
240=	16	255
240=	16	326
240=	16	503
240=	16	674
246=	15	105
246=	15	1150
246=	15	17
246=	15	45
246=	15	572
251=	14	1036
251=	14	1067
251=	14	133
251=	14	1330
251=	14	168
251=	14	410
251=	14	513
251=	14	745
259=	13	142
259=	13	2020
259=	13	2100
259=	13	224
259=	13	254
259=	13	302
259=	13	512
259=	13	780
267=	12	155
267=	12	253
267=	12	299
267=	12	570
267=	12	670
267=	12	804
267=	12	840
267=	12	950
267=	12	967
276=	11	1050
276=	11	1158
276=	11	132
276=	11	178
276=	11	301
276=	11	554
276=	11	722
276=	11	760
276=	11	82
276=	11	93
286=	10	1240
286=	10	1500
286=	10	153
286=	10	1650
286=	10	198
286=	10	2850
286=	10	437
286=	10	482
286=	10	6
286=	10	647
286=	10	727
286=	10	730
286=	10	83
299=	9	1524
299=	9	165
299=	9	251
299=	9	308
299=	9	315
299=	9	344
299=	9	355
299=	9	386
299=	9	468
299=	9	496
299=	9	648
299=	9	786
311=	8	124
311=	8	1450
311=	8	175
311=	8	210
311=	8	219
311=	8	2360
311=	8	525
311=	8	547
311=	8	566
311=	8	655
311=	8	67
311=	8	740
311=	8	762
311=	8	914
311=	8	959
326=	7	112
326=	7	126
326=	7	160
326=	7	191
326=	7	24
326=	7	2400
326=	7	295
326=	7	466
326=	7	639
326=	7	662
326=	7	701
326=	7	859
326=	7	9
326=	7	94
326=	7	975
341=	6	123
341=	6	1250
341=	6	193
341=	6	2192
341=	6	23
341=	6	237
341=	6	305
341=	6	307
341=	6	341
341=	6	460
341=	6	643
341=	6	658
341=	6	66
341=	6	660
341=	6	785
341=	6	870
341=	6	945
358=	5	1121
358=	5	1245
358=	5	2000
358=	5	2042
358=	5	2250
358=	5	239
358=	5	272
358=	5	290
358=	5	294
358=	5	309
358=	5	401
358=	5	454
358=	5	458
358=	5	467
358=	5	47
358=	5	520
358=	5	720
358=	5	742
358=	5	77
358=	5	940
358=	5	979
379=	4	1141
379=	4	1561
379=	4	1800
379=	4	1890
379=	4	1950
379=	4	199
379=	4	217
379=	4	2172
379=	4	263
379=	4	27
379=	4	273
379=	4	284
379=	4	289
379=	4	340
379=	4	376
379=	4	38
379=	4	420
379=	4	427
379=	4	434
379=	4	446
379=	4	492
379=	4	502
379=	4	620
379=	4	853
379=	4	854
379=	4	860
379=	4	960
406=	3	113
406=	3	1225
406=	3	1230
406=	3	129
406=	3	145
406=	3	164
406=	3	1700
406=	3	1807
406=	3	1900
406=	3	1980
406=	3	244
406=	3	247
406=	3	256
406=	3	266
406=	3	439
406=	3	465
406=	3	479
406=	3	487
406=	3	501
406=	3	518
406=	3	57
406=	3	579
406=	3	584
406=	3	653
406=	3	810
406=	3	856
406=	3	920
433=	2	104
433=	2	106
433=	2	1143
433=	2	128
433=	2	1280
433=	2	135
433=	2	1370
433=	2	148
433=	2	1545
433=	2	1555
433=	2	159
433=	2	1590
433=	2	1620
433=	2	1743
433=	2	1783
433=	2	182
433=	2	1850
433=	2	189
433=	2	192
433=	2	209
433=	2	213
433=	2	2325
433=	2	2550
433=	2	261
433=	2	268
433=	2	303
433=	2	31
433=	2	348
433=	2	352
433=	2	358
433=	2	381
433=	2	387
433=	2	444
433=	2	456
433=	2	475
433=	2	48
433=	2	495
433=	2	508
433=	2	52
433=	2	582
433=	2	585
433=	2	64
433=	2	686
433=	2	75
433=	2	770
433=	2	799
433=	2	801
433=	2	84
433=	2	864
433=	2	877
433=	2	91
433=	2	92
485=	1	1019
485=	1	1023
485=	1	1039
485=	1	1040
485=	1	1051
485=	1	109
485=	1	1095
485=	1	11
485=	1	1120
485=	1	114
485=	1	117
485=	1	1190
485=	1	1210
485=	1	1224
485=	1	1242
485=	1	1244
485=	1	1260
485=	1	1360
485=	1	138
485=	1	1420
485=	1	1447
485=	1	1460
485=	1	1494
485=	1	152
485=	1	1550
485=	1	158
485=	1	1727
485=	1	1750
485=	1	177
485=	1	1777
485=	1	1829
485=	1	185
485=	1	195
485=	1	1981
485=	1	201
485=	1	2018
485=	1	2200
485=	1	225
485=	1	243
485=	1	2500
485=	1	2706
485=	1	282
485=	1	285
485=	1	286
485=	1	298
485=	1	331
485=	1	333
485=	1	335
485=	1	336
485=	1	339
485=	1	347
485=	1	353
485=	1	357
485=	1	362
485=	1	37
485=	1	373
485=	1	374
485=	1	388
485=	1	414
485=	1	421
485=	1	424
485=	1	425
485=	1	472
485=	1	488
485=	1	544
485=	1	564
485=	1	565
485=	1	58
485=	1	59
485=	1	599
485=	1	604
485=	1	62
485=	1	626
485=	1	628
485=	1	63
485=	1	644
485=	1	651
485=	1	68
485=	1	680
485=	1	692
485=	1	706
485=	1	709
485=	1	710
485=	1	719
485=	1	728
485=	1	73
485=	1	761
485=	1	788
485=	1	79
485=	1	808
485=	1	822
485=	1	841
485=	1	849
485=	1	880
485=	1	929
485=	1	99

62083	TOTAL
