rank	count	Locality photo

1	54968	NULL
2	765	http://research.amnh.org/pbi/specimen/ca01l37a.jpg
3	735	http://research.amnh.org/pbi/specimen/wa99l12a.jpg;http://research.amnh.org/pbi/specimen/wa99l12h43b.jpg
4	247	http://research.amnh.org/pbi/specimen/wa99l21a.jpg;http://research.amnh.org/pbi/specimen/wa99l21b.jpg
5	235	http://research.amnh.org/pbi/specimen/wa04l11.jpg
6=	200	http://research.amnh.org/pbi/specimen/ca01l63c.jpg;http://research.amnh.org/pbi/specimen/ca01l63b.jpg;http://research.amnh.org/pbi/specimen/ca01l63a.jpg
6=	200	http://research.amnh.org/pbi/specimen/pbiwa04l15a.jpg
8	189	http://research.amnh.org/pbi/specimen/ca01l59b.jpg;http://research.amnh.org/pbi/specimen/ca01l59a.jpg
9	188	http://research.amnh.org/pbi/specimen/ca01h241b.jpg
10	184	http://research.amnh.org/pbi/specimen/wa99l07.jpg;http://research.amnh.org/pbi/specimen/wa99l07h29d.jpg;http://research.amnh.org/pbi/specimen/wa99l07h29g.jpg
11	179	http://research.amnh.org/pbi/specimen/wa04l13.jpg
12	171	http://research.amnh.org/pbi/specimen/ca01h101b.jpg
13	168	http://research.amnh.org/pbi/specimen/wa99l20.jpg
14	163	http://research.amnh.org/pbi/specimen/wa04l9.jpg
15	147	http://research.amnh.org/pbi/specimen/wa99l33c.jpg
16	133	http://research.amnh.org/pbi/specimen/ca01h251b.jpg;http://research.amnh.org/pbi/specimen/ca01l53a.jpg;http://research.amnh.org/pbi/specimen/ca01l53.jpg
17	131	http://research.amnh.org/pbi/specimen/ca01l67c.jpg;http://research.amnh.org/pbi/specimen/ca01l67a.jpg
18	130	http://research.amnh.org/pbi/specimen/wa99l19a.jpg;http://research.amnh.org/pbi/specimen/wa99l19b.jpg;http://research.amnh.org/pbi/specimen/wa99l19c.jpg;http://research.amnh.org/pbi/specimen/wa99l19d.jpg
19	128	http://research.amnh.org/pbi/specimen/wa04l3a.jpg;http://research.amnh.org/pbi/specimen/wa04l3b.jpg
20	124	http://research.amnh.org/pbi/specimen/pbiwa04_l23.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l23_02.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l23_03.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l23_04.jpg
21	122	http://research.amnh.org/pbi/specimen/ca01h128c.jpg
22	121	http://research.amnh.org/pbi/specimen/wa99l4242b.jpg;http://research.amnh.org/pbi/specimen/wa99l4242c.jpg;http://research.amnh.org/pbi/specimen/wa99l4242d.jpg;http://research.amnh.org/pbi/specimen/wa99l4242e.jpg;http://research.amnh.org/pbi/specimen/wa99l4242f.jpg;http://research.amnh.org/pbi/specimen/wa99l4242g.jpg;http://research.amnh.org/pbi/specimen/wa99l42a.jpg
23	119	http://research.amnh.org/pbi/specimen/wa99l16c.jpg
24	114	http://research.amnh.org/pbi/specimen/wa99l04b_cassis_collecting.jpg
25	112	http://research.amnh.org/pbi/specimen/ca01l19c.jpg;http://research.amnh.org/pbi/specimen/ca01l19b.jpg;http://research.amnh.org/pbi/specimen/ca01l19.jpg
26	108	http://research.amnh.org/pbi/specimen/wa99l08a.jpg;http://research.amnh.org/pbi/specimen/wa99l08b.jpg;http://research.amnh.org/pbi/specimen/wa99l08c.jpg;http://research.amnh.org/pbi/specimen/wa99l08d.jpg
27	107	http://research.amnh.org/pbi/specimen/wa99l17a.jpg
28	106	http://research.amnh.org/pbi/specimen/wa99l06a.jpg
29	100	http://research.amnh.org/pbi/specimen/wa99l39a.jpg
30	94	http://research.amnh.org/pbi/specimen/wa99l38a.jpg;http://research.amnh.org/pbi/specimen/wa99l38d.jpg;http://research.amnh.org/pbi/specimen/wa99l38e.jpg;http://research.amnh.org/pbi/specimen/wa99l38f.jpg;http://research.amnh.org/pbi/specimen/wa99l38g.jpg;http://research.amnh.org/pbi/specimen/wa99l38h.jpg;http://research.amnh.org/pbi/specimen/wa99l38i.jpg
31	78	http://research.amnh.org/pbi/specimen/tas04l15b.jpg;http://research.amnh.org/pbi/specimen/tas04l15a.jpg;http://research.amnh.org/pbi/specimen/tas04l15.jpg
32	77	http://research.amnh.org/pbi/specimen/wa99l26a.jpg;http://research.amnh.org/pbi/specimen/wa99l26b.jpg
33	72	http://research.amnh.org/pbi/specimen/wa99l09h38b.jpg;http://research.amnh.org/pbi/specimen/wa99l09h38e.jpg;http://research.amnh.org/pbi/specimen/wa99l09h38g.jpg
34	71	http://research.amnh.org/pbi/specimen/ca01l32b.jpg;http://research.amnh.org/pbi/specimen/ca01l32G.jpg;http://research.amnh.org/pbi/specimen/ca01l32e.jpg;http://research.amnh.org/pbi/specimen/ca01l32d.jpg;http://research.amnh.org/pbi/specimen/ca01l32c.jpg;http://research.amnh.org/pbi/specimen/ca01l32f.jpg;http://research.amnh.org/pbi/specimen/ca01l32I.jpg;http://research.amnh.org/pbi/specimen/ca01l32h.jpg
35	68	http://research.amnh.org/pbi/specimen/ca01l40h198a.jpg;http://research.amnh.org/pbi/specimen/ca01l40h198b.jpg
36	64	http://research.amnh.org/pbi/specimen/wa99l05a.jpg
37	62	http://research.amnh.org/pbi/specimen/ca01l12a.jpg
38	55	http://research.amnh.org/pbi/specimen/wa99l29a.jpg;http://research.amnh.org/pbi/specimen/wa99l29b.jpg;http://research.amnh.org/pbi/specimen/wa99l29h104e.jpg
39	53	http://research.amnh.org/pbi/specimen/wa99l27b.jpg
40=	46	http://research.amnh.org/pbi/specimen/wa04l14a.jpg;http://research.amnh.org/pbi/specimen/wa04l14b.jpg
40=	46	http://research.amnh.org/pbi/specimen/wa04l8.jpg
42	44	http://research.amnh.org/pbi/specimen/ca01l42b.jpg;http://research.amnh.org/pbi/specimen/ca01l42a.jpg
43	42	http://research.amnh.org/pbi/specimen/ca01l61.jpg
44	40	http://research.amnh.org/pbi/specimen/wa99l14a.jpg
45	38	http://research.amnh.org/pbi/specimen/ca01l21a.jpg;http://research.amnh.org/pbi/specimen/ca01l21d.jpg;http://research.amnh.org/pbi/specimen/ca01l21b.jpg;http://research.amnh.org/pbi/specimen/ca01l21e.jpg;http://research.amnh.org/pbi/specimen/ca01l21.jpg
46=	37	http://research.amnh.org/pbi/specimen/ca01l65a.jpg;http://research.amnh.org/pbi/specimen/ca01l65d.jpg
46=	37	http://research.amnh.org/pbi/specimen/wa99l06a.jpg;
48	36	http://research.amnh.org/pbi/specimen/tas04l42.jpg
49=	34	http://research.amnh.org/pbi/specimen/pbinsw05_l7h5_12.jpg
49=	34	http://research.amnh.org/pbi/specimen/pbiqld05_l11h9a.jpg;http://research.amnh.org/pbi/specimen/pbiqld05_l11h9.jpg
51=	33	http://research.amnh.org/pbi/specimen/wa04l4.jpg
51=	33	http://research.amnh.org/pbi/specimen/wa99l14a.jpg;
53=	29	http://research.amnh.org/pbi/specimen/ca01h251b.jpg;http://research.amnh.org/pbi/specimen/ca01l53a.jpg;http://research.amnh.org/pbi/specimen/ca01l53.jpg;
53=	29	http://research.amnh.org/pbi/specimen/ca01l37a.jpg;
55=	25	http://research.amnh.org/pbi/specimen/pbiwa04l19.jpg
55=	25	http://research.amnh.org/pbi/specimen/tas04l02.jpg
57	24	http://research.amnh.org/pbi/specimen/tas04l01.jpg
58	23	http://research.amnh.org/pbi/specimen/ca01l60a.jpg
59=	22	http://research.amnh.org/pbi/specimen/ca01l15d.jpg
59=	22	http://research.amnh.org/pbi/specimen/pbiwa04_l23.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l23_02.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l23_03.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l23_04.jpg;
61	21	http://research.amnh.org/pbi/specimen/pbi_ncal05_l03.jpg
62	19	http://research.amnh.org/pbi/specimen/wa99l38a.jpg;http://research.amnh.org/pbi/specimen/wa99l38d.jpg;http://research.amnh.org/pbi/specimen/wa99l38e.jpg;http://research.amnh.org/pbi/specimen/wa99l38f.jpg;http://research.amnh.org/pbi/specimen/wa99l38g.jpg;http://research.amnh.org/pbi/specimen/wa99l38h.jpg;http://research.amnh.org/pbi/specimen/wa99l38i.jpg;
63=	18	http://research.amnh.org/pbi/specimen/pbi_ncal05_l18.jpg;http://research.amnh.org/pbi/specimen/pbi_ncal05_l18_01.jpg;http://research.amnh.org/pbi/specimen/pbi_ncal05_l18_04.jpg;http://research.amnh.org/pbi/specimen/pbi_ncal05_l18_05.jpg
63=	18	http://research.amnh.org/pbi/specimen/wa99l26a.jpg;http://research.amnh.org/pbi/specimen/wa99l26b.jpg;
65=	17	http://research.amnh.org/pbi/specimen/wa99l35a.jpg
65=	17	http://research.amnh.org/pbi/specimen/wa99l4242b.jpg;http://research.amnh.org/pbi/specimen/wa99l4242c.jpg;http://research.amnh.org/pbi/specimen/wa99l4242d.jpg;http://research.amnh.org/pbi/specimen/wa99l4242e.jpg;http://research.amnh.org/pbi/specimen/wa99l4242f.jpg;http://research.amnh.org/pbi/specimen/wa99l4242g.jpg;http://research.amnh.org/pbi/specimen/wa99l42a.jpg;
67=	16	http://research.amnh.org/pbi/specimen/ca01l22b.jpg
67=	16	http://research.amnh.org/pbi/specimen/pbiwa04l15a.jpg;
