rank	count	Coll. end date
252=	2	1959-01-17
252=	2	1959-06-18
252=	2	1959-08-07
252=	2	1959-08-31
252=	2	1959-10-23
252=	2	1959-11-15
252=	2	1959-11-25
252=	2	1960-04-30
252=	2	1960-05-05
252=	2	1961-02-20
252=	2	1962-10-28
252=	2	1962-11-26
252=	2	1963-02-17
252=	2	1963-11-08
252=	2	1963-12-07
252=	2	1964-06-05
252=	2	1967-02-21
252=	2	1967-02-28
252=	2	1967-11-27
252=	2	1968-03-22
252=	2	1968-03-27
252=	2	1970-06-01
252=	2	1970-09-30
252=	2	1972-07-05
252=	2	1975-02-04
252=	2	1975-06-29
252=	2	1976-07-04
252=	2	1977-03-27
252=	2	1978-09-26
252=	2	1979-07-09
252=	2	1980-06-15
252=	2	1980-08-10
252=	2	1980-12-06
252=	2	1981-02-25
252=	2	1981-05-17
252=	2	1981-09-30
252=	2	1981-10-09
252=	2	1981-10-23
252=	2	1982-01-20
252=	2	1982-02-04
252=	2	1982-03-28
252=	2	1982-04-29
252=	2	1982-09-10
252=	2	1982-09-20
252=	2	1982-10-02
252=	2	1983-08-09
252=	2	1984-11-16
252=	2	1984-12-12
252=	2	1985-01-07
252=	2	1985-03-20
252=	2	1985-03-25
252=	2	1986-02-16
252=	2	1987-01-14
252=	2	1988-07-28
252=	2	1988-08-26
252=	2	1990-02-10
252=	2	1990-11-10
252=	2	1990-11-15
252=	2	1993-04-09
252=	2	1995-04-06
252=	2	1998-04-04
252=	2	1998-11-20
252=	2	1998-11-27
252=	2	1999-01-19
252=	2	2000-01-28
252=	2	2000-03-24
252=	2	2001-12-13
252=	2	2004-04-30
252=	2	2005-11-02
252=	2	2005-12-11
252=	2	2005-12-12
252=	2	2006-03-07
252=	2	2006-03-09
341=	1	1913-12-12
341=	1	1919-04-30
341=	1	1928-11-01
341=	1	1938-08-30
341=	1	1945-10-12
341=	1	1950-03-12
341=	1	1951-05-22
341=	1	1953-03-01
341=	1	1953-03-30
341=	1	1955-05-22
341=	1	1956-03-29
341=	1	1956-06-17
341=	1	1957-03-22
341=	1	1957-12-10
341=	1	1958-06-01
341=	1	1958-06-23
341=	1	1958-07-04
341=	1	1958-07-06
341=	1	1958-07-26
341=	1	1958-10-05
341=	1	1958-10-07
341=	1	1958-10-21
341=	1	1958-11-07
341=	1	1958-12-17
341=	1	1958-12-22
341=	1	1959-01-23
341=	1	1959-01-25
341=	1	1959-02-25
341=	1	1959-05-31
341=	1	1959-08-20
341=	1	1959-08-23
341=	1	1959-10-13
341=	1	1959-10-19
341=	1	1959-11-11
341=	1	1960-02-22
341=	1	1960-04-05
341=	1	1960-09-20
341=	1	1960-12-31
341=	1	1961-01-01
341=	1	1961-02-08
341=	1	1961-02-12
341=	1	1961-03-15
341=	1	1961-04-10
341=	1	1961-09-14
341=	1	1961-11-11
341=	1	1961-11-23
341=	1	1962-02-01
341=	1	1962-03-20
341=	1	1962-05-15
341=	1	1962-06-09
341=	1	1962-07-09
341=	1	1962-07-20
341=	1	1962-08-27
341=	1	1962-09-29
341=	1	1962-11-16
341=	1	1963-01-20
341=	1	1963-01-21
341=	1	1963-03-06
341=	1	1963-04-16
341=	1	1963-06-16
341=	1	1963-07-29
341=	1	1963-08-09
341=	1	1964-01-13
341=	1	1964-03-26
341=	1	1964-06-08
341=	1	1964-10-24
341=	1	1964-12-16
341=	1	1965-01-07
341=	1	1965-03-01
341=	1	1965-09-18
341=	1	1965-11-14
341=	1	1965-11-23
341=	1	1966-03-21
341=	1	1966-11-14
341=	1	1967-01-23
341=	1	1967-02-04
341=	1	1967-02-10
341=	1	1967-08-10
341=	1	1967-09-04
341=	1	1967-11-21
341=	1	1967-11-30
341=	1	1968-02-07
341=	1	1968-03-07
341=	1	1968-03-25
341=	1	1968-03-28
341=	1	1968-05-31
341=	1	1968-07-07
341=	1	1970-03-13
341=	1	1970-07-28
341=	1	1970-10-31
341=	1	1970-11-09
341=	1	1971-03-10
341=	1	1971-06-02
341=	1	1972-01-30
341=	1	1972-04-05
341=	1	1972-09-12
341=	1	1972-09-18
341=	1	1972-10-31
341=	1	1973-01-31
341=	1	1973-03-10
341=	1	1973-10-21
341=	1	1973-12-03
341=	1	1974-08-22
341=	1	1975-07-04
341=	1	1975-08-15
341=	1	1975-08-17
341=	1	1976-02-05
341=	1	1976-09-16
341=	1	1978-04-13
341=	1	1978-06-25
341=	1	1978-07-31
341=	1	1978-08-06
341=	1	1978-10-03
341=	1	1978-10-22
341=	1	1979-04-15
341=	1	1979-08-29
341=	1	1979-11-18
341=	1	1980-01-27
341=	1	1980-03-12
341=	1	1980-04-09
341=	1	1980-05-15
341=	1	1980-05-17
341=	1	1980-05-19
341=	1	1980-06-27
341=	1	1980-07-29
341=	1	1980-08-24
341=	1	1980-11-11
341=	1	1980-11-18
341=	1	1980-12-31
341=	1	1981-01-31
