rank	count	Collector

1	14165	Schuh and Cassis
2	7229	R.T. Schuh, G. Cassis, and R. Silveira
3	3268	Cassis, Schuh, Schwartz, Silveira, Wall
4	3164	Schuh, Cassis, Silveira
5	2771	G. Cassis
6	2260	Schuh, Cassis, Brailovsky
7	2189	Cassis, Schuh, Schwartz, Silveira
8	1709	Schuh, Cassis, Brailovsky, Asquith
9	1394	Cassis, Wall, Weirauch, Symonds
10	1352	Cassis, Schuh, and Schwartz
11	1112	Schuh, Cassis, and Gross
12	1006	Cassis, Barrow, Finlay, and Symonds
13	1003	M.D. Schwartz and P.P. Tinerella
14	846	Cassis, Wall, Weirauch, Tatarnic, Symonds
15	612	Cassis, Weirauch, Tatarnic, Symonds
16	485	C. Symonds
17	410	Schuh, Brailovsky
18	405	G.Cassis, R.Silveira
19	403	J. L. Gressitt
20	400	F. Konstantinov
21	370	C. W.  O'Brien
22	368	W. C. Gagne
23	357	Cassis, Wall, Tatarnic, Monteith
24	354	R. Straatman
25	348	N. L. H. Krauss
26	322	G. Cassis, S. Lassau, S. and G. Carter
27	304	Unknown
28	276	J. A. Slater
29	274	O. Missa
30	259	L. J. Brass
31	255	L. W. Quate
32	246	L. Wilkie
33	241	T. C. Maa
34	228	H. Hacker
35	226	T. Schneirla &#38; A. Reyes
36	206	G. B. Monteith
37	181	J. &#38; M. Sedlacek
38	177	L. Wilkie &#38; H. Smith
39	175	A. Namyatova
40	146	Royal Entomological Society of London: Project Wallace
41	145	G. M. Tate
42	143	A. M. Lea
43	140	M Cheng
44	136	M. Cheng &#38; C. Symonds
45=	134	Cassis, Tatarnic, Monteith
45=	134	G. Monteith
47	132	G. F. Gross
48	130	M. Elias
49	129	Alan Kwok
50	119	Noona Dan Exp. 61-62
51	115	G.F. Gross
52=	108	J. Sedlacek
52=	108	T. J. Henry
54	100	E. S. Ross &#38; D. Q. Cavagnaro
55	97	G. G. E. Scudder
56	95	M. I. Nikitin
57	92	M. B. Malipatil
58	91	J. F. Donaldson
59	85	H. Holtmann
60=	84	C. Symonds, N. Tatarnic
60=	84	J. A. Grant
62=	83	Aust. Mus. Terr. Ecol. Dept.
62=	83	I. F. B. Common &#38; M. S. Upton
64	77	D. H. Colless
65=	76	J. A. Forrest
65=	76	R. P. McMillan
67	72	G.S. Medvedev
68=	71	G. Hayes
68=	71	H. Clissold
70	69	M. Cheng, C. Bayer, &#38; M. Colquhoun
71	68	S. Neser
72	65	J. F. Donaldson &#38; J. F. Grimshaw
73	64	J. Armstrong
74	63	M. Cheng
75	60	V. Ph. Zaitsev
76	58	Earthwatch
77=	56	D.S. Kent
77=	56	M. S. Upton
77=	56	R. I. Storey
80=	55	E. F. Riek
80=	55	G. Williams
80=	55	T.C. Maa
83	54	C. W. O'Brien
84=	52	C. Reid
84=	52	Cassis, Silveira, Wall
84=	52	I. Archibald
84=	52	N. Geary
88	51	H. E. Milliron
89	50	Key, Upton &#38; Balderson
90=	49	C. E. Chadwick
90=	49	G. A. Samuelson
92	47	T. E. Woodward
93=	46	Krauss, N. I. H.
93=	46	T. Weir
95=	43	B.H. Gagne
95=	43	J. C. Cardale
95=	43	Taylor South Seas Expedition
98	42	G.G.E. Scudder
99	41	C. Symonds, G. Watson
100	40	C. Symonds &#38; B. Glasser
101=	39	C.S. Clagg
101=	39	G. Monteith &#38; G. Thompson
101=	39	W. W. Brandt
104=	38	Fiona Powell
104=	38	M. Cheng &#38; C. Duykers
106=	37	Evline Berger
106=	37	Monteith &#38; Cook
106=	37	Monteith &#38; Thompson
109	36	N. B. Tindale
110=	35	C. N. Smithers
110=	35	W. F. Chamberlain
112=	34	C.J. Burwell
112=	34	J. W. Turner
112=	34	R.T. Schuh and Schwartz
115=	33	D. F. Waterhouse
115=	33	J.L. Gressitt &#38; T.C. Maa
115=	33	W.J. Knight
118=	32	I. F. B. Common
118=	32	T. A. Moulds
120=	31	B. Hanich &#38; T. F. Houston
120=	31	G. Monteith &#38; D. Yeates
120=	31	Kireychuk
123=	30	A. Musgrave
123=	30	F.L. Hill
123=	30	L. Readsaw
123=	30	N. McFarland
123=	30	P. Shanahan
128=	29	C. M. Yoshimoto
128=	29	D. K. McAlpine
128=	29	I. D. Naumann &#38; J. C. Cardale
128=	29	J. Grimshaw
128=	29	Lea
128=	29	N.L.H. Krauss
128=	29	Noona Dan Expedition
135=	28	D. Bickel &#38; G. Cassis
135=	28	Helms
135=	28	K. Menard and N. Tatarnic
135=	28	M. Malipatil
135=	28	T. F. Houston et al
140=	27	C. Symonds, A. Molan, A. Wheeler, B. Yardley
140=	27	E. Britton
140=	27	H. A. Rose
140=	27	M. Cheng &#38; G.S. Taylor
140=	27	T. F. Houston
140=	27	Zaytsev
146=	26	G. B. &#38; S. R. Monteith
146=	26	G. F. Hevel and W. E. Steiner
146=	26	H. Heatwole
146=	26	M. Bulbert, N. Tatarnic and S. Lassau
146=	26	Z. Liepa
151=	25	Australian Museum
151=	25	E. C. Dahms
151=	25	Monteith, Thompson &#38; Janetzki
151=	25	N.L.H. Krauss Coll.
151=	25	P. B. McQuillan
156=	24	C. J. Burwell
156=	24	C. Symonds, R. Silveira, M. Elliott
156=	24	G. Monteith &#38; H. Janetzki
156=	24	H. M. Torrevillas
156=	24	J. Heraty
156=	24	M. &#38; B. Baehr
156=	24	R. Harris &#38; T. Moulds
163=	23	A. J. Nicholson
163=	23	F. X. Ryan
163=	23	G. Cassis and R. Silveira
163=	23	K. G. Swenson
163=	23	R. V. Fyfe
163=	23	Y. Basset
169=	22	A. Postle
169=	22	Darlington
169=	22	M. Cheng, G.S. Taylor, R. Kittel, &#38; D. McLaughlin
172=	21	I. D. Galloway
172=	21	K. K. Spence
172=	21	W. W. Froggatt
175=	20	G. Daniels &#38; M. A. Schneider
175=	20	G.S. Robinson
175=	20	H. Pelz
175=	20	L.D. Brongersma and W.J. Roosdorp
175=	20	M. Elias &#38; A. Namyatova
175=	20	P.S. Manahan
175=	20	R. L. Kitching
182=	19	F. Christie &#38; M. Elliott
182=	19	R. Wharton
184=	18	B. J. Loudon
184=	18	D. A. Doolan
184=	18	G. Cassis &#38; D. Bickel
184=	18	J. L. &#38; M.  Gressit
184=	18	Key, Upton and Balderson
189=	17	B. Cantrell
189=	17	C. Symonds &#38; F. Powell
189=	17	F. P. Dodd
189=	17	G. &#38; T. Williams
189=	17	H. S. Curtis
189=	17	J. J. H. Szent-Ivany
189=	17	J.C.M. Carvalho
189=	17	M. Cheng &#38; M. Elias
189=	17	M. S. Moulds
189=	17	R. V. Southcott
189=	17	S. Quate &#38; L. Quate
200=	16	B. K. Cantrell
200=	16	D. Morgan
200=	16	E. H. Bryan, Jr.
200=	16	E.J. Ford, Jr.
200=	16	J. Evans
200=	16	J. Rageau
200=	16	J. van Tol
200=	16	K. T. Richards
200=	16	L. Hill
200=	16	P. Morrow
210=	15	A. L. Tonnoir
210=	15	A. May
210=	15	G. Monteith and D. Cook
210=	15	H. Frauca
210=	15	J. A. Herridge
210=	15	J. v. d. Vecht
210=	15	Monteith, Thompson, Hamlet
210=	15	P. Aitken
210=	15	Terest. Ecol. Dept AM
210=	15	W. J. Bailey &#38; T. F. Houston
220=	14	A. C. Eyles
220=	14	B.H. &#38; W.C. Gagne
220=	14	C. Symonds &#38; R. Hazali
220=	14	D. A. &#38; J. T. Polhemus
220=	14	D. Elmo Hardy
220=	14	D.A.I.
220=	14	J. G. Gellatley
220=	14	J.H. Martin
220=	14	K. C. McKeown
220=	14	Monteith, Yeates &#38; Thompson
220=	14	N. W. Rodd
220=	14	QM party
220=	14	T. G. Campbell
233=	13	A. R. B.
233=	13	A. W. S. May
233=	13	Britton, Upton &#38; McInnes
233=	13	C. N. Smithers &#38; A.S. Smithers
233=	13	C.R. Joyce
233=	13	D. Cook
233=	13	D. Hockings
233=	13	E. G. Matthews &#38; J. A. Forrest
233=	13	G. Cassis &#38; C. Symonds
233=	13	G. Gross
233=	13	Hale &#38; Tindale
233=	13	J. Forrest
233=	13	M.S. Upton
233=	13	Monteith, Yeates, &#38; Cook
233=	13	N. Tatarnic &#38; A. Namyatova
233=	13	N. Wilson
233=	13	P. Aitken &#38; N. B. Tindale
233=	13	R. de Keyzor
233=	13	no collector
252=	12	B. A. Franzmann
252=	12	C. R. MacLellan
252=	12	C. Symonds, L. Botten, R. Gilmore, K. Reynolds, K. Woods
252=	12	E. C. Zimmerman
252=	12	F. Muir
252=	12	H. Petersen
252=	12	Monteith, Cook, Thompson
252=	12	P. Flemons &#38; J. Tarnawski
252=	12	R.T. Schuh
252=	12	T. Bellas
252=	12	V.I. Tobias
263=	11	C. Smithers &#38; H. Hughes
263=	11	C. Young
263=	11	D-vac
263=	11	G. A. Holloway
263=	11	G. F. Hevel and R. E. Dietz IV
263=	11	G.M. Nishida
263=	11	H. M. Cooper
263=	11	Jenner
263=	11	L. E. Cheesman
263=	11	M. Cheng &#38; A. Namyatova
263=	11	M. E. Irwin
263=	11	M. J. Fletcher
263=	11	N. Richardson
263=	11	P. Ranford
263=	11	S. Kniveton
263=	11	T. Weir &#38; A. Allwood
263=	11	Upton &#38; Barrett
263=	11	Van Tol &#38; Krikken
263=	11	W. D. Dodd
263=	11	Y. Hirashima
283=	10	C. Cole
283=	10	C. Jander
283=	10	C. Weirauch
283=	10	C.A.Howard &#38; T.F.Houston
283=	10	Carvalho
283=	10	D. C. F. Rentz
283=	10	E. Collyer
283=	10	G. F. Hevel &#38; J. A. Fortin
283=	10	G.S. Dun
283=	10	J. A. Mahon
283=	10	James E. Tobler
283=	10	K. H. L. Key
283=	10	Lambkin
283=	10	N. Tatarnic and S. Lassau
283=	10	R. Awbowo
283=	10	S. &#38; J. Peck
283=	10	S. R. Patterson
283=	10	Sandy Des Surv
283=	10	T. Gush
302=	9	A.S.
302=	9	Baker
302=	9	C. W. Frazier
302=	9	D. &#38; N. McFarland
302=	9	E.C. Zimmerman
302=	9	G. A. Letts
302=	9	G. F. Gross &#38; J. A. Forrest
302=	9	G. S. Taylor
302=	9	G. W. S.
302=	9	J. J. D.
302=	9	K. L. Taylor
302=	9	P. J. L. Roche
302=	9	Storey &#38; Halfpapp
302=	9	T.Bellas and M. Carver
302=	9	W. Vestjens
317=	8	A. M. &#38; M. J. Douglas
317=	8	A. M. R. Wegner
317=	8	A. R. B'combe
317=	8	C. Brockway
317=	8	C. Symonds &#38; H. Finlay
317=	8	D. S. Horning, Jr.
317=	8	E. W. Diehl
317=	8	F. H. Uther Baker
317=	8	G. F. Hill
317=	8	G. J. Baker
317=	8	G. Monteith &#38; E. Kruck
317=	8	J. F. G. Clarke
317=	8	J. M. Sedlacek
317=	8	J.D. Oswald
317=	8	K. R. Norris
317=	8	L. Franzen
317=	8	L. P. Kelsey
317=	8	Leg. J. van Tol et al.
317=	8	Monteith, Thompson &#38; ANZSES
317=	8	R. E. Turner
337=	7	A. Calder &#38; M. Stevens
337=	7	A. Dyce
337=	7	B. J. Day &#38; D. K. McAlpine
337=	7	Britton and Misko
337=	7	Britton, Taylor and Upton
337=	7	C. Symonds, L. Botton, R. Gilmore, K. Reynolds
337=	7	Cassis &#38; Rider
337=	7	Donaldson &#38; Hamacek
337=	7	F. Grossbechler
337=	7	G. E. Bohart
337=	7	G. H.
337=	7	H. Womersly
337=	7	J. A. Herridge &#38; G. F. Gross
337=	7	J. T. Polhemus
337=	7	J. Tarnawski &#38; S. Lassau
337=	7	JCM Carvalho
337=	7	Koebele
337=	7	L. &#38; M. Gressitt
337=	7	M. B. Wilson
337=	7	M. Harvey &#38; B. Roberts
337=	7	M. Malipatil &#38; J. Hawkins
337=	7	M.K. Kamath, S.N. Lal, G.A and S.L. Samuelson
337=	7	McAlpine &#38; Lossin
337=	7	Monteith, Sheridan, Roberts, Thompson
337=	7	P. Twine
337=	7	Peters
337=	7	R. Lukins
337=	7	R.T.Schuh and B. Massie
337=	7	S. R. Monteith
337=	7	Terr. Ecol. Dept
337=	7	W. Heron
337=	7	W. Woods
369=	6	A. Calder
369=	6	A. H. Elston
369=	6	A. P. Dodd
369=	6	Burwell
369=	6	C. Wilson
369=	6	CVA volunteers
369=	6	D &#38; I Cook
369=	6	F. E. Wilson
369=	6	G. D. Shaw
369=	6	G. Parker
369=	6	H. F. Recher
369=	6	J. Doyen
369=	6	J. Forrest &#38; G.F.  Gross
369=	6	J. G. Brooks
369=	6	J. H. Sedlacek
369=	6	J. de Long
369=	6	L. E. Koch
369=	6	M. Cheng, C. Symonds &#38; M. Jambrecina
369=	6	M. L Johnson
369=	6	Neboiss
369=	6	P. Horner
369=	6	P. J. M. Greenslade
369=	6	S. N. Lal, G. A. &#38; S. L. Samuelson
369=	6	S. Neser and M.J. Morris
369=	6	T. F. Houston &#38; R. P. McMillan
369=	6	T. Wapshere
369=	6	T.Weir, J.F.Lawrence, M.L.Johnson
369=	6	Watson
397=	5	A. P. Burgess
397=	5	A.G. Wilson
397=	5	B. Brown
397=	5	B. Malkin
397=	5	Britton, Holloway &#38; Misko
397=	5	C. Gibbons
397=	5	C. J. Burwell and G. B. Monteith
397=	5	C.V.M. volunteers
397=	5	D. C. F. Rentz &#38; K. McCarron
397=	5	D. K. McAlpine &#38; B. J. Day
397=	5	E. B. Britton
397=	5	E. Turak
397=	5	E.G. Matthews &#38; J.A. Forrest
397=	5	G. &#38; C. Davis
397=	5	G. Baker
397=	5	G. Cassis, P. Tinerella, N. Tatarnic, N. Velez,  K. McLachlan
397=	5	G. M. Nishida
397=	5	G. R. Brown &#38; H. M. Holmes
397=	5	G. S. Taylor &#38; M. Purcell
397=	5	H. Bridle
397=	5	H. K. Townes
397=	5	HE Evans &#38; T. Houston
397=	5	Houston &#38; Sadler
397=	5	I. M. Mackerras
397=	5	I. Oliver
397=	5	J. Dell
397=	5	J. F. Grimshaw
397=	5	J. L. Cressitt
397=	5	J. Oswald
397=	5	J. W. Evans
397=	5	J.L. Gressitt &#38; J. Sedlacek
397=	5	K. Dansie
397=	5	K. W. Kremor
397=	5	L.D. Brongersma
397=	5	M. B. Malipatil &#38; J. Hawkins
397=	5	M. Pogue &#38; M. Epstein
397=	5	M. S. Harvey
397=	5	Monteith &#38; Janetzki
397=	5	Monteith &#38; Russell
397=	5	Muir
397=	5	N. Gough
397=	5	N. Krauss
397=	5	O. Griffiths
397=	5	P. C. Hely
397=	5	P. Greenslade
397=	5	R.T. Schuh and G. Cassis
397=	5	R.W. Strandtmann
397=	5	Rev. A. J. Barrett
397=	5	Sydney Botanic Gardens
397=	5	T. Vinnicombe
397=	5	V. Lorimer
397=	5	W. B. G.
397=	5	W.C. Gagne and UREP III
450=	4	A. Girault
450=	4	A. N.
450=	4	A. Neboiss
450=	4	A. Page
450=	4	A. R. Brimblecomb
450=	4	A. Snell
450=	4	B. Musik &#38; E. Britton
450=	4	Biro
450=	4	C. J. Drake
450=	4	C. Kelly &#38; K.A. Coward
450=	4	D. Bickel
450=	4	D. O. A.
450=	4	D.C.F. Rentz &#38; J. Balderson
450=	4	Dr.Diehl
450=	4	E. D. Edwards
450=	4	E. G. Matthews
450=	4	E. Hamilton-Smith
450=	4	E. Jacobson
450=	4	E.G. Matthews
450=	4	E.W. Diehl
450=	4	F. X. Williams
450=	4	G. Cassis &#38; A. Cassis
450=	4	G. F. Hevel
450=	4	G. Hangay &#38; I. Rozner
450=	4	G. Thompson
450=	4	G.S. Taylor
450=	4	H. S. Dybas
450=	4	H. and A. Howden
450=	4	I. D. Naumann
450=	4	I.C. Yeo
450=	4	J. J. Davis
450=	4	J. Longley
450=	4	J.A. Slater
450=	4	K. J. Houston
450=	4	L. &#38; M. Gressit
450=	4	L. G. E. Kalshoven
