rank	count	Longitude
2173=	1	134.71230
2173=	1	134.80000
2173=	1	134.90000
2173=	1	134.98333
2173=	1	135.14090
2173=	1	135.17800
2173=	1	135.20630
2173=	1	135.21800
2173=	1	135.37149
2173=	1	135.40174
2173=	1	135.40600
2173=	1	135.43400
2173=	1	135.49129
2173=	1	135.66666
2173=	1	135.71500
2173=	1	135.81666
2173=	1	135.82727
2173=	1	135.83000
2173=	1	135.88700
2173=	1	135.95032
2173=	1	136.07800
2173=	1	136.09800
2173=	1	136.16800
2173=	1	136.22800
2173=	1	136.25001
2173=	1	136.26100
2173=	1	136.30000
2173=	1	136.30057
2173=	1	136.33245
2173=	1	136.35519
2173=	1	136.36197
2173=	1	136.37722
2173=	1	136.57906
2173=	1	136.60800
2173=	1	136.62300
2173=	1	136.67470
2173=	1	136.75751
2173=	1	136.79253
2173=	1	136.80858
2173=	1	136.82851
2173=	1	136.90600
2173=	1	136.92300
2173=	1	137.05500
2173=	1	137.20526
2173=	1	137.22423
2173=	1	137.35333
2173=	1	137.40055
2173=	1	137.45000
2173=	1	137.52260
