rank	count	Longitude
1471=	3	132.30000
1471=	3	132.74370
1471=	3	132.81670
1471=	3	132.83937
1471=	3	132.90000
1471=	3	132.94656
1471=	3	133.08333
1471=	3	133.38583
1471=	3	133.63333
1471=	3	133.88713
1471=	3	133.95000
1471=	3	134.22000
1471=	3	134.78900
1471=	3	135.23300
1471=	3	135.35771
1471=	3	135.49944
1471=	3	135.98089
1471=	3	136.03000
1471=	3	136.05000
1471=	3	136.65853
1471=	3	137.52000
1471=	3	137.63100
1471=	3	137.73489
1471=	3	137.90282
1471=	3	137.92330
1471=	3	137.97046
1471=	3	138.23800
1471=	3	138.41230
1471=	3	138.47300
1471=	3	138.49541
1471=	3	138.53000
1471=	3	138.61000
1471=	3	138.62379
1471=	3	138.64000
1471=	3	138.65000
1471=	3	138.73333
1471=	3	138.99535
1471=	3	139.67000
1471=	3	140.32404
1471=	3	140.40993
1471=	3	140.78600
1471=	3	140.79742
1471=	3	141.07900
1471=	3	141.60233
1471=	3	141.78112
1471=	3	142.03333
1471=	3	142.24936
1471=	3	142.29000
1471=	3	142.30000
1471=	3	142.42700
1471=	3	142.75000
1471=	3	142.81639
1471=	3	142.83333
1471=	3	143.30701
1471=	3	143.60000
1471=	3	143.97047
1471=	3	144.22028
1471=	3	144.53000
1471=	3	144.68333
1471=	3	144.82039
1471=	3	145.02500
1471=	3	145.08300
1471=	3	145.11666
1471=	3	145.12080
1471=	3	145.12668
1471=	3	145.14000
1471=	3	145.18333
1471=	3	145.28056
1471=	3	145.29083
1471=	3	145.40000
1471=	3	145.41516
1471=	3	145.46700
1471=	3	145.48100
1471=	3	145.48330
1471=	3	145.48910
1471=	3	145.51832
1471=	3	145.53304
1471=	3	145.53330
1471=	3	145.60089
1471=	3	145.61666
1471=	3	145.61800
1471=	3	145.63000
1471=	3	145.63694
1471=	3	145.80000
1471=	3	145.83330
1471=	3	145.93330
1471=	3	146.14000
1471=	3	146.15000
1471=	3	146.16000
1471=	3	146.17744
1471=	3	146.21777
1471=	3	146.31667
1471=	3	146.40000
1471=	3	146.47425
1471=	3	146.73865
1471=	3	146.91800
1471=	3	146.96300
1471=	3	147.08451
1471=	3	147.16700
1471=	3	147.23500
1471=	3	147.43333
1471=	3	147.78830
1471=	3	147.82666
1471=	3	148.07944
1471=	3	148.09805
1471=	3	148.21611
1471=	3	148.23333
1471=	3	148.40999
1471=	3	148.48000
1471=	3	148.48400
1471=	3	148.56670
1471=	3	148.78300
1471=	3	148.83930
1471=	3	148.90120
1471=	3	149.03333
1471=	3	149.10000
1471=	3	149.26555
1471=	3	149.36666
1471=	3	149.53000
1471=	3	149.63000
1471=	3	149.79921
1471=	3	149.84999
1471=	3	149.85833
1471=	3	150.16700
1471=	3	150.21980
1471=	3	150.33300
1471=	3	150.75100
1471=	3	150.94275
1471=	3	150.96611
1471=	3	150.97612
1471=	3	151.03460
1471=	3	151.06544
1471=	3	151.06800
1471=	3	151.16700
1471=	3	151.21670
1471=	3	151.28207
1471=	3	151.41670
1471=	3	151.53400
1471=	3	151.63981
1471=	3	151.65400
1471=	3	151.66510
1471=	3	151.75121
1471=	3	151.77818
1471=	3	151.80731
1471=	3	151.91900
1471=	3	152.08500
1471=	3	152.15000
1471=	3	152.36528
1471=	3	152.36968
1471=	3	152.53800
1471=	3	152.66800
1471=	3	152.67810
1471=	3	152.69500
1471=	3	152.71235
1471=	3	152.73822
1471=	3	152.76500
1471=	3	152.76670
1471=	3	152.89300
1471=	3	152.98300
1471=	3	153.01277
1471=	3	153.08995
1471=	3	153.10799
1471=	3	153.11000
1471=	3	153.11805
1471=	3	156.99999
1471=	3	158.22799
1471=	3	159.07500
1471=	3	160.14555
1471=	3	160.17535
1471=	3	160.30000
1471=	3	160.70578
1471=	3	166.44204
1471=	3	166.93333
1471=	3	167.94900
1471=	3	168.03333
1471=	3	168.13676
1471=	3	169.26935
1471=	3	172.66667
1471=	3	173.24900
1471=	3	174.50000
1471=	3	175.25021
1471=	3	175.28333
1471=	3	177.94588
1471=	3	177.98333
1471=	3	177.99969
1471=	3	178.47210
1471=	3	178.48468
1471=	3	178.92191
1471=	3	179.19914
1471=	3	98.79381
1724=	2	100.36670
1724=	2	100.48438
1724=	2	101.37527
1724=	2	101.40700
1724=	2	101.58060
1724=	2	101.64220
1724=	2	101.74041
1724=	2	101.84343
1724=	2	103.84800
1724=	2	106.83000
1724=	2	110.41572
1724=	2	112.51341
1724=	2	112.93305
1724=	2	113.48900
1724=	2	113.67257
1724=	2	113.93700
1724=	2	114.04884
1724=	2	114.36675
1724=	2	114.61400
1724=	2	114.61666
1724=	2	114.61812
1724=	2	114.66666
1724=	2	114.72694
1724=	2	114.98333
1724=	2	115.02580
1724=	2	115.04970
1724=	2	115.06744
1724=	2	115.13451
1724=	2	115.14850
1724=	2	115.26759
1724=	2	115.31950
1724=	2	115.46602
1724=	2	115.64583
1724=	2	115.73800
1724=	2	115.74705
1724=	2	115.82100
1724=	2	115.83620
1724=	2	115.83769
1724=	2	115.93279
1724=	2	115.94100
1724=	2	115.98758
1724=	2	115.99815
1724=	2	116.00200
1724=	2	116.00807
1724=	2	116.02930
1724=	2	116.02972
1724=	2	116.05673
1724=	2	116.06666
1724=	2	116.08017
1724=	2	116.10600
1724=	2	116.11700
1724=	2	116.18346
1724=	2	116.23333
1724=	2	116.32807
1724=	2	116.37550
1724=	2	116.47091
1724=	2	116.47769
1724=	2	116.50994
1724=	2	116.54328
1724=	2	116.54347
1724=	2	116.54691
1724=	2	116.66633
1724=	2	116.79305
1724=	2	116.79527
1724=	2	116.84594
1724=	2	116.90861
1724=	2	116.94266
1724=	2	116.96666
1724=	2	116.98333
1724=	2	117.23080
1724=	2	117.35000
1724=	2	117.61000
1724=	2	117.69111
1724=	2	117.70000
1724=	2	117.94740
1724=	2	117.95218
1724=	2	117.96833
1724=	2	118.05972
1724=	2	118.07083
1724=	2	118.11666
1724=	2	118.71670
1724=	2	118.91670
1724=	2	119.07530
1724=	2	119.14916
1724=	2	119.25620
1724=	2	119.65200
1724=	2	119.80000
1724=	2	119.85622
1724=	2	120.56697
1724=	2	120.56930
1724=	2	120.59500
1724=	2	120.64588
1724=	2	120.80425
1724=	2	121.10000
1724=	2	121.19791
1724=	2	121.24360
1724=	2	121.33000
1724=	2	121.41666
1724=	2	121.66666
1724=	2	122.03333
1724=	2	122.07937
1724=	2	122.23400
1724=	2	122.23560
1724=	2	122.38450
1724=	2	123.09528
1724=	2	123.23500
1724=	2	123.28333
1724=	2	123.45000
1724=	2	123.68000
1724=	2	124.07000
1724=	2	124.90000
1724=	2	124.94600
1724=	2	124.98800
1724=	2	125.06666
1724=	2	125.16670
1724=	2	125.47000
1724=	2	125.49000
1724=	2	125.50000
1724=	2	125.78854
1724=	2	125.89500
1724=	2	125.95351
1724=	2	126.03333
1724=	2	126.53137
1724=	2	126.96400
1724=	2	127.84583
1724=	2	127.95445
1724=	2	128.36667
1724=	2	128.38166
1724=	2	128.78239
1724=	2	128.98333
1724=	2	129.08888
1724=	2	130.31100
1724=	2	130.70000
1724=	2	130.92100
1724=	2	130.93500
1724=	2	130.95700
1724=	2	131.21040
1724=	2	132.25100
1724=	2	132.46666
1724=	2	132.47292
1724=	2	132.50000
1724=	2	132.55000
1724=	2	132.76389
1724=	2	132.85000
1724=	2	132.96666
1724=	2	133.04000
1724=	2	133.11451
1724=	2	133.46661
1724=	2	133.47000
1724=	2	133.54269
1724=	2	133.71666
1724=	2	133.76200
1724=	2	133.81688
1724=	2	133.88000
1724=	2	134.16000
1724=	2	134.21500
1724=	2	134.22400
1724=	2	134.51717
1724=	2	134.54000
1724=	2	135.13400
1724=	2	135.31500
1724=	2	135.48333
1724=	2	135.51900
1724=	2	135.57600
1724=	2	135.83333
1724=	2	136.18750
1724=	2	136.27945
1724=	2	136.35017
1724=	2	137.58700
1724=	2	137.77611
1724=	2	137.77916
1724=	2	137.89847
1724=	2	138.10600
1724=	2	138.11035
1724=	2	138.11719
1724=	2	138.18801
1724=	2	138.23083
1724=	2	138.27400
1724=	2	138.37400
1724=	2	138.49777
1724=	2	138.58614
1724=	2	138.60369
1724=	2	138.64143
1724=	2	138.66001
1724=	2	138.70000
1724=	2	138.70406
1724=	2	138.71361
1724=	2	138.72000
1724=	2	138.83100
1724=	2	138.84710
1724=	2	138.86416
1724=	2	138.94690
1724=	2	139.08780
1724=	2	139.28767
1724=	2	139.38800
1724=	2	139.47665
1724=	2	139.60100
1724=	2	139.62090
1724=	2	140.02260
1724=	2	140.50000
1724=	2	140.60966
1724=	2	140.69100
1724=	2	140.74757
1724=	2	140.96111
1724=	2	141.43330
1724=	2	141.53300
1724=	2	141.61500
1724=	2	141.73000
1724=	2	142.31120
1724=	2	142.33600
1724=	2	142.88390
1724=	2	142.90000
1724=	2	143.35779
1724=	2	143.46666
1724=	2	143.53100
1724=	2	143.60400
1724=	2	143.66943
1724=	2	144.09990
1724=	2	144.22003
1724=	2	144.60368
1724=	2	144.76670
1724=	2	144.77000
1724=	2	144.89000
1724=	2	144.98333
1724=	2	145.04103
1724=	2	145.09058
1724=	2	145.10840
1724=	2	145.20639
1724=	2	145.25000
1724=	2	145.28555
