rank	count	Host name

1	14920	NULL
2	948	Eremophila sturtii
3	909	Eremophila sp.
4	688	Melaleuca sheathiana
5	623	Waitzia acuminata var. acuminata
6	575	Exocarpos aphyllus
7	559	Verticordia chrysantha
8	507	Pimelea ferruginea
9=	467	Ricinocarpos stylosus
9=	467	Rutidosis helichrysoides
11	463	Olearia axillaris
12	444	Melaleuca rhaphiophylla
13	426	Melaleuca uncinata
14	417	Monotoca elliptica
15=	413	Eremophila freelingii
15=	413	Pultenaea tenuifolia
17	388	Chorilaena quercifolia
18	373	Ozothamnus diosmifolius
19	369	Adenanthos cygnorum subsp. cygnorum_delete
20	353	Pityrodia terminalis
21=	335	Eremophila dempsteri
21=	335	Lachnostachys eriobotrya
23	330	Allocasuarina campestris
24	314	Eremophila duttonii
25	300	Pimelea serpyllifolia subsp. serpyllifolia
26	283	Pileanthus peduncularis subsp. borealis
27	257	Casuarina cunninghamiana
28	252	Phymatocarpus porphyrocephalus
29	251	Eucalyptus pleurocarpa
30	246	Grevillea hookeriana subsp. apiciloba
31	243	Allocasuarina humilis
32	239	Micromyrtus hursthousei
33	235	Callitris glaucophylla
34	232	Spyridium sp.
35	228	Acacia mearnsii
36=	225	Cassytha sp.
36=	225	Leptospermum fastigiatum
38	219	Lyginia imberbis
39	218	Leptocarpus tenax
40	215	Thomasia aff. triphylla
41	209	Diplazium esculentum
42	207	Pileanthus vernicosus
43	200	Sclerostegia disarticulata
44	196	Melaleuca wilsonii
45	195	Eremophila caperata
46	191	Eremophila clarkei
47	187	Callitris intratropica
48	185	Dicrastylis flexuosa
49	181	Newcastelia insignis
50	167	Acacia dealbata subsp. dealbata
51	166	Kunzea ambigua
52	163	Eremophila gilesii
53	160	Melaleuca brevifolia
54	157	Melaleuca glomerata
55	154	Scholtzia drummondii
56	152	Calytrix angulata
57	151	Petrophile drummondii
58	150	Chrysocephalum apiculatum
59	148	Ficus sp.
60=	145	Eucalyptus macrocarpa
60=	145	Olearia xerophila
62	141	Hypolaena humilis
63	140	Diplolaena dampieri
64=	138	Pimelea ferrugineus
64=	138	Scholtzia capitata
66	137	Melaleuca halmaturorum
67	136	Acacia paradoxa
68=	134	Leptospermum lanigerum
68=	134	Melaleuca acerosa
70	133	Verticordia polytricha
71=	132	Hakea muelleriana
71=	132	Melaleuca nodosa
73=	131	Agonis flexuosa var. flexuosa_delete
73=	131	Halgania cyanea
75	130	Casuarina pauper
76	129	Acacia sp.
77=	127	Acacia rostellifera
77=	127	Grevillea eriostachya
79=	126	Allocasuarina paludosa
79=	126	Leptospermum sp.
81	125	Grevillea tetragonoloba
82=	124	Carex incomitata
82=	124	Eremophila ionantha
84=	123	Amyema cambagei
84=	123	Viminaria juncea
86	122	Allocasuarina littoralis
87=	121	Lasiopetalum floribundum
87=	121	Muehlenbeckia florulenta
87=	121	Thomasia macrocarpa
90	119	Keraudrenia integrifolia
91	118	Isopogon teretifolius petrophiloides
92=	117	Agonis flexuosa
92=	117	Alectryon oleifolius subsp. canescens
94=	116	Acacia coriacea subsp. coriacea
94=	116	Agonis parviceps
94=	116	Callitris columellaris
97=	115	Acacia mucronata
97=	115	Eremophila scoparia
97=	115	Grevillea polybotrya
100=	113	Acacia longifolia subsp. sophorae
100=	113	Allocasuarina huegeliana
100=	113	Dicrastylis lewellinii
100=	113	Scaevola basedowii
104=	112	Acacia acinacea
104=	112	Scholtzia leptantha
104=	112	Solanum cf. nemophilum
107	109	Chenopodium murale
108	107	Dodonaea viscosa
109	106	Hakea leucoptera
110=	105	Frankenia sp.
110=	105	Ozothamnus rosmarinifolius
112=	104	Amyema preissii
112=	104	Conospermum boreale
114=	103	Acacia
114=	103	Allocasuarina paradoxa
114=	103	Jacksonia horrida
117	102	Pimelea rosea
118	101	Thryptomene aspera glabra
119=	100	Melaleuca hamulosa
119=	100	Pimelea microcephala
119=	100	Spyridium globulosum
122=	99	Dicrastylis fulva forma fulva
122=	99	Eremophila mitchellii
124	98	Acacia baileyana
125=	97	Cassytha racemosa forma racemosa
125=	97	Darwinia vestita
125=	97	Leptospermum brevipes
128=	96	Pimelea longiflora longiflora
128=	96	Senna form taxon 'coriacea'
130=	95	Conospermum distichum
130=	95	Lysiana exocarpi subsp. exocarpi
