rank	count	HostAuth
306=	2	Gaudich.
306=	2	Hawkeswood
306=	2	Hewson
306=	2	Maslin &#38; Buscumb
306=	2	N.G.Marchant &#38; Keighery ms
306=	2	Radlk.
306=	2	Steen
306=	2	Summerh.
326=	1	&#40;A.Cunn. ex A.DC.&#41; Druce
326=	1	&#40;A.S. George 11346&#41;
326=	1	&#40;Aiton&#41; Baehni
326=	1	&#40;Aiton&#41; Hassk.
326=	1	&#40;Barlow&#41; Craven
326=	1	&#40;Blume&#41; A.DC.
326=	1	&#40;Decne.&#41; Mull. Arg.
326=	1	&#40;Diels&#41; Maiden
326=	1	&#40;Domin&#41; R.M. Barker
326=	1	&#40;F.Muell.&#41; F.Muell.
326=	1	&#40;F.Muell.&#41; K.D.Hill &#38; L.A.S.Johnson
326=	1	&#40;Forssk.&#41; T.Q. Nguyen
326=	1	&#40;G.Don&#41; Benth.
326=	1	&#40;Geiseler&#41; Airy Shaw
326=	1	&#40;L.&#41; Domin
326=	1	&#40;L.&#41; Gaudich.
326=	1	&#40;Link&#41; Sweet
326=	1	&#40;Meisn.&#41; M.W. McDonald &#38; Maslin ms
326=	1	&#40;Paul G.Wilson&#41; K.A.Sheph. &#38; Paul G.Wilson
326=	1	&#40;Poir.&#41; Nied.
326=	1	A.Cunn. ex Schauer
326=	1	A.T. Lee
326=	1	Ali
326=	1	Andrews
326=	1	Blakely &#38; Jacobs
326=	1	Carl Meissner
326=	1	Chappill ms
326=	1	D.C.
326=	1	G. Don
326=	1	Guill.
326=	1	Hook f.
326=	1	Kurz
326=	1	L. Johnson
326=	1	Lour.
326=	1	Merr. &#38; L.M. Perry
326=	1	R. Br. ex DC.
326=	1	Salisb. &#40;Knight&#41;
326=	1	Schlecht.
326=	1	Schlechtd.
326=	1	Tindale &#38; Maslin

62083	TOTAL
