rank	count	Country

1	55668	AUSTRALIA
2	1989	PAPUA NEW GUINEA
3	1076	SOLOMON ISLANDS
4	999	INDONESIA
5	647	NEW CALEDONIA
6	475	MALAYSIA
7	404	PHILIPPINES
8	276	VANUATU
9	246	FIJI
10	172	NEW ZEALAND
11	42	MICRONESIA
12	24	CHRISTMAS ISLAND
13	23	EAST TIMOR
14	12	PALAU
15	11	NORFOLK ISLAND
16	10	SINGAPORE
17	5	THAILAND
18	3	BRUNEI DARUSSALAM
19	1	INDIA

62083	TOTAL
