count$path$bad_name$	suggested_name
    2$_NO_HIGHERTAXON$Abuyogocoris calian$	Abuyogocoris sp_ms_calian
    4$_NO_HIGHERTAXON$Abuyogocoris sp.$	Abuyogocoris sp.
    1$_NO_HIGHERTAXON$Abuyogocoris tawitawi$	Abuyogocoris sp_ms_tawitawi
    2$_NO_HIGHERTAXON$Acaciacapsus amadeus$	Acaciacapsus sp_ms_amadeus
   26$_NO_HIGHERTAXON$Acaciacapsus appha$	Acaciacapsus sp_ms_appha
   24$_NO_HIGHERTAXON$Acaciacapsus aureolus$	Acaciacapsus sp_ms_aureolus
   29$_NO_HIGHERTAXON$Acaciacapsus bournda$	Acaciacapsus sp_ms_bournda
    7$_NO_HIGHERTAXON$Acaciacapsus emeraldensis$	Acaciacapsus sp_ms_emeraldensis
    9$_NO_HIGHERTAXON$Acaciacapsus lolworthensis$	Acaciacapsus sp_ms_lolworthensis
    2$_NO_HIGHERTAXON$Acaciacapsus millstreamensis$	Acaciacapsus sp_ms_millstreamensis
    3$_NO_HIGHERTAXON$Acaciacapsus woodwardi$	Acaciacapsus sp_ms_woodwardi
    1$_NO_HIGHERTAXON$Acrorrhinium bismarkensis$	Acrorrhinium sp_ms_bismarkensis
    1$_NO_HIGHERTAXON$Acrorrhinium monoceros$	Acrorrhinium sp_ms_monoceros
    2$_NO_HIGHERTAXON$Acrorrhinium spicatus$	Acrorrhinium sp_ms_spicatus
    1$_NO_HIGHERTAXON$Acrotelus canariensis$	Acrotelus sp_ms_canariensis
   41$_NO_HIGHERTAXON$Adunatiphylus kalbarri$	Adunatiphylus sp_ms_kalbarri
   29$_NO_HIGHERTAXON$Aeptini sp_gen1_sp1$	Aeptini sp_gen1_sp1
   22$_NO_HIGHERTAXON$Agramma pictipenne$	Agramma sp_ms_pictipenne
    6$_NO_HIGHERTAXON$Agramma sp$	Agramma sp
    7$_NO_HIGHERTAXON$Agramma sp_ms_alpinus$	Agramma sp_ms_alpinus
  155$_NO_HIGHERTAXON$Agramma sp_ms_bicolor$	Agramma sp_ms_bicolor
    2$_NO_HIGHERTAXON$Agramma sp_ms_dalby$	Agramma sp_ms_dalby
  134$_NO_HIGHERTAXON$Agramma sp_ms_donaldsoni$	Agramma sp_ms_donaldsoni
    3$_NO_HIGHERTAXON$Agramma sp_ms_exiguum$	Agramma sp_ms_exiguum
    3$_NO_HIGHERTAXON$Agramma sp_ms_halfpappi$	Agramma sp_ms_halfpappi
    1$_NO_HIGHERTAXON$Agramma sp_ms_horni$	Agramma sp_ms_horni
   17$_NO_HIGHERTAXON$Agramma sp_ms_inceratus$	Agramma sp_ms_inceratus
   95$_NO_HIGHERTAXON$Agramma sp_ms_kinchega$	Agramma sp_ms_kinchega
    6$_NO_HIGHERTAXON$Agramma sp_ms_nebo$	Agramma sp_ms_nebo
    3$_NO_HIGHERTAXON$Agramma sp_ms_pilbara$	Agramma sp_ms_pilbara
    2$_NO_HIGHERTAXON$Agramma sp_ms_postlei$	Agramma sp_ms_postlei
   12$_NO_HIGHERTAXON$Agramma sp_ms_tricolor$	Agramma sp_ms_tricolor
   37$_NO_HIGHERTAXON$Agramma vulturnum$	Agramma sp_ms_vulturnum
   36$_NO_HIGHERTAXON$Aitkenia exocarpos$	Aitkenia sp_ms_exocarpos
   32$_NO_HIGHERTAXON$Aitkenia latevagans$	Aitkenia sp_ms_latevagans
    7$_NO_HIGHERTAXON$Aitkenia sp.$	Aitkenia sp.
    1$_NO_HIGHERTAXON$Alcaeus sp_1$	Alcaeus sp_1
    1$_NO_HIGHERTAXON$Alcaeus varicornis$	Alcaeus sp_ms_varicornis
    7$_NO_HIGHERTAXON$Allocader cordatus$	Allocader sp_ms_cordatus
    3$_NO_HIGHERTAXON$Allocader leai$	Allocader sp_ms_leai
    3$_NO_HIGHERTAXON$Allocader nesiotes$	Allocader sp_ms_nesiotes
    1$_NO_HIGHERTAXON$Allocader sp$	Allocader sp
    1$_NO_HIGHERTAXON$Allocader sp_01$	Allocader sp_01
    4$_NO_HIGHERTAXON$Ambunticoris sulawesicus$	Ambunticoris sp_ms_sulawesicus
    9$_NO_HIGHERTAXON$Amphaces sp.$	Amphaces sp.
    4$_NO_HIGHERTAXON$Amphidexius suspensus$	Amphidexius sp_ms_suspensus
   78$_NO_HIGHERTAXON$Ancoraphylus arctous$	Ancoraphylus sp_ms_arctous
   20$_NO_HIGHERTAXON$Ancoraphylus auski$	Ancoraphylus sp_ms_auski
    8$_NO_HIGHERTAXON$Ancoraphylus carolus$	Ancoraphylus sp_ms_carolus
   21$_NO_HIGHERTAXON$Ancoraphylus mariala$	Ancoraphylus sp_ms_mariala
   10$_NO_HIGHERTAXON$Ancoraphylus sp.$	Ancoraphylus sp.
    7$_NO_HIGHERTAXON$Antestiopsis sp_1$	Antestiopsis sp_1
    2$_NO_HIGHERTAXON$Antestiopsis sp_3$	Antestiopsis sp_3
    2$_NO_HIGHERTAXON$Antestiopsis sp_4$	Antestiopsis sp_4
   14$_NO_HIGHERTAXON$Antestiopsis sp_5$	Antestiopsis sp_5
    1$_NO_HIGHERTAXON$Antestiopsis sp_6$	Antestiopsis sp_6
    2$_NO_HIGHERTAXON$Antestiopsis sp_7$	Antestiopsis sp_7
    2$_NO_HIGHERTAXON$Aphrania vishnou$	Aphrania sp_ms_vishnou
   31$_NO_HIGHERTAXON$Aplerotus sp_nr_grossi$	Aplerotus sp_nr_grossi
    1$_NO_HIGHERTAXON$Aradus albicornis$	Aradus sp_ms_albicornis
   13$_NO_HIGHERTAXON$Arafuramiris biakanus$	Arafuramiris sp_ms_biakanus
