count$path$bad_name$	suggested_name
   72$_NO_HIGHERTAXON$Acacia pinguiculosa subsp. teretifolia$	Acacia sp_ms_pinguiculosa
    3$_NO_HIGHERTAXON$Acacia pravissima$	Acacia sp_ms_pravissima
    1$_NO_HIGHERTAXON$Acacia pulchella var. pulchella$	Acacia sp_ms_pulchella
    2$_NO_HIGHERTAXON$Acacia pycantha$	Acacia sp_ms_pycantha
    2$_NO_HIGHERTAXON$Acacia quadrimarginea$	Acacia sp_ms_quadrimarginea
    4$_NO_HIGHERTAXON$Acacia ramulosa var. linophylla$	Acacia sp_ms_ramulosa
    8$_NO_HIGHERTAXON$Acacia ramulosa var. ramulosa$	Acacia sp_ms_ramulosa
   18$_NO_HIGHERTAXON$Acacia rivalis$	Acacia sp_ms_rivalis
   48$_NO_HIGHERTAXON$Acacia rossei$	Acacia sp_ms_rossei
  127$_NO_HIGHERTAXON$Acacia rostellifera$	Acacia sp_ms_rostellifera
    7$_NO_HIGHERTAXON$Acacia roycei$	Acacia sp_ms_roycei
   18$_NO_HIGHERTAXON$Acacia rubida$	Acacia sp_ms_rubida
    1$_NO_HIGHERTAXON$Acacia saligna subsp. lindleyi$	Acacia sp_ms_saligna
   23$_NO_HIGHERTAXON$Acacia saligna$	Acacia sp_ms_saligna
    5$_NO_HIGHERTAXON$Acacia sclerophylla var. sclerophylla$	Acacia sp_ms_sclerophylla
   76$_NO_HIGHERTAXON$Acacia sclerosperma subsp. sclerosperma$	Acacia sp_ms_sclerosperma
   14$_NO_HIGHERTAXON$Acacia sibina$	Acacia sp_ms_sibina
    4$_NO_HIGHERTAXON$Acacia simplex$	Acacia sp_ms_simplex
  129$_NO_HIGHERTAXON$Acacia sp.$	Acacia sp.
   21$_NO_HIGHERTAXON$Acacia spathulifolia$	Acacia sp_ms_spathulifolia
   42$_NO_HIGHERTAXON$Acacia spirorbis$	Acacia sp_ms_spirorbis
   18$_NO_HIGHERTAXON$Acacia stellaticeps$	Acacia sp_ms_stellaticeps
    1$_NO_HIGHERTAXON$Acacia stenophylla$	Acacia sp_ms_stenophylla
   32$_NO_HIGHERTAXON$Acacia stowardii$	Acacia sp_ms_stowardii
    2$_NO_HIGHERTAXON$Acacia synchronicia$	Acacia sp_ms_synchronicia
    8$_NO_HIGHERTAXON$Acacia terminalis$	Acacia sp_ms_terminalis
    8$_NO_HIGHERTAXON$Acacia tetragonophylla$	Acacia sp_ms_tetragonophylla
    9$_NO_HIGHERTAXON$Acacia tumida var. pilbarensis$	Acacia sp_ms_tumida
    2$_NO_HIGHERTAXON$Acacia umbellata$	Acacia sp_ms_umbellata
    1$_NO_HIGHERTAXON$Acacia verniciflua$	Acacia sp_ms_verniciflua
    3$_NO_HIGHERTAXON$Acacia verticillata subsp. verticillata$	Acacia sp_ms_verticillata
   14$_NO_HIGHERTAXON$Acacia verticillata var. verticillata$	Acacia sp_ms_verticillata
   34$_NO_HIGHERTAXON$Acacia victoriae$	Acacia sp_ms_victoriae
    1$_NO_HIGHERTAXON$Acacia xiphophylla$	Acacia sp_ms_xiphophylla
  103$_NO_HIGHERTAXON$Acacia$	Acacia
    1$_NO_HIGHERTAXON$Acalypha gracilens$	Acalypha sp_ms_gracilens
    6$_NO_HIGHERTAXON$Acalypha insulana$	Acalypha sp_ms_insulana
    1$_NO_HIGHERTAXON$Acalypha sp.$	Acalypha sp.
    4$_NO_HIGHERTAXON$Acalypha$	Acalypha
    2$_NO_HIGHERTAXON$Acanthostachys strobilacea$	Acanthostachys sp_ms_strobilacea
    1$_NO_HIGHERTAXON$Acer barbatum$	Acer sp_ms_barbatum
    1$_NO_HIGHERTAXON$Acer negundo$	Acer sp_ms_negundo
    1$_NO_HIGHERTAXON$Acer palmatum$	Acer sp_ms_palmatum
   12$_NO_HIGHERTAXON$Acer rubrum$	Acer sp_ms_rubrum
    1$_NO_HIGHERTAXON$Acer saccharinum$	Acer sp_ms_saccharinum
    9$_NO_HIGHERTAXON$Acer sp.$	Acer sp.
