rank	count	N_FAMILY
426=	8	HEMIGALEIDAE
426=	8	MENISPERMACEAE
426=	8	MOLOSSIDAE
426=	8	Noctuidae
426=	8	PHAETHONTIDAE
426=	8	PYGOPODIDAE
426=	8	Peramelidae 
426=	8	Pinaceae
426=	8	Pyralidae
426=	8	RANUNCULACEAE
426=	8	Rhynchobatidae
426=	8	THYMELACEAE
449=	7	ASPARAGACEAE
449=	7	BUXACEAE
449=	7	Balistidae
449=	7	Burramyidae
449=	7	Carcharhinidae
449=	7	Cyperaceae
449=	7	DIODONTIDAE
449=	7	DIPLODACTYLIDAE
449=	7	DROMAIIDAE
449=	7	Dasyatidae
449=	7	Dilleniaceae
449=	7	FRINGILLIDAE
449=	7	Geraniaceae
449=	7	Guttiferae (Clusiaceae)
449=	7	HIPPOSIDERIDAE
449=	7	HYPSOPRYMNODONTIDAE
449=	7	LIMNODYNASTIDAE
449=	7	MAGNOLIACEAE
449=	7	MULLIDAE
449=	7	MYCTOPHIDAE
449=	7	Myobatrachidae
449=	7	NOTHOFAGACEAE
449=	7	NOTORYCTIDAE
449=	7	ORNITHORHYNCHIDAE
449=	7	RESTIONACEAE
449=	7	RETROPINNIDAE
449=	7	SOLEIDAE
449=	7	THYLACOMYIDAE
449=	7	Tetraodontidae
449=	7	Vitaceae
449=	7	fabaceae
449=	7	mimosaceae
481=	6	ACROBATIDAE
481=	6	AEGOTHELIDAE
481=	6	ALBUNEIDAE
481=	6	ANACAEDIACEAE
481=	6	ANNACARDIACEAE
481=	6	Aleyrodidae
481=	6	BOPYRIDAE
481=	6	BROMELIEACEAE
481=	6	CALANOIDAE
481=	6	CALLIPHORIDAE
481=	6	CAMPANULACEAE
481=	6	CAMPEPHAGIDAE
481=	6	CARPHODACTYLIDAE
481=	6	CAVIIDAE
481=	6	CERATODONTIDAE
481=	6	CLINIDAE
481=	6	COMASTERIDAE
481=	6	CORYLACEAE
481=	6	Columbidae
481=	6	Compositae (Asteraceae)
481=	6	Cucurbitaceae
481=	6	DALATIIDAE
481=	6	Dromaiidae
481=	6	ERIOPHYIDAE
481=	6	ESTRILDIDAE
481=	6	EUPHORBIACAEA
481=	6	FLATIDAE
481=	6	FRANKENIACEAE
481=	6	Fagaceae
481=	6	Felidae
481=	6	GRALLINIDAE
481=	6	GYROSTEMONACEAE
481=	6	Guttiferae
481=	6	HYDROBATIDAE
481=	6	IEPACRIDACEAE
481=	6	JACANIDAE
481=	6	Notoryctidae
481=	6	PEMPHERIDAE
481=	6	PHASCOLARTIDAE
481=	6	PRCHIDACEAE
481=	6	PRISTIDAE
481=	6	Palmae
481=	6	Porcellanidae
481=	6	RANIDAE
481=	6	SCARIDAE
481=	6	Struthionidae
481=	6	TIMALIIDAE
481=	6	TRIGLIDAE
481=	6	Varanidae 
530=	5	AEGIDAE
530=	5	AGARICACEAE
530=	5	AKANIACEAE
530=	5	ANTHERICACEAE
530=	5	APODIDAE
530=	5	ARACEACE
530=	5	BOTHIDAE
530=	5	CAESALPINACEAE
530=	5	CANNACEAE
530=	5	CENTROPHORIDAE
530=	5	CHIMAERIDAE
530=	5	CICONIIDAE
530=	5	COCHLOSPERMACEAE
530=	5	CONIFERAE
530=	5	CYNOGLOSSIDAE
530=	5	CYTTIDAE
530=	5	DORYANTHACEAE
530=	5	DRYOPTERIDACEAE
530=	5	Dipterocarpaceae
530=	5	EURYBRACHYIDAE
530=	5	GESNERIACEAE
530=	5	GYMNURIDAE
530=	5	HEXANCHIDAE
530=	5	HYLOBATIDAE
530=	5	HYPERICACEAE
530=	5	Hemerocallidaceae
530=	5	Hypsiprymnodontidae
530=	5	LAMNIDAE
530=	5	LORANATHACEAE
530=	5	LYCOPODIACEAE
530=	5	Leguminosaceae
530=	5	Liliaceae
530=	5	MALURIDAE
530=	5	MARANTACEAE
530=	5	Mustelidae
530=	5	ODONTASPIDIDAE
530=	5	OVIDAE
530=	5	Ostraciidae
530=	5	PARADISAEIDAE
530=	5	PARALICHTHYIDAE
530=	5	PENTACEROTIDAE
530=	5	PHORMIACEAE
530=	5	POLYGALACEAE
530=	5	POLYNEMIDAE
530=	5	POTALIACEAE
530=	5	PSITT ACIDAE
530=	5	PYRALIDAE
530=	5	Polygonaceae
530=	5	Pteridaceae
530=	5	RHINIDAE
530=	5	SCARABAEIDAE
530=	5	SCORPIDIDAE
530=	5	SCYLIORHINIDAE
530=	5	SIMAROUBACEAE
530=	5	VACCINIACEAE
585=	4	AIZOACEAE
585=	4	ALLIACEAE
585=	4	APIDAE
585=	4	ARCIDAE
585=	4	Acroporidae
585=	4	Amaranthaceae
585=	4	Aspleniaceae
585=	4	BERBERIDACEAE
585=	4	BURHINIDAE
585=	4	Boidae 
585=	4	Boraginaceae
585=	4	Bufonidae
585=	4	CHIMERIDAE
585=	4	CHIONIDAE
585=	4	CHIROCENTRIDAE
585=	4	CICADELLIDAE
585=	4	Colubridae 
585=	4	DASYATIDIDAE
585=	4	DIGNONIACEAE
585=	4	DIOGENIDAE
585=	4	Dasyuridae 
585=	4	EUPOMATIACEAE
585=	4	GEOMETRIDAE
585=	4	GNATHIIDAE
585=	4	Geckonidae
585=	4	Gelechiidae
585=	4	Goodeniaceae
585=	4	HEPIALIDAE
585=	4	HOLOCENTRIDAE
585=	4	HYPOXIDACEAE
585=	4	IDIOPIDAE
585=	4	LATIDAE
585=	4	MAJIDAE
585=	4	MEGAPODIDAE
585=	4	MENURIDAE
585=	4	MERLUCCIIDAE
585=	4	MICROHYLIDAE
585=	4	MITSUKURINIDAE
585=	4	MURAENESOCIDAE
585=	4	Meliaceae
585=	4	NUMIDIDAE
585=	4	NYMPHALIDAE
585=	4	Orchidaceae
585=	4	PARAMOEBIDAE
585=	4	PARDALOTIDAE
585=	4	PERCIDAE
585=	4	PHALOCROCORACIDAE
585=	4	PHYSETERIDAE
585=	4	PIPIDAE
585=	4	PLATALEIDAE
585=	4	PORELLANIDAE
585=	4	PORTULACEAE
585=	4	PSEUDOMUGILIDAE
585=	4	Pandanaceae
585=	4	Pittosporaceae
585=	4	RHINOLOPHIDAE
585=	4	SQUATINIDAE
585=	4	STEGOSTOMATIDAE
585=	4	Santalaceae
585=	4	Scincidae
585=	4	TAMARICACEAE
585=	4	THIARIDAE
585=	4	TORTRICIDAE
585=	4	Termitidae
585=	4	Urticaceae
585=	4	VERBENIACEAE
585=	4	ZOSTEROPIDAE
652=	3	ACACIAE
652=	3	ACROCHORDIDAE
652=	3	ADIANTACEAE
652=	3	AGLAOPHENIIDAE
652=	3	ALCEDINIDAE
652=	3	APLODACTYLIDAE
652=	3	APPLIDAE
652=	3	AULOSTOMIDAE
652=	3	BALAENIDAE
652=	3	BELONIDAE
652=	3	Boidae  
652=	3	CALLORHINCHIDAE
652=	3	CHIRONEMIDAE
652=	3	CHLOANTHACEAE
652=	3	CONGIOPODIDAE
652=	3	Cactaceae
652=	3	Colubridae  
652=	3	Cunoniaceae
652=	3	DUGONGIDAE
652=	3	Dennstaedtiaceae
652=	3	Flacourtiaceae
652=	3	GLAUCOSOMATIDAE
652=	3	HAEMATOPODIDAE)
652=	3	HAEMODOACEAE
652=	3	HYPNIDAE
652=	3	Haemodoraceae
652=	3	Lecythidaceae
652=	3	MACROPALLINDAE
652=	3	MELALEUCACEAE
652=	3	MELASTOMACEAE
652=	3	MUSCIDAE
652=	3	Mantidae
652=	3	Miridae
652=	3	NARCINIDAE
652=	3	NITRARIACEAE
652=	3	OSTEOGLOSSIDAE
652=	3	PAPILIONACEAE
652=	3	PARASCYLIIDAE
652=	3	PECTINIDAE
652=	3	PONTEDERIACEAE
652=	3	PROCELLARIIDAE)
652=	3	Primulaceae
652=	3	SAPINDIACEAE
652=	3	STROMATEIDAE
652=	3	STRUTHIONIDAE
652=	3	Scrophulariaceae
652=	3	Serranidae
652=	3	Sterculiaceae
652=	3	TINGIDAE
652=	3	TRACHICHTHYIDAE
652=	3	Tenuipalpidae
652=	3	Umbelliferae
652=	3	VIVERRIDAE
652=	3	ZAMIACEA
652=	3	ZIPHIIDAE
707=	2	ACANTHIZIDAE
707=	2	ALISMATACEAE
707=	2	ALPHEIDAE
707=	2	APHIDIDAE
707=	2	ARACACEAE
707=	2	ASTROPECTINIDAE
707=	2	ATHEROSPERMATACEAE
707=	2	Acaridae
707=	2	Achariaceae
707=	2	Actiniidae
707=	2	Agamidae
707=	2	Agamidae 
707=	2	Araceae
707=	2	Asparagaceae
707=	2	Asteracaea
707=	2	BIGNONIACEAE
707=	2	BOMBACEAE
707=	2	Bignoniaceae
707=	2	Blechnaceae
707=	2	Bombacaceae
707=	2	CEBIDAE
707=	2	CERATOPOGONIDAE
707=	2	CHAMIDAE
707=	2	CHARACIDAE
707=	2	CHARADRI IDAE
707=	2	CHIONIDIDAE
707=	2	CICADIDAE
707=	2	CICHLIDAE
707=	2	CLIMACTERIDAE
707=	2	CLYPEASTERIDAE
707=	2	COLOBOMETRIDAE
707=	2	Campanulaceae
707=	2	Centrolophidae
707=	2	Convolvulaceae
707=	2	DROSERACEAE
707=	2	Dayuridae
707=	2	ESCALLONIACEAE
707=	2	EUPHORBIACEAE (PHYLLANTHACEAE)
707=	2	FLINDERSIACEAE
707=	2	FOUQUIERIACEAE
707=	2	HAMMAMELIDACEAE
707=	2	HEMEROCALLIDACEAE
707=	2	HIPPOCASTANACEAE
707=	2	HYGROMIIDAE
707=	2	JUNCACEAE
707=	2	Juncaceae
707=	2	LARIDAE)
707=	2	LINACEAE
707=	2	LYMANTRIIDAE
707=	2	Lutjanidae
707=	2	MACRORAMPHOSIDAE
707=	2	MAGAPODIDAE
707=	2	MEGASCOLECIDAE
