rank	count	NAME_COMPLETE

1	540	Lindingaspis rossi
2	484	Charaxes sempronius
3	440	Aspidiotus nerii
4	405	Hypochrysops ignitus
5	350	Hemiberlesia lataniae
6	324	Nacaduba biocellata
7	304	Papilio (Princeps) aegeus
8	300	Aonidiella aurantii
9=	279	Lampides boeticus
9=	279	Theclinesthes serpentatus
11	265	Chrysomphalus aonidum
12=	243	Jalmenus evagoras
12=	243	Theclinesthes miskini
14	230	Junonia villida
15	205	Coridromius chenopoderis
16	203	Graphium agamemnon
17	200	Chrysomphalus dictyospermi
18	189	Zizina otis
19	185	Pinnaspis strachani
20	170	Junonia orithya
21	168	Graphium sarpedon
22=	162	Anthene lycaenoides
22=	162	Arhopala micale
24	160	Vanessa kershawi
25=	153	Hypochrysops apelles
25=	153	Hypolycaena phorbas
25=	153	Jalmenus icilius
28	150	Phaedyma shepherdi
29	147	Euploea corinna
30=	144	Candalides absimilis
30=	144	Ogyris amaryllis
32=	143	Arhopala centaurus
32=	143	Arhopala eupolis
34=	140	Danaus chrysippus
34=	140	Hypolimnas bolina
36	135	Parlatoria pittospori
37	134	Toxoplasma gondii
38	133	Graphium eurypylus
39	130	Hemiberlesia rapax
40=	126	Catopsilia pomona
40=	126	Papilio (Princeps) fuscus
42	120	Delias aganippe
43=	117	Creontiades dilutus
43=	117	Hypochrysops delicia
43=	117	Ogyris zosine
43=	117	Prosotas dubiosa
47	115	Helicotylenchus sp.
48	114	Helicotylenchus dihystera
49	111	Physalopteroides filicauda
50=	110	Abgrallaspis cyanophylli
50=	110	Delias argenthona
50=	110	Melanitis leda
53=	108	Hypochrysops narcissus
53=	108	Jalmenus daemeli
53=	108	Neolucia agricola
53=	108	Trichomitus batrachorum
57	106	Nysius vinitor
58=	102	Leptoglossus gonagra
58=	102	Xenaleyrodes artocarpi
60=	99	Anthene seltuttus
60=	99	Candalides heathi
60=	99	Deudorix diovis
60=	99	Ogyris genoveva
60=	99	Prosotas felderi
65	98	Graphium macleayanum
66	96	Aleurotrachelus dryandrae
67=	95	Aspidiotus destructor
67=	95	Diaspidiotus perniciosus
69	93	Spirometra erinaceieuropaei
70=	90	Aleuroplatus pectiniferus
70=	90	Aonidiella orientalis
70=	90	Delias nigrina
70=	90	Geitoneura klugii
70=	90	Heteronympha merope
70=	90	Jalmenus ictinus
70=	90	Pseudaulacaspis pentagona
70=	90	Tisiphone abeona
78	89	Microfilaria sp.
79	88	Acraea andromacha
80	86	Spironucleus elegans
81=	84	Giardia duodenalis
81=	84	Netrocoryne repanda
83	82	Ausejanus albisignatus
84=	81	Euchrysops cnejus
