rank	count	TAXON_LSID
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:7896f7ba-ec4f-47dc-af2e-340abc0ac1ba
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:78d9f08c-2c32-46fe-beba-4b68e3ab6a3c
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:7af1a2db-e679-4099-935b-886b524f081e
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:7b7a5a33-572d-4ae4-ae6b-32517a29a8e9
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:7c92a444-0b00-4436-92bd-7ff9436842c8
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:7da29f3b-0654-4556-af25-c72b7f258270
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:7db52d73-f823-4b81-b137-d5222d51f225
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:7ed487a6-f0c3-4a45-bba0-72b2b666f1cd
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:80735f17-093d-4a46-beb4-8f80c1454d81
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:84d443ef-27e0-437e-b03b-37d479f68964
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:85a75070-da21-45a6-82aa-792bcb5ccccb
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:8a7368d8-a026-4829-b8f5-072c5e3ef2d9
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:8c476cc8-35cd-4e9d-ab7b-e30ebe89b6e4
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:8e2392f4-4c5c-4a7a-bd33-7e6cdd1ae01c
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:8ec0e88f-4b7e-4c87-8dae-3de0cd72e8e3
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:917bec81-09d5-4a97-9ef3-762f007135d7
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:91958486-3e8b-4a8a-bbd6-181854fe2386
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:92628104-bc43-4ebd-b614-6e8e3aacbd4d
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:9303d20e-99f1-47c4-9f01-fae3ef67ebb6
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:9490e360-0b97-451c-ad77-2e96d222ea3a
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:94f1b63a-4873-4551-8e9f-97e6a6563dba
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:976c751f-aff2-43dc-bc63-aec4c0b7bc16
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:98c02f5c-ad23-4b78-9647-bea65c0389d5
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:9af0a88c-4e62-465e-ba35-461cb80c4edd
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:9cc0863f-0fb0-0b3b-e044-00144f3b4a43
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:9cc0863f-10fd-0b3b-e044-00144f3b4a43
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:9cc0863f-1250-0b3b-e044-00144f3b4a43
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:9cc0863f-125c-0b3b-e044-00144f3b4a43
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:9d754960-9a43-4f66-b9b0-cad23f8b842d
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:a05184d6-03ac-409b-afd3-7c8f3d1bc0ce
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:a2562aa5-67ad-4e79-98dd-1aea603bf7b1
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:a25cf08f-0fa2-4bf4-b0ac-81881cea2c0a
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:a45cb2df-1585-4bdd-91f1-15f7b2cd2a31
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:a4d31737-5b37-4fba-a13c-7ea5a2e3d8e8
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:af7209c5-a0f8-4b5a-925a-603dab1395b8
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:b0d00126-ba16-4ef4-b73f-4a625e934b49
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:b234f936-b1b8-3686-e044-00144f3b4a43
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:b234f936-b6bc-3686-e044-00144f3b4a43
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:b286ff0e-9614-1327-e044-00144f3b4a43
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:b286ff0e-963d-1327-e044-00144f3b4a43
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:b286ff0e-9870-1327-e044-00144f3b4a43
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:b6472dd8-bd9d-4dd6-8ff0-328f6e06e732
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:b6626282-2c77-4fb2-9cb2-4b0543f39fc1
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:b6bb2fa6-1d5f-4dcb-ac95-8383171178ac
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:b7e88bfb-d405-4cd3-b4fb-8e85be3cb580
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:b9b68d59-05dd-45dc-a072-f78a0f6c3940
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:bb7dac84-188f-4bdd-a7be-a8cfc992f9fa
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:bcff2cb0-dab1-4e46-99ec-beb9b187c372
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:bd6e8bdd-8922-4750-8b30-461e06055e08
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:bd7bbc24-471f-4b1b-9656-02a02684ca82
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:bd85b3ea-dc06-4760-a2f4-688161f933fa
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:bfa1f085-0e5d-4e6e-a03a-bc480231a70f
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:c2b8445f-e093-42ed-b265-ef2cff8ad15b
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:c3b23181-5194-4548-9684-c7afc62ea073
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:c456e112-2372-471e-84c7-ea55f7c1ed19
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:c53ba475-4547-41bb-86ca-fbfcfbf99ef5
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:c68322de-8561-4b05-bce9-10141bcd5126
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:c7cbaa38-51f5-4e30-a222-3c9780f6cac4
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:c817ad3c-1ea5-4936-87ab-4cd8ef0f6d6a
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:ca109945-18d3-4cb7-9f2f-1e6679600bfb
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:cb9fe025-4d54-49b8-9f9d-fd36a5f87835
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:ccbaa102-cb5a-4d34-b322-347e57ef1a92
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:cdfb8855-cf74-4267-9a12-029903a9d85c
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:ce1aff48-f52f-41e0-b103-2e8c966fa67e
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:cfb511e0-bbcd-4a4b-af8c-a1ec6804efcd
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:d2b13ca3-39e9-4991-9c28-ab982be21c8f
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:d311aec6-bf0f-47e5-92e8-6ce11848dd53
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:d4182523-ea16-4ba8-a6b3-280810b3f444
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:d4fb0409-7dc6-4b84-bf54-014a059ba48b
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:d816c089-4f8a-4297-9a2b-a819328a8730
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:d839c78c-ba15-47da-8ecc-a2eb29789bdb
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:dc61a2d2-beb0-4fe7-9ce5-a2507f620693
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:dc75ae54-e9df-4022-8e17-5719b173e110
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:dfdbd6a7-e1ec-41a7-8ed3-18a614d525b3
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:e2484197-f535-46bd-bec4-217a8259b850
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:e31b4e88-9041-4deb-9aea-d67b5244dc70
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:eb9f25b9-4040-47a9-9d76-a1abccef9ec5
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:ec1c43cb-573f-4d93-b9db-3ec16cd0c65f
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:ef21464f-8a7d-4aae-af0b-bb572548d1c1
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:f034960a-0987-4fa3-a80a-9c9d87371a37
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:f340f1f8-e681-4538-a908-a1a49b63929c
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:f6aa85b7-4921-4daa-8d36-5da9b63a781a
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:f8408a16-94b2-4d81-9b6d-923f321ad29c
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:f8d7bdfd-bd10-4939-9ddf-5c66dd39897f
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:f9d99c38-2d32-4e88-879b-f5187483987c
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:fd96f26d-653d-4d9e-bb81-182c7610cd8a
1286=	8	urn:lsid:biodiversity.org.au:afd.taxon:ff180e95-948f-4d47-99ef-b9411ce3e47d
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:01097257-8c15-49c3-97be-e4ec9cff1a86
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:01fb3f0d-ea49-49f9-915f-85e4a5505663
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:031f5fb2-96f8-475e-afb5-30d554cba3a8
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:0380d996-ee3f-467e-87df-6da4b8e27a91
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:03856ed2-28d9-40b6-b0d2-e17e6a832ca5
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:04f65dfb-0874-43c0-82e2-dc4dd57305d5
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:059e6032-c14a-4763-9ebc-9275a44665e0
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:06c8d8d1-a150-4175-a5e1-8603029e0c15
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:07b8a89c-a269-405f-8aad-e38cce0bd482
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:0888907e-da1b-4b45-bf3e-369783746dae
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:09f75453-44f7-49c8-bb21-099b942f3e2f
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:0a14e534-40be-4127-9e29-b04abf90e22a
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:0a3a57df-91f5-4713-a55f-9b9e727b04d5
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:0b64e7e8-27a3-4d62-b27a-f2966c19fd2c
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:0d1c3f51-5829-481d-8b8e-0c508f599c49
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:0edb9051-63f6-4406-b9ad-e7b3549a3134
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:0f28ad6f-5d21-4bdc-b18e-a387cb3d8c41
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:0f6f393b-b69c-4bf5-b77e-e8e3469284e9
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:10133cee-1e33-4721-b04a-907a7619d32d
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:1186096a-c379-42c8-84ca-715ed3b87713
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:11bad092-bc9b-4815-80ee-41510f9861bb
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:120883ab-9d6b-42f1-8235-560188b8f0c5
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:126356bc-c396-435c-9261-1abccf2fb62e
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:137fb4a7-fa2b-43bf-9699-16ea70ae63e5
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:16547f58-71db-435b-bf50-b4081a77be9b
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:16abd3b9-3bae-4258-b26f-2766fbc88e78
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:1bac84de-f546-4085-8fdc-266f7dfd7d3b
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:1c125f68-da87-41fc-9580-62f71d6e7463
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:1c9bcc6c-098a-49f9-af54-77ccb55f0951
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:1d89b8ff-0dbd-4511-ae8d-87d2cfc7becb
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:1db9229a-3ec9-4b8b-962d-311623257b86
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:1ff9abb4-558c-4d79-961b-4e6f3027da75
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:20f26669-dfbd-4439-9d85-0e5b9c0d2815
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:22304397-d425-488c-9feb-54ba330c8c2f
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:226e2868-82ba-4fb8-b1f9-ad09c4ce7b90
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2364d72f-11a7-4a71-8d98-11ccd935ff7d
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:24778303-9709-4e63-8cd0-16994b68f75c
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:256afa1b-b83d-46f0-9f82-c8806357fe53
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:262cd6f3-8664-4a45-865a-2f2f82b47292
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:26f25b7b-64c2-4a56-98bc-10a4e5b7184f
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:27fb0af1-e9b2-4ef6-b155-cef2ad6a327e
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:28ff89ec-93fe-47bf-840e-f46a3041bac2
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:29311340-7748-46a0-85f0-8e5fc8855520
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2976eca9-36fe-4c52-93ab-cae81c92edd3
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2a1de4bb-28a3-4ab9-bf3e-87831d92ecab
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2bb22dce-fd97-46ec-96cc-313c59581ca5
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2c198f59-eb49-4ed3-b27d-5128bed7d73e
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2ce7e928-d8f2-47e9-9b9a-b20b0b0bd22d
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2d0cdeca-24a7-4e7f-a145-d8775cd8e8d1
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2df805a4-d3d9-47a3-8c1c-96886b597695
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2e4714f4-689a-45c7-a660-2275c92c6d82
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2e62d7f2-b20f-4f2f-a602-49ec02bbf6b3
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2e66339d-4750-4e2e-877a-09dbdafb3d50
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2ead7047-93e1-4d66-b2be-adf60a47dd65
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2f70ca6e-735a-457f-8f4a-082a8ac33b33
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:2fa8b3d4-4ee6-42a7-8405-2838d79aa552
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:32fd90e1-2ed9-4f6b-82b3-e2e0f94eb37a
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:330c855d-7e07-4f7a-a82e-a09e79ddaf43
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:34da0c3f-179d-4a59-8df0-33741a5dde71
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:35678222-bbbf-470e-b7fc-cebb4db7ca49
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:3595d953-8870-493a-bd3a-153811d31dee
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:36bfbd76-aa6b-498f-9260-8d63bfda16f7
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:37dcbf24-7509-4f3f-a76f-c2f4b40b39b4
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:3823817e-8265-44d5-b859-245ab7353dac
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:39b5d909-05fa-4013-be1a-9468f8572746
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:3a231b93-c3b7-4a63-88fc-f63b3488cf09
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:3ae28d6e-b940-44e2-a154-5e4fb8183bca
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:3cc5518e-38ce-405c-8df2-fb606c2f27f1
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:3d96cde6-fb43-455d-823e-9772f12b691e
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:3e07798a-5d8e-4b57-8e81-9b0610ec3963
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:42ea1412-92a3-4639-ab3c-8b4d4a53c2fc
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:42f428aa-df11-4488-b505-ffb91bf1cecc
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:431f6e6b-fe67-40fc-a80f-6fdf5a34573a
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:437ca48d-d1e0-44db-9ed9-8dd09f2f11dc
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:4493eee3-65aa-4e9c-a20c-1f7d354b23b7
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:46226481-cc6a-4d3b-bf27-e58d877de0d9
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:4846f3ae-b510-4c66-817f-a480ba2fdd53
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:4aaac962-55b6-4022-b8f3-9ccf99592644
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:4b3999c3-cdab-408e-8b4d-a3c375f87ba9
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:4b5e71e7-038d-4c2a-bcea-9796c1ca8bfa
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:4bb8c2bb-c509-4a16-9874-c655b9cb3255
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:4bd77863-6ec4-4da6-815a-533c1160f152
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:4bff1ff7-810f-4d9c-9081-61815e495f5b
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:4ca5d37c-3b5f-46a4-a347-098f743be948
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:4f549142-1b01-4f7a-ac65-11fbc284ab0a
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:4fb0e54c-eafb-4665-96ba-5b721911bfea
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:509f798a-b8d8-45ff-8408-0916b64dc15c
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:5462e7bb-dc60-4f1f-96a5-ca084243c7c6
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:546a6759-1fe5-41cc-8b76-86c2e1157e3b
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:591f4ebf-b6e7-4cdd-aa1b-3dd1a14f0e38
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:598c287a-1c80-418d-89a2-b8fd803bbf98
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:5b5ed2a1-506f-4433-8a4c-62c3ca3b1d1f
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:5bb9b971-b682-4bcc-9ccd-23c30122dbf2
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:5dce1c46-56e1-470f-9809-b2aa7045eb02
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:5ef7f8e5-273b-49d6-b280-0c890c07ef08
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:5ff8e017-9764-4b17-bfb1-102b5757a012
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:612c8277-da32-4a2c-a03f-3f59547e11b9
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:61cf5e4f-0b69-408c-a2e2-ca6180904aa3
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:62b6b421-1575-472a-b19d-55dad263c829
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:643b2d1b-f19e-420d-a452-500c3e4380d6
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:64474a47-228a-474c-9696-d8da925349d5
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:6498bdaf-c7b6-467b-9616-0357130f0cfd
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:64d2a20f-5a57-4cc5-b6ee-94eecd7f8fb4
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:659115eb-63db-4807-92b8-12d95eb8002c
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:65fcbf6b-fdde-4179-837c-06ca15628c1e
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:663bd28c-eb1a-4402-944c-43528e5ac76b
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:69353385-8aba-40eb-83d2-5cd75f3999f2
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:69c61da2-c82f-4a3d-b35a-c02883a2b0b3
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:69fb3a4e-ad13-4137-a64f-ee00f453a8fe
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:6a60c733-7505-41f7-9d5c-f396ceb024e2
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:6b0c1bd7-663a-481c-a3b3-f776fa65b720
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:6d0c8e70-4013-434e-826e-e42658cf7af8
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:6f0dcb3d-66cf-44de-90bd-8496eed76486
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:701dea98-5519-4a65-9299-c5e6793081c1
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:70d11452-6d4e-447a-ba90-0952c9457f31
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:75aceead-f953-4d03-a4e4-9b00353c5f90
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:75f9365c-969b-4457-af95-3c0c3ee07a41
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:76012285-c826-4faf-89e5-36c0f907e19d
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:770bb7ae-f3a2-46d5-a6f2-f5c1ce10b8f8
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:77646a46-44e0-417b-8286-92d931515963
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:778c4621-45d3-474c-8618-809a6c3e9b96
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:784c0547-2c42-4126-a3f8-d58c83db70c4
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:78fde24e-6a79-479a-bd67-b24f688eb0d9
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:79b976b6-59c7-45c2-b783-b8f03bc0f86b
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:79d32aa4-e18f-4fec-9c27-47f42e4d7dc3
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:7b98fd5f-53fb-4c4a-944c-1a3a428acf0e
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:7bf764e9-62a5-4121-80e4-93c0113a27ed
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:7da6e23b-078a-4d96-be82-5d18dd4e346a
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:7e6e1132-2006-48f1-a1fd-6c3ee0fbab4e
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:812aa6db-9350-425a-9ded-d16acafd6a3a
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:82e4425b-f48f-495a-bea9-38a046e89b75
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:834929ee-5a57-4493-af59-b1a24584eb99
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:83eae5e0-4bb7-4a1f-a71c-02d5973e3075
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8651fb72-e573-43df-8701-3b24297e1b90
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:87dc4096-282d-48c8-a0f9-6e7ca47a4724
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:88a50f80-7909-4380-aa7f-9300a494c565
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8999e1f6-3a80-44e6-90a1-6a9dd64a1424
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8a9ff8a3-c888-40d6-aebe-d1281b45b9bd
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8afeffd3-26a5-4738-b1f5-7a4597e0692d
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8b222a79-117e-42b2-8cb5-96467aa5b6c6
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8b807a97-d25b-4271-a8b8-fe2c2de76e72
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8c8a8855-1b85-4fd0-afaf-f889208aa937
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8cc03002-1440-47ed-8bfd-e34bc3f80a9e
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8cce6f83-73c8-4d2c-b1aa-9f74ceda01a2
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8d0b6f4b-aced-420b-9219-fadc8b2b87db
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8e1299ca-7af9-49df-8433-717242b3d7f8
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8f199ee8-e4c1-47fd-9f3e-051eeaa0af24
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8f2d67d1-7a27-46a5-bc52-e00ded6061f0
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:8fdaa725-8a97-413b-807c-26acc472822a
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:93116766-8e71-4101-b89b-9ca854d99667
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:932b7873-2480-4a30-bd8c-d6f5e11bad5f
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:9398c3fe-1328-4265-88cd-2a8b47d7c890
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:9449eb34-2279-474b-ae1b-f78f307b4c9b
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:94e7e961-1af0-4716-9d90-1d75e576d41d
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:98b7ee21-e8be-4c3d-9762-48a790e29676
1444=	7	urn:lsid:biodiversity.org.au:afd.taxon:98dbc8b5-6ef0-4f9b-9b5d-325ef2f45982
