rank	count	N_AUTHOR

1	11072	NULL
2	2768	L.
3	2450	Linnaeus
4	2048	F.Muell.
5	1374	Benth.
6	1344	R.Br.
7	1191	Gould
8	540	Smith
9	512	Desmarest
10	510	Shaw
11	491	Gray
12	477	Latham
13	456	Cuvier
14	443	Günther
15	414	Maiden
16	389	Waterhouse
17	357	Labill.
18	346	Sm.
19	303	Gmelin
20	279	DC.
21	271	J.E. Gray
22	265	Lindl.
23	248	Willd.
24	243	F.Muell. ex Benth.
25	222	Quoy & Gaimard
26	208	(Miq.) Tiegh.
27	205	Dehnh.
28	203	Richardson
29	199	Kerr
30	192	Forsskål
31=	191	Macleay
31=	191	Schauer
33	185	Peters
34	174	Miq.
35	170	Bloch
36	169	(Andrews) Willd.
37	162	Lesson
38	160	Hook.
39	158	Ramsay
40=	154	Bleeker
40=	154	Temminck
42	152	(F.Muell.) Tiegh.
43	150	J.D.Hook.
44=	149	F.M.Bailey
44=	149	Tiegh.
46	146	Vieillot
47	144	Cav.
48	140	Endl.
49	138	Krefft
50	137	L.f.
51	132	Forster
52	131	Geoffroy
53=	130	Thomas
53=	130	Valenciennes
55	128	Link
56	127	(Blakely) Barlow
57	125	Mill.
58	124	(F.Muell.) Benth.
59	123	(F.Muell.) Radlk.
60	118	De Wild.
61	117	R.Baker
62	116	Pedley
63	115	(L.) L.
64	113	(A.Rich.) Radlk.
65=	110	(Blakely) Danser
65=	110	G.Don
67	108	Forsskal
68	107	Bloch & Schneider
69	105	(Labill.) R.Br.
70	101	(Benth.) Tiegh.
71=	97	Jacq.
71=	97	Maiden & Betche
73	95	(L.) P.Beauv.
74	94	Vick.
75	93	Blume
76=	92	(Sm.) R.Br.
76=	92	Blakely
76=	92	Dickman, Parnaby, Crowther & King
79=	88	A.Cunn. ex DC.
79=	88	Froggatt
79=	88	Steindachner
82	87	Ogilby
83	86	(Lindl.) Tiegh.
84=	84	Domin
84=	84	S.T.Blake
86=	83	A.Cunn. ex Benth.
86=	83	L'Hér.
86=	83	Maiden & Blakely
86=	83	Shaw & Nodder
86=	83	White
91	82	Mathews
92=	81	Cunn. ex Schauer
92=	81	Lindley
94=	80	A.Cunn. ex G.Don
94=	80	Whitley
96	79	Clark
97=	78	(L.) Osbeck
97=	78	(R.Br.) Benth.
99=	76	Bennett
99=	76	Castelnau
101	75	Sprengel
102=	74	(Spreng.) Tiegh.
102=	74	Mayr
104	73	Pallas
105=	71	(Cav.) S.T.Blake
105=	71	(L.) Pers.
105=	71	G.Forst.
108=	70	(L.) Roxb.
108=	70	Kuhl
108=	70	McCulloch
108=	70	Sol. ex Gaertn.
112=	69	Berkenhout
112=	69	Desf.
112=	69	R.T.Baker
115=	68	Mitchell
115=	68	Sieber ex Sprengel
117	67	Meisn.
118=	66	Hill
118=	66	L.A.S.Johnson
120=	65	Boulenger
120=	65	De Vis
120=	65	Tind.
123=	64	(L.) Pierre
123=	64	(Lindl.) Swingle
123=	64	Miller
126=	63	(R.Br.) F.Muell.
126=	63	Lowne
126=	63	R.T.Baker & H.G.Sm.
126=	63	Schlegel
130	61	Kunth
131=	60	Blanco
131=	60	Lacépède
131=	60	Maslin
134	59	Bonpl.
135=	58	(Labill.) H.L. Wendl.
135=	58	Dumeril & Bibron
137=	57	(Willd.) Benth.
137=	57	Roxb.
137=	57	Schneider
140=	56	(Willd.) Voigt
140=	56	M.J.Parsons
140=	56	Müller & Henle
140=	56	Reinw. ex Blume
144=	55	(Schott & Endl.) R.Br.
144=	55	Vigors & Horsfield
146=	54	(F.Muell.) F.Muell.
146=	54	(F.Muell.) Maesen
148=	53	Boddaert
148=	53	F. Muell.
150=	52	H.Wendl. & Drude
150=	52	Pers.
150=	52	Sims
153=	51	Stephens
153=	51	Waite
155=	50	(L.) T.Anderson
155=	50	(R.Br.) Radlk.
155=	50	Barlow
155=	50	Macarthur & C.Moore
155=	50	W.Fitzg.
160=	49	(F.Muell.) Jessup
160=	49	F.Muell. ex Miq.
160=	49	Jessup
160=	49	Steudel
160=	49	Walker
165=	48	(L.) Merr.
165=	48	(Lindl.) J.W.Grimes
165=	48	Schott
168=	47	(F.Muell.) Danser
168=	47	Cunn.
168=	47	Vent.
171=	45	Allen & Robertson
171=	45	C.T.White
171=	45	Osbeck
171=	45	Sonner.
175	44	Andrews
176=	43	(Willd.) Sweet
176=	43	Hook.f.
176=	43	Lacepede
179=	42	(L.) Blanco
179=	42	Benl
179=	42	Collett
179=	42	Lacepède
179=	42	Sw.
184=	41	(Blume) Koord.
184=	41	Aiton
184=	41	Cuvier & Valenciennes
184=	41	Spreng.
188=	40	(F.Muell.) R.Knuth
188=	40	(R.Br.) Peter G. Wilson & J.T. Waterh.
188=	40	C.K.Allen
188=	40	R.Br
188=	40	Regan
188=	40	Storr
188=	40	Tschudi
195=	39	(L.) Burm.f.
195=	39	Lam.
195=	39	Meyer
195=	39	Sternfeld
199=	38	(Burm.f.) H.S.Irwin & Barneby
199=	38	(F.Muell.) Randell
199=	38	(Fenzl) Benth.
199=	38	A.Cunn.
199=	38	D.Don
199=	38	Hutton
199=	38	Keferstein
199=	38	Mertens
199=	38	Moq.
208=	37	(Fenzl) Tiegh.
208=	37	Deane & Maiden
208=	37	Lour.
211=	36	(Bailey) Danser
211=	36	(Domin) Pedley
211=	36	(F.Muell.) B.Hyland
211=	36	(Gaertn.) F.Muell.
211=	36	(L.) Batsch
211=	36	(Sol. ex Gaertn.) G.Don
211=	36	F.Muell.) Merr.
211=	36	Griff.
211=	36	S.Reyn.
211=	36	Turcz.
221=	35	(Sol. ex Gaertn.) Peter G.Wilson & J.T.Waterh.
221=	35	Behr
221=	35	Eldridge & Close
221=	35	Eyton
221=	35	J.R. Forster
221=	35	Meissner
227=	34	(Forssk.) Vierh.
227=	34	(Sol. ex Gaertn.) Sm.
227=	34	Engl.
227=	34	Fabricius
231=	33	(Benth.) Randell
231=	33	(L.) Moench
231=	33	(L.) T.Nees & C.H.Eberm.
231=	33	(R.Br.) Schltr.
231=	33	(Standl. & Steyerm.)
231=	33	Blainville
237=	32	(F.Muell.) H.Wendl. & Drude
237=	32	(Perr.) C.B.Rob.
237=	32	Maconochie
240=	31	(Klotzsch) Sleumer
240=	31	(L.) Kuntze
240=	31	(L.) W.T.Aiton
240=	31	Aiton ex A.Cunn.
240=	31	Bentham
245=	30	(Endl.) Planchon
245=	30	(F.Muell.) Maiden
245=	30	Bonnaterre
245=	30	Cham.
245=	30	Donn ex Smith
245=	30	Erichson
245=	30	G.Don.
245=	30	H.Deane & Maiden
245=	30	Mart.
254=	29	(Hook. & Arn.) H.S.Irwin & Barneby
254=	29	(R.Br.) Steud.
254=	29	Nees
254=	29	Owen
258=	28	(Dunal) Benth.
258=	28	(F.Muell.) T.G.Hartley
258=	28	(R.Br.) Mart.
258=	28	Buller
258=	28	Dana
258=	28	Forel
258=	28	Radlk.
258=	28	Rüppell
258=	28	Sweet
267=	27	(DC.) Blume ex A.Juss.
267=	27	(L.) Benth.
267=	27	(R.Br.) Merr.
267=	27	F.Muell. ex. Miq.
267=	27	J.Z.Weber
267=	27	Lichtenstein
273=	26	(L.) Millsp.
273=	26	(Labill.) F.Muell.
273=	26	(R.Br.) Spreng.
273=	26	(Steudel) Stapf
273=	26	A.Gray
273=	26	Desf. ex Pers.
273=	26	Fry
273=	26	Horsfield
273=	26	Macfad.
273=	26	R.Br. ex Boeck.
273=	26	Siebold
273=	26	l'Hérit
285=	25	(Labill.) S.T.Blake
285=	25	(Labill.) Steetz
285=	25	(Sm.) Sweet
285=	25	(Smith) Sweet
285=	25	Euphrasén
285=	25	H. Wendl.
285=	25	Jenyns
285=	25	R. Br.
285=	25	l'Hérit.
294=	24	(Lindl.) Cheel
294=	24	(Thunb.) Hochr. ex Britten
294=	24	Duméril & Bibron
294=	24	J.R.Forst. & G.Forst.
294=	24	Munro
294=	24	Thunb.
300=	23	(R.Br.) Druce
300=	23	Allen
300=	23	Girard
300=	23	L.Johnson
300=	23	McKay
300=	23	Mudie
300=	23	O.C.Schmidt
300=	23	Scopoli
300=	23	Sieber ex Sims
300=	23	Sieber ex Spreng.
300=	23	Trin.
311=	22	(Benth.) F.Muell.
311=	22	(L.) J.Presl
311=	22	(Miq.) A.Cunn. ex Miq.
311=	22	(Roxb.) A.Cunn. ex DC.
311=	22	(Sweet) Planch.
311=	22	A.Cunn. ex Schauer
311=	22	Cuvier in Cuvier & Valenciennes
311=	22	Garnot
311=	22	Gilchrist
311=	22	Haw.
311=	22	Houttuyn
311=	22	Jardine & Selby
311=	22	Liem
311=	22	Sieb. & Zacc.
325=	21	(R.Baker) Welch, Coombs & McGlynn
325=	21	(Retz.) Poiret
325=	21	Airy Shaw
325=	21	Byrnes
325=	21	Cheel
325=	21	Cunn. ex Oxley
325=	21	F.Muell. ex R.Baker
325=	21	Hagen
325=	21	Linaeus
334=	20	(Bojer ex Hook.) Raf.
334=	20	(L.) Urb.
334=	20	(L.f.) Holm
334=	20	(Lam.) de Wit
334=	20	(Lour.) Hook. & Arn.
334=	20	(R.Br.) A.DC.
334=	20	(R.Br.) PeterG.Wilson & J.T.Waterh.
334=	20	(R.Br.) Stapf & Craig
334=	20	(Sieber ex Schult. & Schult.f.) Tiegh.
334=	20	(Willd.) I.C.Nielsen
334=	20	Aellen
334=	20	Bonaparte
334=	20	Chiov.
334=	20	Gaertn.
334=	20	Gomes
334=	20	J. White
334=	20	K.Schum.
334=	20	Lear
334=	20	M.Roem
334=	20	PIanch.
334=	20	T.Anders
334=	20	Zimmerman
356=	19	(Benth.) Domin
