rank	count	N_NAME

1	524	Eucalyptus sp.
2	342	Acacia sp.
3	254	Ovis aries
4	200	Eucalyptus camaldulensis
5	197	Eucalyptus spp.
6	185	Bos taurus
7	180	Melaleuca sp.
8	177	Rattus fuscipes
9	174	Acacia longifolia
10	169	Acacia harpophylla
11	157	Citrus sp.
12	147	Ficus sp.
13	146	Capra hircus
14	143	Dendrophthoe vitellina
15	141	Melomys cervinipes
16=	135	Acacia decurrens
16=	135	Acacia pycnantha
18	134	Wallabia bicolor
19	127	Macropus giganteus
20	126	Homo sapiens
21	125	Macropus rufogriseus
22=	120	Amyema miquelii
22=	120	Macropus robustus
24	116	Acacia mearnsii
25	114	Casuarina sp.
26	109	Acacia melanoxylon
27	108	Acacia dealbata
28	107	Eucalyptus obliqua
29=	106	Macropus dorsalis
29=	106	Macropus fuliginosus
31	105	Geijera parviflora
32	102	Acacia pendula
33	100	Citrus sinensis
34=	99	Dendrophthoe glabrescens
34=	99	Vitis vinifera
36=	96	Cupaniopsis anacardioides
36=	96	Mangifera indica
38=	94	Antechinus swainsonii
38=	94	Leptospermum sp.
40	93	Cervus elaphus
41=	92	Antechinus agilis
41=	92	Oryctolagus cuniculus
43	91	Acacia aneura
44=	90	Eucalyptus leucoxylon
44=	90	Macropus eugenii
46=	89	Amyema pendula
46=	89	Trichosurus vulpecula
48=	87	Isoodon obesulus
48=	87	Themeda triandra
50=	86	Lophostemon confertus
50=	86	Sus scrofa
52	85	Macadamia integrifolia
53	84	Amyema quandang
54	83	Macropus rufus
55=	82	Melomys burtoni
55=	82	Oryza sativa
55=	82	Tachyglossus aculeatus
58=	81	Callistemon sp.
58=	81	Macropus parryi
58=	81	Melaleuca viridiflora
61	80	Saccharum officinarum
62	79	Perameles nasuta
63=	78	Antechinus stuartii
63=	78	Cassia fistula
65	75	Eucalyptus paniculata
66=	74	Isoodon macrourus
66=	74	Melaleuca quinquenervia
68=	71	Amyema cambagei
68=	71	Eucalyptus fasciculosa
68=	71	Eucalyptus viminalis
71=	70	Eucalyptus tereticornis
71=	70	Melaleuca leucadendra
73=	69	Eucalyptus blakelyi
73=	69	Eucalyptus melliodora
73=	69	Musa sp.
73=	69	Rattus norvegicus
77=	68	Felis catus
77=	68	Ficus carica
77=	68	Imperata cylindrica
77=	68	Litchi chinensis
77=	68	Nerium oleander
82=	67	Equus (Equus) caballus
82=	67	Eucalyptus microtheca
82=	67	Rattus sordidus
85	66	Petrogale assimilis
86=	65	Alectryon coriaceus
86=	65	Eremocitrus glauca
88=	64	Amyema bifurcata
88=	64	Leptospermum flavescens
88=	64	Panicum maximum
88=	64	Pongamia pinnata
