rank	count	N_GENUS
343=	30	Lichenostomus
343=	30	Ricinus
343=	30	Scleria
343=	30	Sonchus
343=	30	Tandanus
343=	30	Vombatus
352=	29	Arothron
352=	29	Calliandra
352=	29	Cracticus
352=	29	Guioa
352=	29	Liza
352=	29	Ostracion
352=	29	Phascogale
352=	29	Pseudomys
352=	29	Ranidella
352=	29	Seriola
352=	29	Zyzomys
363=	28	Bruguiera
363=	28	Goodenia
363=	28	Leucaena
363=	28	Maccullochella
363=	28	Myrtus
363=	28	Notothixos
363=	28	Pastinachus
363=	28	Pristiophorus
363=	28	Scholtzia
363=	28	Scomber
363=	28	Uvaria
363=	28	Verbena
363=	28	Westringia
376=	27	Adriana
376=	27	Brachypodium
376=	27	Chamaecrista
376=	27	Cyclorana
376=	27	Dendrolobium
376=	27	Desmodium
376=	27	Helianthus
376=	27	Himantopus
376=	27	Hoya
376=	27	Hypocalymma
376=	27	Lupinus
376=	27	Neobatrachus
376=	27	Nicotiana
376=	27	Notechis
376=	27	Phoenix
376=	27	Physalis
376=	27	Trygonorrhina
376=	27	Urtica
394=	26	Acanthochromis
394=	26	Aptychotrema
394=	26	Beyeria
394=	26	Demansia
394=	26	Fulica
394=	26	Gerres
394=	26	Heteropogon
394=	26	Lasiorhinus
394=	26	Penaeus
394=	26	Platycerium
394=	26	Pteropus
394=	26	Ptychosperma
394=	26	Thalassarche
394=	26	Threskiornis
394=	26	Triodia
394=	26	Verticordia
410=	25	Acanthurus
410=	25	Biziura
410=	25	Calotropis
410=	25	Caranx
410=	25	Coturnix
410=	25	Gymnanthera
410=	25	Parma
410=	25	Pisum
410=	25	Podargus
410=	25	Sarcostemma
410=	25	Sterculia
421=	24	Aspidites
421=	24	Austrodanthonia
421=	24	Celastrus
421=	24	Conospermum
421=	24	Egretta
421=	24	Fergusonina
421=	24	Kunzea
421=	24	Lycopersicon
421=	24	Morus
421=	24	Nemadactylus
421=	24	Phaps
421=	24	Polygonum
421=	24	Rhyssopterys
421=	24	Templetonia
421=	24	Uperoleia
421=	24	Vanda
421=	24	Xanthostemon
438=	23	Carassius
438=	23	Coffea
438=	23	Crematogaster
438=	23	Elseya
438=	23	Melopsittacus
438=	23	Opuntia
438=	23	Procellaria
438=	23	Setaria
438=	23	Stenocarpus
438=	23	Tribonyx
448=	22	Aepyprymnus
448=	22	Calamus
448=	22	Dendrocnide
448=	22	Dendrolagus
448=	22	Gymnorhina
448=	22	Hybanthus
448=	22	Ixora
448=	22	Maesa
448=	22	Maranthes
448=	22	Passer
448=	22	Pelecanus
448=	22	Phoebetria
448=	22	Plectropomus
448=	22	Ptilotus
448=	22	Rapanea
448=	22	Scortum
448=	22	Syzigium
448=	22	Viburnum
466=	21	Abutilon
466=	21	Amblyopone
466=	21	Anseranas
466=	21	Artocarpus
466=	21	Bledius
466=	21	Camelus
466=	21	Cordyline
466=	21	Crinia
466=	21	Drypetes
466=	21	Haematopus
466=	21	Melanotaenia
466=	21	Oxylobium
466=	21	Paraserianthes
466=	21	Plectroglyphidodon
466=	21	Polyrhachis
466=	21	Prostanthera
466=	21	Pteridium
466=	21	Quercus
466=	21	Strepera
466=	21	Xylocarpus
466=	21	Zea
487=	20	Acanthophis
487=	20	Actinidia
487=	20	Anous
487=	20	Antirrhinum
487=	20	Bromus
487=	20	Brunoniella
487=	20	Buchnera
487=	20	Carangoides
487=	20	Cercartetus
487=	20	Chrysalidocarpus
487=	20	Delonix
487=	20	Dipteracanthus
487=	20	Fagraea
487=	20	Galinsoga
487=	20	Gastrolobium
487=	20	Graptophyllum
487=	20	Halosarcia
487=	20	Hibbertia
487=	20	Hollrungia
487=	20	Hyelaphus
487=	20	Hyla
487=	20	Hypseleotris
487=	20	Justicia
487=	20	Korthalsella
487=	20	Leucadendron
487=	20	Loranthus
487=	20	Manihot
487=	20	Manorina
487=	20	Naso
487=	20	Oecophylla
487=	20	Onopordium
487=	20	Oxalis
487=	20	Parietaria
487=	20	Petalostigma
487=	20	Phyla
487=	20	Pipturus
487=	20	Polyscias
487=	20	Polytelis
487=	20	Richardia
487=	20	Robinia
487=	20	Striga
487=	20	Sula
487=	20	Tadorna
487=	20	Tribulus
487=	20	Trophis
532=	19	Agathis
532=	19	Aphananthe
532=	19	Arctotheca
532=	19	Briedelia
532=	19	Chrysiptera
532=	19	Dalbergia
532=	19	Daphnandra
532=	19	Dascyllus
532=	19	Ehretia
532=	19	Haliastur
532=	19	Heniochus
532=	19	Heritiera
532=	19	Mucuna
532=	19	Nuytsia
532=	19	Pachycondyla
532=	19	Pelecanoides
532=	19	Phascolarctos
532=	19	Poncirus
532=	19	Scaevola
532=	19	Tetrarrhena
552=	18	Archidendron
552=	18	Argyrodendron
552=	18	Argyrosomus
552=	18	Barringtonia
552=	18	Bombax
552=	18	Choretrum
552=	18	Circus
552=	18	Citriobatus
552=	18	Dendrocygna
552=	18	Derwentia
552=	18	Dicksonia
552=	18	Flemingia
552=	18	Gehyra
552=	18	Glinus
552=	18	Helichrysum
552=	18	Homonoia
552=	18	Juglans
552=	18	Leipoa
552=	18	Leptonychotes
552=	18	Ligustrum
552=	18	Lotus
552=	18	Mixophyes
552=	18	Myrmecodia
552=	18	Nemcia
552=	18	Papyrius
552=	18	Plumbago
552=	18	Porotermes
552=	18	Rourea
552=	18	Sarcopteryx
552=	18	Sardinops
552=	18	Stirlingia
552=	18	Taeniura
552=	18	Trachinotus
552=	18	Tristania
552=	18	Virgilia
552=	18	Zebrasoma
588=	17	Apophyllum
588=	17	Artemisia
588=	17	Brachyloma
588=	17	Buckinghamia
588=	17	Calyptorhynchus
588=	17	Carya
588=	17	Chrysopogon
588=	17	Cochlospermum
588=	17	Crocodylus 
588=	17	Digitaria
588=	17	Elaeodendron
588=	17	Hemigymnus
588=	17	Heterodontus
588=	17	Hydrurga
588=	17	Hypericum
588=	17	Hypsiprymnodon
588=	17	Ipomoea
588=	17	Lates
588=	17	Mastotermes
588=	17	Myliobatis
588=	17	Myxus
588=	17	Nauclea
588=	17	Neophema
588=	17	Neotermes
588=	17	Nephrurus
588=	17	Picea
588=	17	Podocarpus
588=	17	Pseudocaranx
588=	17	Salix
588=	17	Sarcophilus
588=	17	Thunnus
588=	17	Veronica
588=	17	Viola
621=	16	Aetobatus
621=	16	Anacardium
621=	16	Austrelaps
621=	16	Baeckea
621=	16	Breynia
621=	16	Cantheschenia
621=	16	Casearia
621=	16	Coryphaena
621=	16	Cytisus
621=	16	Datura
621=	16	Dinosperma
621=	16	Fraxinus
621=	16	Leionema
621=	16	Leiopotherapon
621=	16	Lepidosperma
621=	16	Lolium
621=	16	Mastacomys
621=	16	Morelia 
621=	16	Morinda
621=	16	Neocyttus
621=	16	Ochna
621=	16	Pelagodroma
621=	16	Philemon
621=	16	Pomacanthus
621=	16	Pseudophryne
621=	16	Scabiosa
621=	16	Stenotaphrum
621=	16	Strelitzia
621=	16	Tasmannia
621=	16	Zieria
651=	15	Acanthocarpus
651=	15	Aldrichetta
651=	15	Allophylus
651=	15	Alpinia
651=	15	Anthochaera
651=	15	Asplenium
651=	15	Astrebla
651=	15	Avena
651=	15	Aythya
651=	15	Cactus
651=	15	Cephalopholis
651=	15	Chenonetta
651=	15	Chromis
651=	15	Clausena
651=	15	Codiaeum
651=	15	Dacelo
651=	15	Diploglottis
651=	15	Dischistodus
651=	15	Enchylaena
651=	15	Entada
651=	15	Eriobotrya
651=	15	Euodia
651=	15	Gladiolus
651=	15	Gymnothorax
651=	15	Kestratherina
651=	15	Malurus
651=	15	Megapodius
651=	15	Micromelum
651=	15	Millettia
651=	15	Myrmecobius
651=	15	Narcissus
651=	15	Neptunia
651=	15	Pelargonium
651=	15	Phasianus
651=	15	Pseudophycis
651=	15	Recurvirostra
651=	15	Ribes
651=	15	Salmo
651=	15	Stictonetta
651=	15	Streptopelia
651=	15	Vulpes
651=	15	Wilkiea
693=	14	Acer
693=	14	Agaricus
693=	14	Alexfloydia
693=	14	Astrotricha
693=	14	Austrosteenisia
693=	14	Axis
693=	14	Barnardius
693=	14	Bidyanus
693=	14	Chlidonias
693=	14	Chrysophtharta
693=	14	Cleome
693=	14	Daption
693=	14	Delphinus
693=	14	Engaeus
693=	14	Fitzalania
693=	14	Gallinula
693=	14	Gardenia
693=	14	Haplostichanthus
693=	14	Hardenbergia
693=	14	Heleioporus
693=	14	Hemiscyllium
693=	14	Hephaestus
693=	14	Heteronotia
693=	14	Hirundo
693=	14	Howea
693=	14	Hydriastele
693=	14	Ischaemum
693=	14	Kalotermes
693=	14	Kennedia
693=	14	Laccospadix
693=	14	Limonia
693=	14	Mesocyclops
693=	14	Microcitrus
693=	14	Myristica
693=	14	Nebrius
693=	14	Ophiuros
693=	14	Phragmites
693=	14	Physignathus
693=	14	Platalea
693=	14	Pluvialis
693=	14	Priacanthus
693=	14	Rollinia
693=	14	Trema
693=	14	Tyto
693=	14	Xylopia
738=	13	Ambassis
