rank	count	N_EPITHET_NAME
210=	15	bunya pine, bunya bunya pine
210=	15	native cherry
229=	14	Brown Tree Frog
229=	14	Brush-tailed Bettong
229=	14	Cape Petrel
229=	14	Chital Deer
229=	14	Christmas Tree
229=	14	Freshwater Crocodile
229=	14	Grapefruit
229=	14	Gum-topped Stringybark
229=	14	Lowland Copperhead
229=	14	Native Pine
229=	14	Red Mallee
229=	14	Ruddy Turnstone
229=	14	Southern Beech
229=	14	Tawny Shark
229=	14	Yellow-faced Whip Snake
229=	14	Yellowfin Bream
245=	13	Antarctic Petrel
245=	13	Banded Stilt
245=	13	Bleating Tree Frog
245=	13	Blue-faced Honeyeater
245=	13	Brush-tailed Rock-wallaby
245=	13	Fairy Prion
245=	13	Grey-headed Albatross
245=	13	Little Penguin
245=	13	Man
245=	13	Monkey gum
245=	13	Port Jackson Shark
245=	13	Reticulate Whipray
245=	13	Rice
245=	13	Royal Albatross
245=	13	Short-tailed Shearwater
245=	13	Silver Gull
245=	13	Stars-and-stripes Puffer
245=	13	Sugarcane
245=	13	Thylacine
245=	13	Tiger Snake
245=	13	Tuart
245=	13	Western Banjo Frog, Pobblebonk
245=	13	White Gum
245=	13	Yelloweye Mullet
269=	12	Apple Box
269=	12	Azalea
269=	12	Bent-wing Bat
269=	12	Black Wattle
269=	12	Black-headed Python
269=	12	Bowtie Damselfish
269=	12	Brown Goshawk
269=	12	Brown Quail
269=	12	Bynoe’s Gecko
269=	12	Common Blacktip Shark
269=	12	Common Death Adder
269=	12	Dwarf Bearded Dragon
269=	12	Eastern Barred Bandicoot
269=	12	Flesh-footed Shearwater
269=	12	Giant Shovelnose Ray
269=	12	Godman’s Rock-wallaby
269=	12	Great Barred Frog
269=	12	Hardhead
269=	12	Little Pied Cormorant
269=	12	Lobed Stingaree
269=	12	Maize
269=	12	Marbled Frog
269=	12	Mistletoe
269=	12	Mountain Galaxias
269=	12	New Holland Frog
269=	12	Nyakala Frog
269=	12	Ocellated Catshark, Epaulette Shark
269=	12	Peters' Frog
269=	12	Red-eyed Tree Frog
269=	12	Rotund Crayfish
269=	12	Saw-shelled Turtle
269=	12	Scrub Boonaree
269=	12	Sensitive Plant
269=	12	Short-finned Eel
269=	12	Soft-plumaged Petrel
269=	12	Spangled Perch
269=	12	Spectacled Hare Wallaby
269=	12	Stony Poverty Bush
269=	12	Swamp Stringbark
269=	12	Wandering Whistling-duck
269=	12	Wattle
269=	12	Weddell Seal
269=	12	Whiptail Wallaby, Prettyface Wallaby
269=	12	White Mallee
269=	12	White Yabby
269=	12	White-chinned Petrel
269=	12	Whitetail Damsel
269=	12	Whitley’s Sergeant
269=	12	Yellowtail Kingfish
269=	12	lemon
269=	12	wattle
320=	11	Alfalfa, Lucerne
320=	11	Black-tailed Native-hen
320=	11	Blue mackerel
320=	11	Brown Booby
320=	11	Brown Tree Snake
320=	11	Channel-billed Cuckoo
320=	11	Common Starling
320=	11	Common Wombat
320=	11	Eastern Blue-tongue
320=	11	Eastern Sign-bearing Froglet
320=	11	Estuary Perch
320=	11	Galah
320=	11	Gould's Petrel
320=	11	Grey Butcherbird
320=	11	Grey Petrel
320=	11	Kelp Gull
320=	11	Little Shearwater
320=	11	Mahi Mahi
320=	11	Night Skink
320=	11	Port Jackson Glassfish
320=	11	Red-necked Stint
320=	11	Regent Parrot
