rank	count	NAME_LSID
107=	70	urn:lsid:biodiversity.org.au:afd.name:348685
107=	70	urn:lsid:biodiversity.org.au:afd.name:405868
107=	70	urn:lsid:biodiversity.org.au:afd.name:410044
107=	70	urn:lsid:biodiversity.org.au:afd.name:424915
107=	70	urn:lsid:biodiversity.org.au:afd.name:442843
107=	70	urn:lsid:biodiversity.org.au:afd.name:451402
107=	70	urn:lsid:biodiversity.org.au:afd.name:548401
115	69	urn:lsid:biodiversity.org.au:afd.name:490625
116	68	urn:lsid:biodiversity.org.au:afd.name:339518
117=	66	urn:lsid:biodiversity.org.au:afd.name:420137
117=	66	urn:lsid:biodiversity.org.au:afd.name:536804
117=	66	urn:lsid:biodiversity.org.au:afd.name:560236
120	65	urn:lsid:biodiversity.org.au:afd.name:436969
121=	64	urn:lsid:biodiversity.org.au:afd.name:292350
121=	64	urn:lsid:biodiversity.org.au:afd.name:466759
123=	63	urn:lsid:biodiversity.org.au:afd.name:285515
123=	63	urn:lsid:biodiversity.org.au:afd.name:375247
123=	63	urn:lsid:biodiversity.org.au:afd.name:447676
123=	63	urn:lsid:biodiversity.org.au:afd.name:459205
123=	63	urn:lsid:biodiversity.org.au:afd.name:460004
123=	63	urn:lsid:biodiversity.org.au:afd.name:543875
129	62	urn:lsid:biodiversity.org.au:afd.name:457444
130=	60	urn:lsid:biodiversity.org.au:afd.name:311849
130=	60	urn:lsid:biodiversity.org.au:afd.name:323503
130=	60	urn:lsid:biodiversity.org.au:afd.name:410708
130=	60	urn:lsid:biodiversity.org.au:afd.name:452248
130=	60	urn:lsid:biodiversity.org.au:afd.name:501416
130=	60	urn:lsid:biodiversity.org.au:afd.name:537825
136	58	urn:lsid:biodiversity.org.au:afd.name:564446
137	57	urn:lsid:biodiversity.org.au:afd.name:281926
138=	56	urn:lsid:biodiversity.org.au:afd.name:389022
138=	56	urn:lsid:biodiversity.org.au:afd.name:414690
138=	56	urn:lsid:biodiversity.org.au:afd.name:421249
138=	56	urn:lsid:biodiversity.org.au:afd.name:423311
138=	56	urn:lsid:biodiversity.org.au:afd.name:538469
138=	56	urn:lsid:biodiversity.org.au:afd.name:544028
144=	55	urn:lsid:biodiversity.org.au:afd.name:375918
144=	55	urn:lsid:biodiversity.org.au:afd.name:376282
144=	55	urn:lsid:biodiversity.org.au:afd.name:400244
147=	54	urn:lsid:biodiversity.org.au:afd.name:284245
147=	54	urn:lsid:biodiversity.org.au:afd.name:284271
147=	54	urn:lsid:biodiversity.org.au:afd.name:293003
147=	54	urn:lsid:biodiversity.org.au:afd.name:302870
147=	54	urn:lsid:biodiversity.org.au:afd.name:303270
147=	54	urn:lsid:biodiversity.org.au:afd.name:341301
147=	54	urn:lsid:biodiversity.org.au:afd.name:356970
147=	54	urn:lsid:biodiversity.org.au:afd.name:361436
147=	54	urn:lsid:biodiversity.org.au:afd.name:372927
147=	54	urn:lsid:biodiversity.org.au:afd.name:412691
147=	54	urn:lsid:biodiversity.org.au:afd.name:420141
147=	54	urn:lsid:biodiversity.org.au:afd.name:430929
147=	54	urn:lsid:biodiversity.org.au:afd.name:497838
147=	54	urn:lsid:biodiversity.org.au:afd.name:543805
147=	54	urn:lsid:biodiversity.org.au:afd.name:553720
147=	54	urn:lsid:biodiversity.org.au:afd.name:561708
163	53	urn:lsid:biodiversity.org.au:afd.name:500650
