rank	count	N_YEAR

1	38988	NULL
2	2183	1758
3	654	1841
4	558	1842
5	546	1801
6	496	1790
7	352	1792
8	347	1817
9	346	1867
10	333	1838
11	304	1837
12	302	1804
13	295	1858
14	254	1830
15	250	1829
16	246	1775
17	243	1839
18	242	1789
19	215	1831
20	193	1845
21=	179	1840
21=	179	1852
23	169	1859
24	167	1832
25	157	1825
26	152	1844
27	150	1822
28	148	1843
29=	135	1855
29=	135	1912
31	134	1824
32=	124	1797
32=	124	1827
34	120	1835
35	118	1887
36	113	1800
37	108	1828
38=	102	1860
38=	102	1884
40	99	1862
41	94	1998
42	92	1794
43	91	1863
44=	88	1826
44=	88	1877
46	87	1896
47	85	1836
48	84	1865
49	83	1788
50	82	1769
51	81	1870
52	77	1853
53	75	1766
54	74	1872
55=	73	1795
55=	73	1846
55=	73	1923
58	72	1898
59=	71	1878
59=	71	1936
61=	69	1816
61=	69	1974
63	68	1820
64	67	1916
65=	66	1821
65=	66	1864
67=	60	1793
67=	60	1848
69	59	1778
70=	58	1802
70=	58	1897
72=	52	1881
72=	52	1982
74=	51	1781
74=	51	1785
74=	51	1866
74=	51	1914
74=	51	1919
79	50	1906
80=	49	1856
80=	49	1861
80=	49	1880
83	47	1893
84=	46	1868
84=	46	1873
86=	45	1783
86=	45	1818
86=	45	1904
89=	44	1787
89=	44	1885
89=	44	1889
92=	43	1791
92=	43	1882
94	41	1917
95	40	1900
96=	39	1876
96=	39	1901
96=	39	1902
99=	38	1847
99=	38	1913
99=	38	1957
102=	37	1758 
102=	37	1888
102=	37	1933
105=	36	1833
105=	36	1850
107=	35	1777
107=	35	1806
107=	35	1869
107=	35	1992
111	34	1805
112=	33	1905
112=	33	1927
112=	33	1943
112=	33	1969
116	32	1980
117=	31	1786
117=	31	1823
117=	31	1854
117=	31	1879
121	30	1875
122=	29	1796
122=	29	1814
122=	29	1883
122=	29	1895
122=	29	1932
127	28	1915
128=	27	1780
128=	27	1886
128=	27	1925
131=	26	1782
131=	26	1803
131=	26	1819
131=	26	1907
131=	26	1922
131=	26	1934
137	25	1941
138=	24	1810
138=	24	1926
138=	24	1972
141=	23	1937
141=	23	1977
143=	22	1717
143=	22	1776
143=	22	1808
143=	22	1851
147=	21	1857
147=	21	1871
147=	21	1894
147=	21	1899
147=	21	1921
152	20	1909
153=	19	1920
153=	19	1939
153=	19	1966
153=	19	1976
153=	19	1983
158=	18	1834
158=	18	1903
158=	18	1949
158=	18	1953
158=	18	1958
163=	17	1908
163=	17	1954
165=	16	1798
165=	16	1809
165=	16	1929
165=	16	1942
165=	16	1984
170=	15	1892
170=	15	1961
170=	15	1962
170=	15	2004
174	14	1940
175=	13	1944
175=	13	1979
177	12	1753
178=	11	1763
178=	11	1911
178=	11	1951
178=	11	1955
182=	10	1770
182=	10	1811
182=	10	1891
182=	10	1938
182=	10	1967
182=	10	1973
188=	9	1849
188=	9	1910
188=	9	1964
188=	9	1981
188=	9	2010
193=	8	1799
193=	8	1804 
193=	8	1931
193=	8	1965
193=	8	2002
198=	7	1768
198=	7	1771
198=	7	1985
201=	6	1807
201=	6	1918
201=	6	1978
201=	6	1989
201=	6	1996
206=	5	1765
206=	5	1792 
206=	5	1813
206=	5	1928
206=	5	1952
206=	5	1956
206=	5	1988
206=	5	Ord
214=	4	1764
214=	4	1774
214=	4	1789 
214=	4	1812
214=	4	1842 
214=	4	1874
214=	4	1924
214=	4	1987
214=	4	1990
214=	4	2005
214=	4	2007
214=	4	2008
226=	3	1755
226=	3	1858 
226=	3	1935
226=	3	1993
226=	3	1994
231=	2	1736
231=	2	1759
231=	2	1793 
231=	2	1839 
231=	2	1890
231=	2	1930
231=	2	1945
231=	2	1948
231=	2	1958 
231=	2	1968
231=	2	1969 
231=	2	1970
243=	1	1752
243=	1	1760
243=	1	1772
243=	1	1815
243=	1	1997
243=	1	2001
243=	1	2006
243=	1	2011

55963	TOTAL
