name	family	interaction	host name	host family	source
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Pogona nullarbor	Agamidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Pseudechis australis	Elapidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Tiliqua multifasciata	Scincidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Tiliqua nigrolutea	Scincidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Tiliqua occipitalis	Scincidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Tiliqua rugosa	Scincidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Tiliqua scincoides	Scincidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Varanus acanthurus	Varanidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Varanus giganteus	Varanidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Varanus glebopalma	Varanidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Varanus gouldii	Varanidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Varanus rosenbergi	Varanidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Varanus tristis	Varanidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Varanus varius	Varanidae	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata bancrofti	Heterakidae	Associate:Consumer:Parasite	Aspidites melanocephalus	Boidae	http://biodiversity.org.au/afd/taxa/448aaa7f-2826-41ec-83bc-46c6e7d411d3	
Abbreviata bancrofti	Heterakidae	Associate:Consumer:Parasite	Phyllurus platurus	Carphodactylidae	http://biodiversity.org.au/afd/taxa/448aaa7f-2826-41ec-83bc-46c6e7d411d3	
Abbreviata barrowi	Heterakidae	Associate:Consumer:Parasite	Pseudechis australis	Elapidae	http://biodiversity.org.au/afd/taxa/82ab600c-f22d-43a8-954c-084c998c9a61	
Abbreviata barrowi	Heterakidae	Associate:Consumer:Parasite	Pseudonaja nuchalis	Elapidae	http://biodiversity.org.au/afd/taxa/82ab600c-f22d-43a8-954c-084c998c9a61	
Abbreviata barrowi	Heterakidae	Associate:Consumer:Parasite	Varanus panoptes	Varanidae	http://biodiversity.org.au/afd/taxa/82ab600c-f22d-43a8-954c-084c998c9a61	
Abbreviata clelandi	Heterakidae	Associate:Consumer:Parasite	Varanus varius	Varanidae	http://biodiversity.org.au/afd/taxa/e432cc99-2de8-41b7-8852-2c0351ac3c1d	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Acanthophis antarcticus	Elapidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Aspidites melanocephalus	Boidae	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
