Content-type: text/html

HTTP/1.1 200 OK
Date: Tue, 07 Nov 2017 23:20:36 GMT
Server: Apache/2.2.26 (Unix) DAV/2 mod_perl/2.0.5 Perl/v5.12.3
Last-Modified: Thu, 27 Jun 2013 11:40:44 GMT
ETag: "3ed80f-a086a-4e0213b85a700"
Accept-Ranges: bytes
Content-Length: 657514
MS-Author-Via: DAV
Keep-Alive: timeout=15, max=66
Connection: Keep-Alive
Content-Type: text/plain

name	family	interaction	host name	host family	source
"Cyclophora" turneri	NO_FAMILY	Associate:Consumer:Herbivore	Glochidion	Phyllanthaceae	http://biodiversity.org.au/afd/taxa/9b409ce2-ef66-4ed7-8d3e-f72a6cbd609a
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Denisonia fasciata	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Denisonia punctata	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Drysdalia coronata	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata	Heterakidae	Associate:Consumer:Parasite	Notechis ater	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/596f90e3-bd09-4733-bacc-c587540e5e01	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Denisonia jasciata	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Drysdalia coronata	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Lissolepis luctaosus	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Notechis ater	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata antarctica	Heterakidae	Associate:Consumer:Parasite	Physignathus lesueurii	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/0c0003c4-98ae-46ee-8103-62e509f83ebd	
Abbreviata confusa	Heterakidae	Associate:Consumer:Parasite	Physignathus lesueurii	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/decfd2c8-cf57-430c-bfed-af3dab80fc6c	
Abgrallaspis cyanophylli	Diaspididae	Associate:Consumer:Herbivore:Sap feeder	Alternanthera ficoides	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/9c1d594c-f3ac-4a72-be4a-8229564e447e
Abgrallaspis cyanophylli	Diaspididae	Associate:Consumer:Herbivore:Sap feeder	Amyema congenera	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/9c1d594c-f3ac-4a72-be4a-8229564e447e
Abgrallaspis cyanophylli	Diaspididae	Associate:Consumer:Herbivore:Sap feeder	Bryophyllum tubiflorum	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/9c1d594c-f3ac-4a72-be4a-8229564e447e
Abgrallaspis cyanophylli	Diaspididae	Associate:Consumer:Herbivore:Sap feeder	Chrysophyllum cainito	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/9c1d594c-f3ac-4a72-be4a-8229564e447e
Abgrallaspis cyanophylli	Diaspididae	Associate:Consumer:Herbivore:Sap feeder	Plumeria rubra	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/9c1d594c-f3ac-4a72-be4a-8229564e447e
Abgrallaspis cyanophylli	Diaspididae	Associate:Consumer:Herbivore:Sap feeder	Rubachia glomerata	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/9c1d594c-f3ac-4a72-be4a-8229564e447e
Abgrallaspis cyanophylli	Diaspididae	Associate:Consumer:Herbivore:Sap feeder	Trichocereus	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/9c1d594c-f3ac-4a72-be4a-8229564e447e
Acanthobothrium adlardi	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Alectis alexandrinus	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/17a64cd9-ad29-4c1e-89af-32246c0b460a
Acanthobothrium arlenae	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Aetobatus narinari	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/cedec43e-78a0-4530-8201-5a10154716d5
Acanthobothrium blairi	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Dipturus whitleyi	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/70029baa-fe2e-4bf4-a5b9-6b173ea7458e
Acanthobothrium chisholmae	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Pastinachus sephen	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/03bde34e-a0cb-464e-a89d-f9550d72d0e4
Acanthobothrium edmondsi	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Parascylliun ferrugineum	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/26f03721-a8a5-48c5-90d9-6f832eaf6568
Acanthobothrium gasseri	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Pastinachus sephen	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/a87946fa-9515-4e26-b0c4-0750b1385eff
Acanthobothrium laurenbrownae	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Pastinachus sephen	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/e57806ec-b73c-4f9d-81a5-e134cb1ffb6c
Acanthobothrium nanogravidum	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Pastinachus atrus	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/c9bda3a7-95cf-4ef0-825d-4f749299d3dd
Acanthobothrium odonoghuei	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Mustelus mustelus	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/098e0d4f-e8c4-4fa6-aa6e-ab8b66d2481f
Acanthobothrium semnovesiculum	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Pastinachus sephen	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/08723868-99c6-426f-af08-a03849aaaf13
Acanthobothrium walkeri	Onchobothriidae	Associate:Consumer:Parasite:Endoparasite	Pastinachus sephen	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/702ab396-93b2-4e84-8b1b-4b406aabd010
Acanthocanthopsis quadrata	Chondracanthidae	Associate:Consumer:Parasite:Ectoparasite	Tetraodontiform fishes	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/c0b48ecd-6f3b-4252-becc-f566f2889c0a
Acanthocheilus bicuspis	Anisakidae	Associate:Consumer:Parasite	Halaelurus vincenti	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/989858c2-75ee-4871-8fe6-194fdb34f2d9	
Acanthocheilus bicuspis	Anisakidae	Associate:Consumer:Parasite	Ruvettus tydemani	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/989858c2-75ee-4871-8fe6-194fdb34f2d9	
Acanthocheilus quadridentatus	Anisakidae	Associate:Consumer:Parasite	Halaelurus vincenti	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/0def4e9b-13f2-46f4-96f3-3b75c88c1c5c	
Acanthocheilus quadridentatus	Anisakidae	Associate:Consumer:Parasite	Ruvettus tydemani	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/0def4e9b-13f2-46f4-96f3-3b75c88c1c5c	
Acanthocheilus rotundatus	Anisakidae	Associate:Consumer:Parasite	Scyliorhinus stellaris	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/4389a47e-88c2-4786-b1e4-c8e8808bb49a	
Acantholybas brunneus	Coreidae	Associate:Consumer:Herbivore	Beschorneria yuccoides	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/910ba114-4969-4c4c-a956-7630fd142786
Acantholybas brunneus	Coreidae	Associate:Consumer:Herbivore	Rheum rhaponticum	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/910ba114-4969-4c4c-a956-7630fd142786
Acanthopsylla pavida	Pygiopsyllidae	Associate:Consumer:Parasite:Ectoparasite	Pseudocheirus herbertensis	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/78488036-687d-4d1b-b412-180983750431
Achlysiella williamsi	Pratylenchidae	Associate:Consumer:Parasite:Plant parasite	Meleleuca	NO_HOST_FAMILY	http://biodiversity.org.au/afd/taxa/9cc0863f-117e-0b3b-e044-00144f3b4a43	
