rank	count	URI
97=	13	http://biodiversity.org.au/afd.name/440869
97=	13	http://biodiversity.org.au/afd.name/441523
97=	13	http://biodiversity.org.au/afd.name/443149
97=	13	http://biodiversity.org.au/afd.name/446344
97=	13	http://biodiversity.org.au/afd.name/450370
97=	13	http://biodiversity.org.au/afd.name/455951
97=	13	http://biodiversity.org.au/afd.name/456728
97=	13	http://biodiversity.org.au/afd.name/458087
97=	13	http://biodiversity.org.au/afd.name/459320
97=	13	http://biodiversity.org.au/afd.name/461662
97=	13	http://biodiversity.org.au/afd.name/462311
97=	13	http://biodiversity.org.au/afd.name/463365
97=	13	http://biodiversity.org.au/afd.name/463785
97=	13	http://biodiversity.org.au/afd.name/463841
97=	13	http://biodiversity.org.au/afd.name/465564
97=	13	http://biodiversity.org.au/afd.name/466710
97=	13	http://biodiversity.org.au/afd.name/468267
97=	13	http://biodiversity.org.au/afd.name/468944
97=	13	http://biodiversity.org.au/afd.name/469279
97=	13	http://biodiversity.org.au/afd.name/470036
97=	13	http://biodiversity.org.au/afd.name/470076
97=	13	http://biodiversity.org.au/afd.name/470077
97=	13	http://biodiversity.org.au/afd.name/470416
97=	13	http://biodiversity.org.au/afd.name/470924
97=	13	http://biodiversity.org.au/afd.name/470951
97=	13	http://biodiversity.org.au/afd.name/470952
97=	13	http://biodiversity.org.au/afd.name/471119
97=	13	http://biodiversity.org.au/afd.name/471120
97=	13	http://biodiversity.org.au/afd.name/471386
157=	12	http://biodiversity.org.au/afd.name/301987
157=	12	http://biodiversity.org.au/afd.name/304785
157=	12	http://biodiversity.org.au/afd.name/312317
157=	12	http://biodiversity.org.au/afd.name/314163
157=	12	http://biodiversity.org.au/afd.name/315814
157=	12	http://biodiversity.org.au/afd.name/317721
157=	12	http://biodiversity.org.au/afd.name/328348
157=	12	http://biodiversity.org.au/afd.name/347604
157=	12	http://biodiversity.org.au/afd.name/358797
157=	12	http://biodiversity.org.au/afd.name/363847
157=	12	http://biodiversity.org.au/afd.name/365459
157=	12	http://biodiversity.org.au/afd.name/372450
157=	12	http://biodiversity.org.au/afd.name/376441
157=	12	http://biodiversity.org.au/afd.name/386316
157=	12	http://biodiversity.org.au/afd.name/394351
157=	12	http://biodiversity.org.au/afd.name/396286
157=	12	http://biodiversity.org.au/afd.name/398941
157=	12	http://biodiversity.org.au/afd.name/401077
157=	12	http://biodiversity.org.au/afd.name/405668
157=	12	http://biodiversity.org.au/afd.name/406171
157=	12	http://biodiversity.org.au/afd.name/411240
157=	12	http://biodiversity.org.au/afd.name/414526
157=	12	http://biodiversity.org.au/afd.name/420936
157=	12	http://biodiversity.org.au/afd.name/426537
157=	12	http://biodiversity.org.au/afd.name/434755
157=	12	http://biodiversity.org.au/afd.name/440408
157=	12	http://biodiversity.org.au/afd.name/441008
157=	12	http://biodiversity.org.au/afd.name/448270
157=	12	http://biodiversity.org.au/afd.name/448730
157=	12	http://biodiversity.org.au/afd.name/449454
157=	12	http://biodiversity.org.au/afd.name/449667
157=	12	http://biodiversity.org.au/afd.name/450855
157=	12	http://biodiversity.org.au/afd.name/453062
157=	12	http://biodiversity.org.au/afd.name/453509
157=	12	http://biodiversity.org.au/afd.name/453510
157=	12	http://biodiversity.org.au/afd.name/454515
157=	12	http://biodiversity.org.au/afd.name/458151
157=	12	http://biodiversity.org.au/afd.name/458841
