rank	count	SCIENTIFIC_NAME
98=	13	Sminthopsis dolichura
98=	13	Tiliqua scincoides
98=	13	Tympanocryptis lineata
98=	13	Uperoleia rugosa
158=	12	Aegotheles (Aegotheles) cristatus cristatus
158=	12	Aegotheles (Aegotheles) cristatus tasmanicus
158=	12	Aerodramus terraereginae terraereginae
158=	12	Artamus (Angroyan) cinereus
158=	12	Austrochaperina robusta
158=	12	Brachyurophis semifasciatus
158=	12	Cacatua (Cacatua) galerita galerita
158=	12	Cacatua (Licmetis) pastinator pastinator
158=	12	Calyptorhynchus (Calyptorhynchus) banksii banksii
158=	12	Calyptorhynchus (Calyptorhynchus) banksii macrorhynchus
158=	12	Calyptorhynchus (Zanda) latirostris
158=	12	Chalcites (Chalcites) lucidus lucidus
158=	12	Chalcites (Chalcites) lucidus plagosus
158=	12	Chlidonias (Pelodes) hybrida
158=	12	Chlidonias (Pelodes) hybrida javanicus
158=	12	Collocalia esculenta
158=	12	Crinia parinsignifera
158=	12	Cuculus (Cuculus) optatus
158=	12	Cyclorana australis
158=	12	Ducula (Myristicivora) bicolor spilorrhoa
158=	12	Eucleoteuthis luminosa
158=	12	Euryscaphus obesus obesus
158=	12	Eurystomus orientalis pacificus
158=	12	Exomyocara submuticum
158=	12	Gehyra australis
158=	12	Geopelia humeralis headlandi
158=	12	Geopelia humeralis humeralis
158=	12	Geopelia humeralis inexpectata
158=	12	Lathamus discolor
158=	12	Limnodynastes interioris
158=	12	Limnodynastes terraereginae
158=	12	Litoria ewingii
158=	12	Litoria latopalmata
158=	12	Litoria meiriana
158=	12	Lophognathus gilberti
158=	12	Neobatrachus pictus
158=	12	Neobatrachus wilsmorei
158=	12	Nototodarus gouldi
158=	12	Nototodarus hawaiiensis
158=	12	Oedura marmorata
158=	12	Oryctolagus cuniculus
158=	12	Oxycarenus (Oxycarenus) arctatus
158=	12	Oxycarenus (Oxycarenus) bicolor
158=	12	Periglypta reticulata
158=	12	Platycercus (Violania) icterotis icterotis
158=	12	Platyplectrum ornatum
158=	12	Podargus strigoides phalaenoides
158=	12	Podargus strigoides strigoides
158=	12	Potorous tridactylus
158=	12	Psephotus (Psephotus) haematonotus caeruleus
158=	12	Psephotus (Psephotus) haematonotus haematonotus
158=	12	Psephotus (Psephotus) varius
158=	12	Pseudopachybrachius guttus
158=	12	Rattus fuscipes
158=	12	Rattus lutreolus
158=	12	Sthenoteuthis oualaniensis
158=	12	Tiliqua multifasciata
158=	12	Todiramphus (Cyanalcyon) pyrrhopygius
158=	12	Uromys caudimaculatus
158=	12	Vanellus (Lobipluvia) miles novaehollandiae
158=	12	Zosterops lateralis
219=	11	Alisterus scapularis minor
219=	11	Aprosmictus erythropterus
219=	11	Arocatus montanus
219=	11	Artamus (Angroyan) cinereus melanops
219=	11	Artamus (Campbellornis) personatus
219=	11	Artamus (Campbellornis) superciliosus
219=	11	Austranillus macleayi
219=	11	Austroxestus australiensis
219=	11	Bettongia lesueur
219=	11	Cacatua (Licmetis) tenuirostris
219=	11	Cacomantis (Cacomantis) variolosus dumetorum
219=	11	Cacomantis (Cacomantis) variolosus variolosus
219=	11	Calyptorhynchus (Calyptorhynchus) banksii graptogyne
219=	11	Calyptorhynchus (Calyptorhynchus) banksii samueli
219=	11	Calyptorhynchus (Calyptorhynchus) lathami erebus
219=	11	Calyptorhynchus (Calyptorhynchus) lathami halmaturinus
219=	11	Calyptorhynchus (Calyptorhynchus) lathami lathami
219=	11	Caprimulgus macrurus schlegelii
219=	11	Cerithium columna
219=	11	Christinus marmoratus
219=	11	Colluricincla (Colluricincla) harmonica harmonica
219=	11	Conus anemone
219=	11	Conus arenatus
219=	11	Conus aulicus
219=	11	Conus tessulatus
219=	11	Cracticus tibicen
219=	11	Cyclorana platycephala
219=	11	Dicaeum (Dicaeum) hirundinaceum
219=	11	Dicaeum (Dicaeum) hirundinaceum hirundinaceum
219=	11	Distorsio anus
219=	11	Furina diadema
219=	11	Furina ornata
219=	11	Geocoris lubra
219=	11	Geopelia striata placida
219=	11	Geophaps (Geophaps) scripta peninsulae
219=	11	Geophaps (Geophaps) scripta scripta
219=	11	Geophaps (Lophophaps) plumifera ferruginea
219=	11	Geophaps (Lophophaps) plumifera leucogaster
219=	11	Geophaps (Lophophaps) plumifera plumifera
219=	11	Glossopsitta concinna concinna
219=	11	Glossopsitta concinna didimus
219=	11	Glossopsitta porphyrocephala
219=	11	Glossopsitta pusilla
219=	11	Hirundo (Hirundo) neoxena carteri
219=	11	Illaphanus stephensii
219=	11	Isoodon macrourus
219=	11	Larus (Larus) dominicanus
219=	11	Larus (Larus) dominicanus dominicanus
219=	11	Larus (Larus) pacificus
219=	11	Larus (Larus) pacificus georgii
219=	11	Larus (Larus) pacificus pacificus
219=	11	Laticauda colubrina
219=	11	Laticauda laticaudata
219=	11	Limnodynastes fletcheri
219=	11	Limnodynastes tasmaniensis
219=	11	Litoria fallax
219=	11	Litoria nigrofrenata
219=	11	Macropus giganteus
219=	11	Malurus (Leggeornis) lamberti
219=	11	Malurus (Leggeornis) lamberti assimilis
219=	11	Morethia boulengeri
219=	11	Myrmecobius fasciatus
219=	11	Nassarius (Niotha) pauperatus
219=	11	Neobatrachus sudellae
219=	11	Neopsephotus bourkii
219=	11	Nestor productus
219=	11	Ninox (Ninox) novaeseelandiae lurida
219=	11	Northiella haematogaster haematogaster
