rank	count	Collector
223=	3	A. Sundholm and A. Scott
223=	3	Blossom
223=	3	D. Bickel
223=	3	D. C. F. Rentz
223=	3	D. K. McAlpine
223=	3	D. S. Horning
223=	3	D. Wright
223=	3	D.S.Horning
223=	3	E. M. Exley &#38; T. Low
223=	3	G. B. Monteith, D. K. Yeates
223=	3	G.A. Williams
223=	3	H. E. P. Bracey
223=	3	I. Naumann &#38; T. Weir
223=	3	J. D. Majer
223=	3	J. L. Cressitt
223=	3	J.L Gressitt
223=	3	K. R. Norris
223=	3	M. A. Schneider
223=	3	M. A. Stephenson
223=	3	M. Cheng &#38; C. Nichols
223=	3	M. Cheng &#38; D. Azzi
223=	3	M. S. Upton
223=	3	M.F. Braby
223=	3	M.S. Upton
223=	3	Monteith and Hasenpusch
223=	3	Moulds, McEvey &#38; McAlpine
223=	3	P. Honan
223=	3	Qld. Mus. &#38; ANZSES
223=	3	R. Kumar
223=	3	R. Parr
223=	3	S. &#38; J. Peck
223=	3	T. F. Houston et al
223=	3	T.Weir, J.F.Lawrence, M.L.Johnson
223=	3	W.G. Ullrich
257=	2	A. H. Elston
257=	2	A. Postle and C. Brockway
257=	2	A. Snell
257=	2	A.M. CBCR
257=	2	B. Cantrell
257=	2	B. Cross
257=	2	B. Schiebaan
257=	2	C. Gibbons
257=	2	C. N. Smithers
257=	2	C. N. Smithers &#38; A.S. Smithers
257=	2	C. P. Jhmact
257=	2	C. P. Ohmart
257=	2	C.F. Muir
257=	2	D. Britton
257=	2	D.K. McAlpine and M.A. Schneider
257=	2	DE BEER
257=	2	E. C. Dahms
257=	2	E. C. Zimmerman
257=	2	E. G. Matthews
257=	2	E. Volschenk
257=	2	E.G. Matthews
257=	2	F. Muir
257=	2	G. Gross
257=	2	H. M. Hale
257=	2	H. O. Fletcher
257=	2	I. D. Naumann
257=	2	I. Naumann, G. Clarke
257=	2	I. W. Watson
257=	2	I.C. Taplin
257=	2	J. A. Cardale
257=	2	J. A. Herridge
257=	2	J. Balderson
257=	2	J. Cardale &#38; S. Curtis
257=	2	J. Cardale, P. Zborowski
257=	2	J. F. Donaldson
257=	2	J. G. Brooks
257=	2	J. L. Gressitt
257=	2	J. Majer
257=	2	J. Sedlacek
257=	2	J. Tarnawski &#38; S. Lassau
257=	2	K.L. Anderson
257=	2	Khashiyah
257=	2	L. Franzen
257=	2	L. G. Herron
257=	2	L. Roberts
257=	2	M. Cheng, C. Bayer, &#38; M. Colquhoun
257=	2	M. Cheng, R. Kittel &#38; C. Levy
257=	2	M. F. Day
257=	2	M. Purcell
257=	2	M. Simpson &#38; K.A. Coward
257=	2	Monteith &#38; Seymour
257=	2	Mr. A. Snell
257=	2	N. Guthrie
257=	2	P. Allsopp
257=	2	P. B. M'Quillan
257=	2	P. C. Hely
257=	2	P. Cale
257=	2	P. Flemons &#38; J. Tarnawski
257=	2	R. Brieze-Stegeman
257=	2	R. Harris &#38; H. Smith
257=	2	S. G. Wright
257=	2	S. Hamlet
257=	2	S. Montague
