rank	count	Longitude

1	408	114.23940
2	348	130.79442
3	298	116.15750
4	297	133.32230
5	233	141.30888
6	221	132.42310
7	207	146.27490
8	205	141.13020
9	188	146.81990
10	181	133.46260
11	173	114.00940
12	171	121.12310
13	170	145.07052
14	168	148.28760
15	167	114.50960
16	165	120.09640
17	161	120.52844
18	158	114.52330
19	153	113.93380
20=	148	117.91480
20=	148	120.80141
22=	147	114.78210
22=	147	138.83700
24=	143	123.98070
24=	143	144.81935
26	142	NULL
27	141	119.43890
28	138	141.64180
29	134	141.32805
30=	132	115.39820
30=	132	127.35111
32	131	149.95680
33	129	120.09710
34	124	134.37000
35	123	174.47969
36	121	151.02930
37=	120	116.63166
37=	120	119.44840
39=	118	115.05510
39=	118	116.66677
41	117	153.45800
42=	115	131.53750
42=	115	151.11333
44	111	145.36766
45	110	144.40980
46	109	123.35190
47	103	116.61986
48	101	133.29990
49=	100	116.54419
49=	100	116.54691
51=	99	115.76870
51=	99	133.45670
53	96	131.03010
54	95	145.00658
55=	94	131.00749
55=	94	147.20100
57	93	115.16610
58=	88	113.64770
58=	88	114.72520
58=	88	146.71680
58=	88	150.05300
58=	88	150.88330
63=	87	114.68670
63=	87	115.76583
63=	87	115.83810
66	86	114.16670
67	85	115.76260
68	84	130.68916
69=	82	120.09990
69=	82	120.78690
69=	82	133.20060
69=	82	139.08780
69=	82	144.82463
74=	80	116.94791
74=	80	120.14940
76	78	115.11750
77=	77	115.36420
77=	77	119.37050
77=	77	132.71010
80=	76	116.66633
80=	76	119.91460
80=	76	137.56920
83=	75	115.01500
83=	75	131.47750
83=	75	147.62480
86=	74	115.93622
86=	74	116.07530
86=	74	131.20765
86=	74	142.01000
90=	72	114.03810
90=	72	117.41000
90=	72	117.45000
90=	72	121.95427
94=	71	115.15611
94=	71	133.12340
94=	71	141.30980
97=	70	141.83570
97=	70	147.24460
99	69	114.00570
100	68	132.28090
101=	67	115.41216
101=	67	149.39150
103=	66	116.94266
103=	66	117.02938
105=	65	119.28870
105=	65	124.94200
105=	65	130.98653
105=	65	148.91842
105=	65	150.18460
110=	64	116.73052
110=	64	116.94697
110=	64	119.94550
110=	64	133.23070
110=	64	151.33000
115=	63	113.46260
115=	63	119.97447
115=	63	134.15360
115=	63	148.20018
119=	62	113.71580
119=	62	116.73505
119=	62	132.35888
122=	61	116.00760
122=	61	145.07909
122=	61	145.50750
122=	61	148.90018
126=	60	115.04970
126=	60	115.24321
128=	59	118.70420
128=	59	133.62120
130=	58	120.92910
130=	58	121.51750
130=	58	140.73640
133=	57	132.17900
133=	57	147.94930
135=	56	121.58990
135=	56	132.42980
135=	56	145.66670
135=	56	148.17800
139=	55	115.11680
139=	55	119.41000
139=	55	141.91900
139=	55	144.47738
143=	54	121.93340
143=	54	146.65902
145=	53	119.97690
145=	53	141.65000
145=	53	146.48858
145=	53	164.93638
149=	52	123.01260
149=	52	146.56380
151=	51	113.81110
151=	51	116.01120
151=	51	117.64460
151=	51	118.78166
155=	50	115.06900
155=	50	115.62308
155=	50	144.60338
158=	49	117.25420
158=	49	149.20360
160=	48	120.00590
160=	48	121.25580
160=	48	151.10480
163=	47	117.05283
163=	47	120.13200
163=	47	120.68908
163=	47	135.37116
163=	47	138.83040
168=	46	132.89510
168=	46	141.85440
168=	46	151.99200
171=	45	115.06188
171=	45	115.56027
171=	45	120.67305
174=	44	116.38241
174=	44	116.54252
176=	43	114.47460
176=	43	115.01483
176=	43	115.13630
176=	43	115.71780
176=	43	120.79388
176=	43	122.61660
176=	43	139.55060
183=	42	116.46440
183=	42	142.20000
185=	41	115.06570
185=	41	116.54336
185=	41	116.92094
185=	41	140.20000
189=	40	117.77250
189=	40	131.56890
189=	40	151.95000
192=	39	115.27486
192=	39	116.43500
192=	39	117.03363
192=	39	119.87920
192=	39	130.71502
192=	39	147.71820
192=	39	147.84820
192=	39	150.05000
192=	39	151.09650
201=	38	115.13480
201=	38	118.55027
201=	38	121.15140
201=	38	144.88731
205=	37	114.63430
205=	37	116.04230
205=	37	116.08640
205=	37	119.90350
205=	37	150.51000
210=	36	116.84430
210=	36	146.56670
212=	35	120.54988
212=	35	120.64638
212=	35	152.28500
212=	35	152.75000
216=	34	140.58810
216=	34	148.97553
216=	34	148.98833
219=	33	114.78630
219=	33	123.17040
221=	32	115.13672
221=	32	116.66597
221=	32	120.28130
221=	32	127.36182
221=	32	141.56220
221=	32	145.00119
227=	31	121.64140
227=	31	142.45000
227=	31	145.88330
227=	31	147.03333
227=	31	153.55760
232=	30	113.61670
232=	30	114.70540
232=	30	114.97850
232=	30	115.01230
232=	30	115.55390
232=	30	119.83923
232=	30	120.72041
232=	30	122.32930
232=	30	131.57028
232=	30	133.25170
232=	30	133.45722
232=	30	135.37211
232=	30	141.51786
232=	30	150.98590
246=	29	116.64030
246=	29	117.50860
246=	29	120.56697
246=	29	120.61590
246=	29	130.92655
246=	29	147.13500
252=	28	115.15060
252=	28	120.69811
252=	28	122.43500
252=	28	145.18108
252=	28	148.99872
257=	27	115.12000
257=	27	126.20639
257=	27	132.76389
257=	27	145.49941
257=	27	145.75000
262=	26	114.59980
262=	26	116.80000
262=	26	116.96752
262=	26	117.03988
262=	26	117.04000
262=	26	120.31000
262=	26	120.71036
262=	26	138.57681
262=	26	139.45230
262=	26	145.90000
262=	26	146.50168
262=	26	150.97717
274=	25	117.33425
274=	25	119.85860
274=	25	120.80425
274=	25	134.59710
274=	25	143.54130
274=	25	145.00138
280=	24	115.25850
280=	24	130.98541
280=	24	138.63333
280=	24	138.74806
280=	24	140.67120
280=	24	141.33341
280=	24	145.63329
280=	24	146.29721
280=	24	146.94508
280=	24	152.35000
290=	23	114.13580
290=	23	114.54090
290=	23	116.04840
290=	23	116.43063
290=	23	116.54558
290=	23	137.41750
290=	23	140.80734
290=	23	141.78800
290=	23	145.39972
290=	23	146.54898
290=	23	150.16670
290=	23	159.08000
290=	23	173.84274
303=	22	115.55400
303=	22	118.55990
303=	22	118.69330
303=	22	119.38050
303=	22	122.34210
303=	22	123.25880
303=	22	131.26077
303=	22	142.04640
303=	22	142.23330
303=	22	144.68480
303=	22	145.15935
303=	22	148.94920
303=	22	153.40000
316=	21	115.66448
316=	21	116.46010
316=	21	122.16960
316=	21	131.02754
316=	21	144.94238
316=	21	145.20000
316=	21	145.36670
316=	21	145.94000
316=	21	146.50328
316=	21	147.14466
316=	21	147.26611
327=	20	116.49122
327=	20	117.74541
327=	20	118.52083
327=	20	120.68636
327=	20	144.61052
327=	20	144.71405
327=	20	145.16513
327=	20	145.51670
327=	20	146.28519
327=	20	148.75000
327=	20	149.30000
338=	19	115.49358
338=	19	115.72500
338=	19	116.04324
338=	19	116.50319
338=	19	117.94500
338=	19	120.59522
338=	19	123.11230
338=	19	131.08621
338=	19	145.31588
338=	19	145.61902
338=	19	145.70000
338=	19	145.85000
338=	19	146.08863
338=	19	146.78022
352=	18	113.81670
352=	18	117.64316
352=	18	128.67090
352=	18	141.78958
352=	18	142.31120
352=	18	143.23330
352=	18	144.59136
352=	18	145.55000
352=	18	149.50000
352=	18	166.90133
362=	17	115.04000
362=	17	115.26990
362=	17	115.31950
362=	17	119.77980
362=	17	120.61833
362=	17	120.76375
362=	17	121.69346
362=	17	141.35000
362=	17	146.35871
362=	17	149.84799
362=	17	166.92440
373=	16	114.38640
373=	16	115.07650
373=	16	115.25400
373=	16	116.54477
373=	16	120.00310
373=	16	132.53222
373=	16	139.91670
373=	16	141.80332
373=	16	153.12400
373=	16	153.19431
373=	16	166.45461
384=	15	114.68730
384=	15	114.83800
384=	15	115.30344
384=	15	115.38192
384=	15	115.90172
384=	15	116.12330
384=	15	116.39450
384=	15	117.50920
384=	15	120.18111
384=	15	131.02694
384=	15	132.35250
384=	15	132.76361
384=	15	138.44700
384=	15	144.68402
384=	15	144.78770
384=	15	146.32450
384=	15	146.56033
384=	15	149.00445
384=	15	152.87200
403=	14	115.24690
403=	14	115.39883
403=	14	115.55000
403=	14	116.08680
403=	14	116.13000
403=	14	116.50030
403=	14	116.73466
403=	14	116.95291
403=	14	118.24266
403=	14	121.15060
403=	14	123.09210
403=	14	133.14861
403=	14	144.68716
403=	14	145.18121
403=	14	145.26236
403=	14	145.48330
403=	14	150.95356
403=	14	151.10694
403=	14	152.74833
422=	13	114.43860
422=	13	114.45690
422=	13	115.01240
422=	13	115.30019
422=	13	115.66222
422=	13	115.66720
422=	13	116.54347
422=	13	126.19900
422=	13	131.01234
422=	13	131.02415
422=	13	134.50900
422=	13	138.53120
422=	13	141.50000
422=	13	142.52248
422=	13	144.85902
422=	13	145.40733
422=	13	147.14645
422=	13	148.28140
422=	13	149.81670
422=	13	149.93333
422=	13	150.37497
422=	13	151.23333
444=	12	115.46505
444=	12	115.91567
444=	12	116.17420
444=	12	116.45280
444=	12	117.23080
444=	12	119.04740
444=	12	119.36133
444=	12	120.57025
444=	12	121.24360
444=	12	122.16800
444=	12	122.59380
444=	12	123.31810
444=	12	131.66350
444=	12	141.40000
444=	12	145.03401
444=	12	145.26686
444=	12	145.41670
444=	12	145.81667
444=	12	152.48027
444=	12	153.40500
464=	11	114.61667
464=	11	115.21870
464=	11	120.83005
464=	11	132.72200
464=	11	142.36300
464=	11	144.00636
464=	11	144.96081
464=	11	145.13333
464=	11	145.46670
464=	11	145.56688
464=	11	146.14250
464=	11	146.17208
464=	11	150.56997
464=	11	151.18330
464=	11	153.02801
479=	10	105.39000
479=	10	116.37883
479=	10	116.70990
479=	10	116.73727
479=	10	120.60836
479=	10	120.66394
479=	10	120.67277
479=	10	130.79187
479=	10	131.10670
479=	10	132.53870
479=	10	135.24377
479=	10	138.90824
479=	10	141.16670
479=	10	141.27380
479=	10	141.38236
479=	10	143.77100
479=	10	144.72060
479=	10	145.03113
479=	10	145.27125
479=	10	145.32452
479=	10	145.43382
479=	10	145.65000
479=	10	146.18000
479=	10	146.27677
479=	10	146.91900
479=	10	148.72883
479=	10	149.16666
479=	10	150.98128
479=	10	151.06090
479=	10	151.15535
479=	10	151.55000
510=	9	113.82810
510=	9	113.88070
510=	9	115.02416
510=	9	115.28880
510=	9	115.48950
510=	9	115.57044
510=	9	115.77097
510=	9	116.05000
510=	9	116.83583
510=	9	117.02055
510=	9	117.06722
510=	9	120.61858
510=	9	120.69230
510=	9	126.51090
510=	9	130.76093
510=	9	131.07034
510=	9	132.91670
510=	9	135.24386
510=	9	139.55000
510=	9	140.22310
510=	9	141.00490
510=	9	142.50400
510=	9	144.51430
510=	9	144.95280
510=	9	145.09150
510=	9	145.13330
510=	9	145.16670
510=	9	145.26667
510=	9	145.33330
510=	9	145.35319
510=	9	145.53330
510=	9	145.58000
510=	9	145.61670
510=	9	146.28990
510=	9	146.56987
510=	9	146.61080
510=	9	147.33330
510=	9	148.02650
510=	9	148.88030
510=	9	149.83330
510=	9	150.97214
551=	8	114.16500
551=	8	114.67680
551=	8	114.99750
551=	8	115.05000
551=	8	115.34600
551=	8	116.04000
551=	8	116.12000
551=	8	117.00569
551=	8	117.24470
551=	8	119.32611
551=	8	120.67550
551=	8	120.71148
551=	8	120.86386
551=	8	135.06444
551=	8	135.29219
551=	8	138.63100
551=	8	139.12730
551=	8	141.77370
551=	8	142.69120
551=	8	145.28330
551=	8	145.45000
551=	8	145.63500
551=	8	145.78330
551=	8	145.93330
551=	8	146.54982
551=	8	147.05400
551=	8	147.89680
551=	8	148.78300
551=	8	149.10051
551=	8	149.83220
551=	8	151.20960
551=	8	153.02202
551=	8	153.11805
584=	7	114.36810
584=	7	115.64694
584=	7	115.93333
584=	7	116.32402
584=	7	117.83333
584=	7	118.05500
584=	7	118.26270
584=	7	118.46920
584=	7	118.75000
584=	7	119.71400
584=	7	120.63883
584=	7	120.82511
584=	7	121.13230
584=	7	121.67780
584=	7	122.26740
584=	7	131.17596
584=	7	138.75000
584=	7	140.03330
584=	7	141.47116
584=	7	141.96430
584=	7	143.21666
584=	7	144.30951
584=	7	145.03333
584=	7	145.17648
584=	7	145.19466
584=	7	145.26033
584=	7	145.27618
584=	7	145.41666
584=	7	145.48388
584=	7	145.48580
584=	7	145.96670
584=	7	146.22233
584=	7	147.15530
