rank	count	Locality photo
43=	18	http://research.amnh.org/pbi/specimen/pbiwa04_l23.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l23_02.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l23_03.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l23_04.jpg
45	17	http://research.amnh.org/pbi/specimen/pbi_ncal05_l09.jpg;http://research.amnh.org/pbi/specimen/pbi_ncal05_l09_01.jpg
46=	16	http://research.amnh.org/pbi/specimen/ca01l37a.jpg
46=	16	http://research.amnh.org/pbi/specimen/pbi_ncal05_l01_07.jpg;http://research.amnh.org/pbi/specimen/pbi_ncal05_l01.jpg
48	15	http://research.amnh.org/pbi/specimen/wa04l8.jpg
49=	13	http://research.amnh.org/pbi/specimen/ca01l22b.jpg
49=	13	http://research.amnh.org/pbi/specimen/ca01l60a.jpg
51=	12	http://research.amnh.org/pbi/specimen/wa99l02h5c.jpg
51=	12	http://research.amnh.org/pbi/specimen/wa99l39a.jpg
53	9	http://research.amnh.org/pbi/specimen/pbiwa04_l22_01.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l22_02.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l22_03.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l22_04.jpg
54	8	http://research.amnh.org/pbi/specimen/ca01l61.jpg
55=	7	http://research.amnh.org/pbi/specimen/wa99l04b_cassis_collecting.jpg
55=	7	http://research.amnh.org/pbi/specimen/wa99l29a.jpg;http://research.amnh.org/pbi/specimen/wa99l29b.jpg;http://research.amnh.org/pbi/specimen/wa99l29h104e.jpg
57	6	http://research.amnh.org/pbi/specimen/ca01l65a.jpg;http://research.amnh.org/pbi/specimen/ca01l65d.jpg
58=	5	http://research.amnh.org/pbi/specimen/wa99l07.jpg;http://research.amnh.org/pbi/specimen/wa99l07h29d.jpg;http://research.amnh.org/pbi/specimen/wa99l07h29g.jpg
58=	5	http://research.amnh.org/pbi/specimen/wa99l16c.jpg
60	4	http://research.amnh.org/pbi/specimen/ca01l21a.jpg;http://research.amnh.org/pbi/specimen/ca01l21d.jpg;http://research.amnh.org/pbi/specimen/ca01l21b.jpg;http://research.amnh.org/pbi/specimen/ca01l21e.jpg;http://research.amnh.org/pbi/specimen/ca01l21.jpg
61	3	http://research.amnh.org/pbi/specimen/wa99l20.jpg
62=	2	http://research.amnh.org/pbi/specimen/ca01l42b.jpg;http://research.amnh.org/pbi/specimen/ca01l42a.jpg
62=	2	http://research.amnh.org/pbi/specimen/pbiqld05_l2h2a.jpg
62=	2	http://research.amnh.org/pbi/specimen/wa04l7.jpg
65=	1	http://research.amnh.org/pbi/specimen/ca01l20.jpg
65=	1	http://research.amnh.org/pbi/specimen/ca01l52.jpg
65=	1	http://research.amnh.org/pbi/specimen/pbiwa04_l30_02.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l30_03.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l30_04.jpg;http://research.amnh.org/pbi/specimen/pbiwa04_l30ish.jpg

26555	TOTAL
