rank	count	Host authority
186=	8	&#40;R. Br.&#41; R. Br.
186=	8	&#40;R.Br.&#41; F.Muell
186=	8	&#40;Vent.&#41; L.A.S. Johnson
186=	8	F. Mueller
186=	8	J.W. Green
186=	8	Maslin
186=	8	Poiss. ex Pancher &#38; Sebert
197=	7	&#40;Moq.&#41; P.G. Wilson
197=	7	&#40;Symon&#41; Randell
197=	7	Forst.
197=	7	H.-M. Wheeler
197=	7	Hook
197=	7	Nees
203=	6	&#40;Kunth&#41; Steud.
203=	6	&#40;L.&#41; Gaudich.
203=	6	&#40;L.&#41; Hayek
203=	6	&#40;R. Br. ex DC.&#41; Hoogl.
203=	6	&#40;S.Moore&#41; Diels
203=	6	A. Cunn. ex Benth.
203=	6	F. Muell. ex Craven
203=	6	Gaertn.
203=	6	J.W. Grimes
203=	6	Roxb.
213=	5	&#40;A. Mitchell 3585&#41;
213=	5	&#40;Airy Shaw&#41; Halford &#38; R.J.F.Hend.
213=	5	&#40;Blakely&#41; Danser
213=	5	&#40;Diels&#41; Paul G. Wilson
213=	5	&#40;F. Muell.&#41; J.W. Grimes
213=	5	&#40;Miq.&#41; Hook.f.
213=	5	&#40;Steud.&#41; C.E. Hubb.
213=	5	&#40;Steud.&#41; F. Muell.
213=	5	J.R.Forst. &#38; G.Forst.
213=	5	N.G. Walsh
223=	4	&#40;Bartl.&#41; Chinnock
223=	4	&#40;Paul G.Wilson&#41; K.A.Sheph. &#38; Paul G.Wilson
223=	4	&#40;Sm.&#41; J.G. West
223=	4	Dehnh.
223=	4	Donn ex Sm.
223=	4	f. densa Munir
229=	3	&#40;Cav.&#41; S.T. Blake
229=	3	&#40;F. Muell.&#41; Rye &#38; Trudgen
229=	3	&#40;Fr.&#41; G.Cunn.
229=	3	&#40;Paul G.Wilson&#41; Paul G.Wilson
229=	3	&#40;S. Moore&#41; Chinnock
229=	3	Cranfield
229=	3	Joy. Thomps. &#38; L.A.S. Johnson
229=	3	Mill.
229=	3	S.W.L. Jacobs
229=	3	Schott
229=	3	Schrad. &#38; J.C.Wendl
240=	2	&#40;DC.&#41; Radlk.
240=	2	&#40;Endl.&#41; N.Snow &#38; Guymer
240=	2	&#40;F. Muell.&#41; Carolin
240=	2	&#40;Lour.&#41; Merr.
240=	2	&#40;Miq.&#41; Tiegh.
240=	2	&#40;R. Br.&#41; Ostenf.
240=	2	&#40;S.Moore&#41; Symon
240=	2	&#40;Schauer&#41; J.R.Wheeler &#38; N.G.Marchant
240=	2	&#40;Vent.&#41; R.Br.
240=	2	Forssk.
240=	2	K.R. Thiele
240=	2	Maslin &#38; Buscumb
252=	1	&#40;A.A. Mitchell 76/148&#41;
252=	1	&#40;Baill.&#41; Burret
252=	1	&#40;DC.&#41; Randell
252=	1	&#40;Desf.&#41; Druce
252=	1	&#40;F. Muell.&#41; Merr.
252=	1	&#40;F.M. Bailey&#41; K.D. Hill &#38; L.A.S. Johnson
252=	1	&#40;F.Muell.&#41; C.D.K.Cook
252=	1	&#40;Forssk.&#41; T.Q. Nguyen
252=	1	&#40;Gaudich. ex DC.&#41; Randell
252=	1	&#40;Labill.&#41; S.T.Blake
252=	1	&#40;Lehm.&#41; Benth.
252=	1	&#40;Miq.&#41; Tieghem
252=	1	&#40;Pancher &#38; Sebert&#41; Loes.
252=	1	&#40;Parl.&#41; S.T.Blake
