rank	count	Latitude

1	408	-27.65822
2	348	-14.09810
3	298	-34.76810
4	297	-25.16667
5	241	-23.51668
6	233	-34.13566
7	222	-22.10000
8	207	-38.97705
9	205	-38.11753
10	188	-39.02365
11	173	-26.39014
12	171	-29.92835
13	170	-20.16641
14	168	-41.98819
15	167	-28.30029
16	165	-33.06784
17	161	-29.88830
18	158	-24.45443
19	153	-26.56331
20=	148	-30.41822
20=	148	-34.89933
22=	147	-24.66376
22=	147	-30.55001
24=	143	-17.39479
24=	143	-41.49080
26	142	NULL
27	141	-21.74220
28	138	-36.58255
29	134	-34.14075
30=	132	-15.87232
30=	132	-30.22339
32	131	-36.78452
33	129	-33.06773
34	124	-23.28027
35	123	-36.98596
36	121	-34.15000
37=	120	-21.50821
37=	120	-29.03475
39=	118	-29.14197
39=	118	-30.04767
41	117	-27.50900
42=	115	-24.26667
42=	115	-34.13888
44	111	-16.81938
45	110	-25.99847
46=	109	-30.66668
46=	109	-33.90416
48	103	-29.14997
49	101	-25.13334
50=	100	-29.09508
50=	100	-29.17600
52=	99	-24.23334
52=	99	-32.02090
54	96	-14.22862
55	95	-20.26922
56	94	-14.34426
57	93	-34.34212
58=	88	-24.90044
58=	88	-25.62519
58=	88	-36.48709
58=	88	-42.68151
62=	87	-27.44756
62=	87	-30.16682
62=	87	-32.17583
62=	87	-34.06667
66	86	-27.87052
67	85	-32.01573
68	84	-25.34361
69	83	-25.06667
70=	82	-18.11041
70=	82	-20.94539
70=	82	-31.43334
70=	82	-33.85156
74=	80	-20.22244
74=	80	-29.59261
76	78	-29.91094
77=	77	-23.10137
77=	77	-24.03333
77=	77	-30.47130
80=	76	-29.16833
80=	76	-32.26667
80=	76	-33.95788
83=	75	-25.22806
83=	75	-26.46401
83=	75	-30.03403
86=	74	-13.90364
86=	74	-32.06207
86=	74	-34.73835
86=	74	-34.80198
90=	72	-17.26667
90=	72	-24.18336
90=	72	-33.79691
90=	72	-34.18000
90=	72	-34.21000
95=	71	-24.56668
95=	71	-30.60444
95=	71	-38.21766
98=	70	-34.79166
98=	70	-42.89488
100	69	-24.40709
101=	68	-24.90002
101=	68	-33.01500
103=	67	-22.02605
103=	67	-23.73335
103=	67	-32.01667
106=	66	-22.96516
106=	66	-29.59550
108=	65	-14.28102
108=	65	-17.41401
108=	65	-33.77872
108=	65	-35.36520
108=	65	35.61382
113=	64	-23.41668
113=	64	-28.01057
113=	64	-29.30822
113=	64	-29.59338
113=	64	-33.62000
118=	63	-21.24847
118=	63	-24.49068
118=	63	39.99570
121=	62	-23.79361
121=	62	-24.72267
121=	62	-29.29969
124=	61	-17.99041
124=	61	-34.81596
124=	61	-41.65020
124=	61	35.60485
128=	60	-25.47776
128=	60	-29.90250
130	59	-22.61611
131=	58	-19.38334
131=	58	-27.73124
131=	58	-33.83958
134=	57	-22.50001
134=	57	-40.78115
136=	56	-22.11667
136=	56	-31.25231
136=	56	-40.88483
139=	55	-17.14786
139=	55	-21.82102
139=	55	-31.10000
139=	55	-34.80035
143=	54	-33.81039
143=	54	42.04005
145=	53	-21.13500
145=	53	-33.95175
145=	53	42.09188
148=	52	-33.85390
148=	52	-41.14984
150=	51	-22.20652
150=	51	-22.32404
150=	51	-34.82116
150=	51	-35.06033
154=	50	-15.69975
154=	50	-22.00344
154=	50	-30.33667
157=	49	-35.02013
157=	49	-37.56810
159=	48	-30.28882
159=	48	-31.27202
161=	47	-29.50683
161=	47	-30.30766
161=	47	-30.55365
161=	47	-32.50308
161=	47	-33.07679
161=	47	-36.56668
167=	46	-22.30001
167=	46	-27.67424
167=	46	-38.07651
170=	45	-22.16966
170=	45	-29.96277
170=	45	-30.04905
173=	44	-29.13919
173=	44	-29.14116
175=	43	-27.84820
175=	43	-30.21588
175=	43	-30.33472
175=	43	-31.53334
175=	43	-32.07347
175=	43	-32.91893
175=	43	-34.37154
182	42	-34.89180
183=	41	-29.16827
183=	41	-29.68594
183=	41	-33.31667
183=	41	-34.14970
187=	40	-22.67043
187=	40	-24.25001
187=	40	-28.86667
190=	39	-13.82642
190=	39	-22.72841
190=	39	-29.21888
190=	39	-29.57861
190=	39	-33.36519
190=	39	-41.78387
190=	39	-42.55999
197=	38	-22.47675
197=	38	-29.57703
197=	38	-29.91917
197=	38	-41.58370
201=	37	-23.21953
201=	37	-28.86304
201=	37	-32.33698
201=	37	-34.24000
201=	37	-34.76289
201=	37	-36.48179
207=	36	-27.31666
207=	36	-35.03725
207=	36	42.08998
210=	35	-29.49900
210=	35	-29.92705
210=	35	-30.06261
213=	34	-33.28742
213=	34	35.66498
213=	34	35.75753
216=	33	-29.02061
216=	33	-32.11084
216=	33	-34.21667
219=	32	-15.86310
219=	32	-16.49991
219=	32	-25.95450
219=	32	-29.16352
219=	32	-29.21444
219=	32	-33.16284
219=	32	-36.58686
226=	31	-10.80000
226=	31	-28.43123
226=	31	-30.30001
226=	31	-31.85648
226=	31	-32.80000
231=	30	-17.16151
231=	30	-24.51528
231=	30	-25.05750
231=	30	-25.11667
231=	30	-25.24417
231=	30	-26.10801
231=	30	-27.47362
231=	30	-30.07066
231=	30	-30.20327
231=	30	-30.23171
231=	30	-30.46755
231=	30	-32.50300
231=	30	-33.54034
231=	30	-34.24372
231=	30	-34.98333
246=	29	-14.21937
246=	29	-29.15961
246=	29	-31.14334
246=	29	-32.55001
246=	29	-33.41500
246=	29	-34.99397
252=	28	-17.96000
252=	28	-18.20000
252=	28	-20.73105
252=	28	-25.39014
252=	28	-30.22158
252=	28	-35.00000
252=	28	35.75298
259=	27	-15.02056
259=	27	-17.33258
259=	27	-24.28056
262=	26	-12.75000
262=	26	-21.35000
262=	26	-27.25379
262=	26	-29.51027
262=	26	-30.08751
262=	26	-30.53772
262=	26	-31.21233
262=	26	-32.00924
262=	26	-32.51500
262=	26	-32.85480
262=	26	-34.18745
262=	26	-35.01958
