rank	count	UID

1=	1	1016658
1=	1	1016678
1=	1	1016695
1=	1	1016697
1=	1	1016700
1=	1	1016701
1=	1	1016702
1=	1	1016703
1=	1	1016704
1=	1	1016706
1=	1	1016707
1=	1	1016712
1=	1	1016724
1=	1	1016725
1=	1	1016726
1=	1	1016749
1=	1	1016750
1=	1	1016751
1=	1	1016752
1=	1	1016753
1=	1	1016754
1=	1	1016755
1=	1	1016756
1=	1	1016757
1=	1	1016758
1=	1	1016759
1=	1	1016760
1=	1	1016761
1=	1	1016766
1=	1	1016767
1=	1	1016768
1=	1	1016769
1=	1	1016770
1=	1	1016771
1=	1	1016772
1=	1	1016773
1=	1	1016774
1=	1	1016775
1=	1	1016776
1=	1	1016777
1=	1	1016778
1=	1	1016779
1=	1	1016780
1=	1	1016781
1=	1	1016782
1=	1	1016783
1=	1	1016784
1=	1	1016785
1=	1	1016786
1=	1	1016787
1=	1	1016788
1=	1	1016789
1=	1	1016790
1=	1	1016791
1=	1	1016792
1=	1	1016793
1=	1	1016794
1=	1	1016795
1=	1	1016798
1=	1	1016799
1=	1	1017694
1=	1	1017695
1=	1	1017696
1=	1	1017697
1=	1	1017698
1=	1	1017699
1=	1	1017700
1=	1	1017701
1=	1	1017702
1=	1	1017703
1=	1	1017704
1=	1	1017705
1=	1	1017706
1=	1	1017707
1=	1	1017708
1=	1	1017709
1=	1	1017710
1=	1	1017711
1=	1	1017712
1=	1	1017713
1=	1	1017714
1=	1	1017715
1=	1	1017716
1=	1	1017717
1=	1	1017718
1=	1	1017719
1=	1	1017720
1=	1	1017721
1=	1	1017722
1=	1	1017723
1=	1	1017724
1=	1	1017725
1=	1	1017726
1=	1	1017727
1=	1	1017728
1=	1	1017729
1=	1	1017734
1=	1	1017735
1=	1	1017736
1=	1	1017737
1=	1	1017756
1=	1	1017757
1=	1	1017758
1=	1	1017759
1=	1	1017760
1=	1	1017761
1=	1	1017762
1=	1	1017763
1=	1	1017769
1=	1	1017771
1=	1	1017813
1=	1	1017814
1=	1	1017815
1=	1	1017816
1=	1	1017817
1=	1	1017818
1=	1	1017819
1=	1	1017820
1=	1	1017822
1=	1	1017823
1=	1	1017824
1=	1	1017825
1=	1	1017826
1=	1	1017827
1=	1	1017837
1=	1	1017838
1=	1	1017841
1=	1	1017842
1=	1	1017843
1=	1	1017844
1=	1	1017845
1=	1	1017846
1=	1	1017849
1=	1	1017850
1=	1	1017851
1=	1	1017852
1=	1	1017853
1=	1	1017856
1=	1	1017899
1=	1	1017900
1=	1	1017901
1=	1	1017902
1=	1	1017903
1=	1	1017904
1=	1	1017905
1=	1	1017906
1=	1	1017907
1=	1	1017908
1=	1	1017909
1=	1	1017910
1=	1	1017911
1=	1	1017912
1=	1	1017913
1=	1	1017914
1=	1	1017915
1=	1	1017916
1=	1	1017917
1=	1	1017918
1=	1	1017919
1=	1	1017920
1=	1	1017921
1=	1	1017922
1=	1	1017923
1=	1	1017924
1=	1	1017925
1=	1	1017926
1=	1	1017927
1=	1	1017928
1=	1	1017929
1=	1	1017940
1=	1	1017941
1=	1	1017942
1=	1	1017943
1=	1	1017944
1=	1	1017945
1=	1	1017946
1=	1	1017947
1=	1	1017948
1=	1	1017966
1=	1	1017967
1=	1	1017969
1=	1	1017970
1=	1	1017971
1=	1	1017972
1=	1	1017973
1=	1	1017974
1=	1	1017975
1=	1	1017976
1=	1	1017977
1=	1	1017978
1=	1	1017979
1=	1	1017980
1=	1	1017981
1=	1	1017982
1=	1	1017983
1=	1	1017984
1=	1	1017985
1=	1	1017986
1=	1	1017987
1=	1	1017988
1=	1	1017989
1=	1	1017990
1=	1	1017991
1=	1	1017992
1=	1	1017993
1=	1	1017994
1=	1	1018000
1=	1	1018001
1=	1	1018006
1=	1	1018007
1=	1	1018008
1=	1	1018009
1=	1	1018014
1=	1	1018015
1=	1	1018016
1=	1	1018017
1=	1	1018022
1=	1	1018032
1=	1	1018033
1=	1	1018034
1=	1	1018035
1=	1	1018036
1=	1	1018037
1=	1	1018038
1=	1	1018039
1=	1	1018040
1=	1	1018041
1=	1	1018042
1=	1	1018043
1=	1	1018044
1=	1	1018058
1=	1	1018059
1=	1	1018060
1=	1	1018061
1=	1	1018062
1=	1	1018063
1=	1	1018064
1=	1	1018065
1=	1	1018066
1=	1	1018067
1=	1	1018068
1=	1	1018069
1=	1	1018070
1=	1	1018071
1=	1	1018072
1=	1	1018073
1=	1	1018074
1=	1	1018075
1=	1	1018076
1=	1	1018077
1=	1	1018078
1=	1	1018079
1=	1	1018080
1=	1	1018081
1=	1	1018082
1=	1	1018083
1=	1	1018084
1=	1	1018085
1=	1	1018090
1=	1	1018091
1=	1	1018092
1=	1	1018093
1=	1	1018094
1=	1	1018095
1=	1	1018105
1=	1	1018106
1=	1	1018107
1=	1	1018108
1=	1	1018109
1=	1	1018110
1=	1	1018111
1=	1	1018112
1=	1	1018116
1=	1	1018117
1=	1	1018118
1=	1	1018119
1=	1	1018120
1=	1	1018121
1=	1	1018127
1=	1	1018128
1=	1	1018129
1=	1	1018134
1=	1	1018135
1=	1	1018136
1=	1	1018137
1=	1	1018138
1=	1	1018139
1=	1	1018167
1=	1	1018168
1=	1	1018169
1=	1	1018170
1=	1	1018171
1=	1	1018172
1=	1	1018173
1=	1	1018174
1=	1	1018175
1=	1	1018176
1=	1	1018177
1=	1	1018178
1=	1	1018179
1=	1	1018180
1=	1	1018181
1=	1	1018182
1=	1	1018183
1=	1	1018184
1=	1	1018185
1=	1	1018186
1=	1	1018187
1=	1	1018188
1=	1	1018189
1=	1	1018190
1=	1	1018191
1=	1	1018192
1=	1	1018193
1=	1	1018194
1=	1	1018195
1=	1	1018196
1=	1	1018197
1=	1	1018198
1=	1	1018199
1=	1	1018200
1=	1	1018201
1=	1	1018202
1=	1	1018203
1=	1	1018204
1=	1	1018205
1=	1	1018206
1=	1	1018207
1=	1	1018208
1=	1	1018209
1=	1	1018210
1=	1	1018211
1=	1	1018212
1=	1	1018213
1=	1	1018214
1=	1	1018215
1=	1	1018216
1=	1	1018217
1=	1	1018218
1=	1	1018219
1=	1	1018220
1=	1	1018221
1=	1	1018222
1=	1	1018223
1=	1	1018224
1=	1	1018225
1=	1	1018226
