rank	count	HostAuth

1	10326	NULL
2	1678	F. Muell.
3	1384	R. Br.
4	795	Labill.
5	538	Lindl.
6	504	Benth.
7	403	L.
8	385	Poir.
9	342	Domin
10	326	Hook.
11	251	R.Br.
12	247	Schauer
13	239	F. Muell. ex L.A.S. Johnson
14	237	&#40;E. Pritz.&#41; J.W. Green
15	199	Endl.
16	193	Link
17=	164	&#40;Labill.&#41; R. Br.
17=	164	Steetz
19	155	&#40;Andrews&#41; Lindl.
20	148	DC.
21	144	&#40;Gaudich.&#41; Benth.
22	136	F.Muell. ex Benth.
23	133	&#40;Diels&#41; L.A.S. Johnson
24	132	Craven
25	120	Turcz.
26	114	&#40;Willd.&#41; Sweet
27	113	&#40;Schrad. &#38; J.C. Wendl.&#41; Hoffmanns.
28	112	W. Fitzg.
29	105	Maiden &#38; Betche
30	101	De Wild.
31=	100	&#40;Smith&#41; Benth.
31=	100	C.F. Wilkins
31=	100	Steud.
34	93	&#40;F. Muell.&#41; F. Muell. ex Benth.
35	92	S.T. Reynolds
36	90	&#40;DC.&#41; Benth.
37	89	Meisn.
38	88	&#40;F. Muell.&#41; Craven
39	84	E.Pritz.
40	82	N.G.Marchant
41	81	Diels
42=	79	&#40;Klotzsch&#41; Baill.
42=	79	Planch.
44=	78	&#40;Schott &#38; Endl.&#41; R. Br.
44=	78	&#40;Sm.&#41; R. Br.
46	77	Carolin
47=	75	&#40;DC.&#41; J.G. West
47=	75	J.R. Forst. &#38; G. Forst.
47=	75	Rye
50	74	Olde &#38; Marriott
51	71	&#40;Labill.&#41; Sm.
52=	70	Andrews
52=	70	Sieber ex DC.
54	69	&#40;F. Muell.&#41; Druce
55	67	Hook.f.
56=	64	&#40;Forssk.&#41; Vierh.
56=	64	&#40;W. Fitzg.&#41; Chinnock
58	62	Ali
59	61	&#40;Steetz&#41; Benth.
60=	60	R.M. Barker
60=	60	Symon
62	59	&#40;J.M. Black&#41; Paul G. Wilson
63	58	Sm.
64	57	&#40;F. Muell.&#41; F. Muell.
65=	56	&#40;Endl.&#41; Benth.
65=	56	Paul G. Wilson
67=	54	&#40;DC.&#41; Lander
67=	54	&#40;Domin&#41; R.M. Barker
67=	54	&#40;Gaudich.&#41; F. Muell.
67=	54	&#40;L.&#41; Roem. &#38; Schult.
67=	54	Hawkeswood
67=	54	S. Moore
73	53	&#40;Sm.&#41; Druce
74=	52	Graham
74=	52	L.A.S. Johnson
76=	48	Jacq.
76=	48	Toelken
78	46	&#40;Labill.&#41; Court
79	45	E.M.Benn.
80	44	F.Muell
81=	43	&#40;R.J. Cranfield 8433&#41;
81=	43	Trudgen &#38; Rye
83	42	&#40;Labill.&#41; Druce
84=	41	Chinnock
84=	41	Harv.
86=	40	&#40;F. Muell.&#41; Benth.
86=	40	&#40;Gaertn.&#41; F. Muell.
86=	40	&#40;Miq.&#41; L.A.S. Johnson
86=	40	&#40;Otto &#38; F. Dietr.&#41; L.A.S. Johnson
86=	40	Schltdl.
91	39	&#40;R.Br.&#41; F. Muell.
92=	35	&#40;Barlow&#41; Craven
92=	35	Burm. f.
92=	35	Desf.
92=	35	F.Muell. &#38; Sond. ex Sond.
92=	35	Salisb.
97=	34	&#40;DC.&#41; Sweet
97=	34	C.F. Gaertn.
97=	34	Chappill
97=	34	E. Pritz.
97=	34	Maiden
102	33	Blanco
103=	32	Backh. ex Planch.
103=	32	Joy. Thomps. &#38; L.A.S. Johnson
103=	32	P.I. Forst.
103=	32	S.Schauer
107=	31	&#40;R. Br.&#41; Spreng.
107=	31	A.S. George
107=	31	J. Forst. &#38; G. Forst.
107=	31	M.F. Ray
107=	31	W.Fitzg. ex Ewart &#38; Jean White
112=	30	&#40;F. Muell.&#41; Rye
112=	30	&#40;R. Br.&#41; F. Muell.
112=	30	Kodela, Tindale &#38; D.A. Keith
115=	29	&#40;A.Cunn. ex A.DC.&#41; Druce
115=	29	&#40;Bonpl.&#41; DC.
117=	28	&#40;Gaudich.&#41; Fryxell
117=	28	A. Cunn.
119=	27	&#40;Desf.&#41; DC.
119=	27	&#40;Sm.&#41; Sweet
119=	27	&#40;Turcz.&#41; Hellbr. MS
119=	27	A.Cunn. ex R.Br.
119=	27	A.F. Oldfield &#38; F. Muell.
119=	27	Baker f. &#40;Melville&#41;
119=	27	Sieber ex Spreng.
119=	27	Trudgen
127	26	&#40;Sieber ex Spreng.&#41; L.A.S.Johnson
128=	25	&#40;D.A. Herb.&#41; N.G. Marchant &#38; Keighery ms
128=	25	&#40;F. Muell.&#41; R.O. Makinson
128=	25	Moq.
131=	24	&#40;Poir.&#41; Merr. &#38; L.M. Perry
131=	24	&#40;W. Fitzg.&#41; Pedley
131=	24	E.M. Benn.
131=	24	Lindley
135	23	Becc.
136=	22	F.J. Herm.
136=	22	Miq.
136=	22	Otto
136=	22	Pedley
140=	21	&#40;C.A. Gardner&#41; Craven
140=	21	&#40;F.Muell.&#41; Randell
140=	21	&#40;Gaudich.&#41; Steetz
140=	21	&#40;Labill.&#41; Steetz.
140=	21	Parl.
140=	21	Tindale
146=	20	&#40;Benth.&#41; Domin
146=	20	&#40;Benth.&#41; Jarman
146=	20	&#40;F. Muell. &#38; Tate&#41; J.H. Willis
146=	20	Nees
150=	19	&#40;R. Br.&#41; A.R. Mast &#38; K.R. Thiele
150=	19	Aellen
150=	19	Maiden &#38; Blakely
153=	18	&#40;F. Muell.&#41; Domin
153=	18	Munir
155=	17	&#40;R.Br.&#41; P.Beauv.
155=	17	F.Muell.
