rank	count	Coll. start date
782=	1	1995-11-12
782=	1	1995-12-13
782=	1	1996-02-08
782=	1	1996-11-10
782=	1	1996-11-12
782=	1	1996-12-05
782=	1	1997-02-13
782=	1	1997-03-11
782=	1	1997-04-15
782=	1	1997-05-15
782=	1	1997-10-11
782=	1	1997-10-25
782=	1	1997-11-15
782=	1	1997-11-19
782=	1	1997-11-24
782=	1	1997-11-28
782=	1	1997-11-29
782=	1	1997-12-04
782=	1	1998-04-27
782=	1	1998-05-02
782=	1	1998-05-25
782=	1	1998-09-29
782=	1	1998-10-10
782=	1	1998-11-23
782=	1	1998-12-07
782=	1	1998-12-23
782=	1	1999-01-22
782=	1	1999-02-05
782=	1	1999-02-15
782=	1	1999-02-18
782=	1	1999-03-08
782=	1	1999-03-10
782=	1	1999-03-11
782=	1	1999-06-02
782=	1	1999-10-01
782=	1	1999-10-04
782=	1	1999-10-06
782=	1	1999-10-13
782=	1	1999-10-27
782=	1	1999-11-04
782=	1	1999-12-08
782=	1	2000-01-05
782=	1	2000-03-28
782=	1	2000-09-25
782=	1	2000-12-12
782=	1	2001-02-21
782=	1	2001-04-15
782=	1	2001-05-22
782=	1	2001-05-26
782=	1	2001-12-25
782=	1	2001-12-26
782=	1	2002-01-08
782=	1	2002-06-24
782=	1	2003-04-16
782=	1	2003-04-17
782=	1	2003-05-28
782=	1	2003-11-06
782=	1	2004-02-18
782=	1	2004-03-03
782=	1	2004-03-15
782=	1	2004-03-31
782=	1	2004-04-12
782=	1	2004-06-05
782=	1	2004-07-03
782=	1	2004-09-30
782=	1	2004-11-09
782=	1	2004-11-23
782=	1	2005-05-02
782=	1	2006-04-20
782=	1	2006-05-14
782=	1	2006-05-17
782=	1	2006-06-15
782=	1	2006-06-26
782=	1	2006-09-04
782=	1	2006-10-19
782=	1	2006-12-10
782=	1	2007-04-20
782=	1	2007-12-31
782=	1	2008-02-09
782=	1	2008-02-10
782=	1	2008-04-29
782=	1	2009-05-04
782=	1	2010-03-11
782=	1	2010-03-15
782=	1	2010-04-27
782=	1	2010-12-12
782=	1	2012-02-28
782=	1	2012-11-17
782=	1	2013-02-05
782=	1	2013-05-13
782=	1	2014-02-24
782=	1	2014-05-31

26555	TOTAL
