rank	count	Host name

1	5137	NULL
2	406	duttonii
3	332	Malleostemon
4	319	sturtii
5	317	Allocasuarina
6	299	Grevillea juncifolia subsp. juncifolia
7	298	Corchorus
8	273	Drosera binata
9	265	Drosera indica
10	242	Solanum lasiophyllum
11	239	Casuarina pauper
12	219	insulare
13	203	Astartea
14	198	Pimelea  subsp. serpyllifolia
15	193	Acacia dealbata
16	179	Malleostemon tuberculatus
17	172	Melaleuca
18	170	Goodenia ramelii
19	162	Leptocarpus tenax
20	159	Scholtzia
21=	155	Leucopogon parviflorus
21=	155	Pandanus spiralis
23	150	Kunzea
24=	144	Acacia tetragonophylla
24=	144	Gahnia
24=	144	Pityrodia cuneata
27	139	Chamelaucium uncinatum
28=	133	Leptospermum sp.
28=	133	Sida rohlenae subsp. rohlenae
30	132	Allocasuarina campestris
31	130	Leptospermum
32	125	Leucopogon
33	124	Waitzia acuminata
34	120	Calytrix tetragona
35	119	Thryptomene
36	115	Petalostigma
37=	114	Allocasuarina sp.
37=	114	Aristida holathera var. holathera
39	113	Viminaria juncea
40	111	Acacia aneura
41=	105	Exocarpos aphyllus
41=	105	Leptospermum lanigerum
43	104	Eremophila
44	103	Acacia melanoxylon
45	101	Acacia mearnsii
46	100	Brachyloma daphnoides
47	98	Dodonaea lobulata
48	94	Poa labillardierei
49	92	Alectryon oleifolius subsp. canescens
50	90	Urtica incisa
51=	88	Abutilon
51=	88	Pityrodia
53	86	Pittosporum
54	85	Drosera macrophylla
55	84	Aluta
56=	83	Homalocalyx thryptomenoides
56=	83	Sida
58	80	Byblis gigantea
59	79	Calycopeplus paucifolius
60	78	populneus subsp. populneus
61=	76	Agonis flexuosa
61=	76	Anthocercis littorea
61=	76	Hibbertia
61=	76	Lomandra sp.
65	75	Leptospermum scoparium
66	74	Grevillea levis
67	73	Keraudrenia cacaobrunnea
68=	72	Drosera stolonifera compacta
68=	72	freelingii
70=	71	Hibbertia cuneiformis
70=	71	Spermacoce
72=	70	Acacia victoriae
72=	70	Eucalyptus cordata
72=	70	Scaevola spinescens
75	67	Pityrodia loxocarpa
76	65	Drosera sp.
77=	64	Avicennia marina
77=	64	Eremophila interstans subsp. virgata
79=	63	Acacia brachystachya
79=	63	Atalaya hemiglauca
81=	62	Scholtzia leptantha
81=	62	Senecio lautus subsp. dissectifolius
81=	62	Solanum seaforthianum
81=	62	exilifolia
85=	61	Brachyscome ciliaris var. lanuginosa
85=	61	Melaleuca stereophloia
87	60	Solanum ashbyae
88	59	Halosarcia pergranulata subsp. pergranulata
89=	58	Cryptandra imbricata
89=	58	Malleostemon roseus
91=	57	Melaleuca sheathiana
91=	57	Sida pilbarensis
93=	56	Darwinia vestita
93=	56	Melaleuca systena
93=	56	Prostanthera eckersleyana
93=	56	elachophylla
97=	55	Lepidosperma
97=	55	Melaleuca hamulosa
97=	55	luteiflora
100=	54	Abutilon pritzelianum
100=	54	Calothamnus formosus subsp. formosus
100=	54	Drosera stolonifera
100=	54	Heteropogon contortus
100=	54	Olearia
100=	54	Olearia dampieri subsp. dampieri
106=	53	Kunzea ambigua
106=	53	Sida fibulifera
108=	52	Banksia
108=	52	Melhania
108=	52	Pileanthus vernicosus
108=	52	Scaevola crassifolia
108=	52	Trachymene coerulea
113=	51	Eremophila interstans
113=	51	Grevillea eriostachya
113=	51	Jacksonia horrida
116=	50	Abutilon otocarpum
116=	50	Melaleuca wilsonii
116=	50	Monotoca elliptica &#40;probably&#41;
119=	49	Ptilotus rotundifolius
119=	49	Scaevola
119=	49	lasiophyllum
122=	48	Dodonaea viscosa
122=	48	Drosera pallida
122=	48	Kunzea glabrescens
125=	47	Dodonaea viscosa subsp. angustissima_delete
125=	47	Scaevola basedowii
127=	46	Chenopodium pumilio
127=	46	Drosera scorpioides
127=	46	Ptilotus obovatus
127=	46	macdonnellii
131=	45	Acacia  subsp. sophorae
131=	45	Bursaria occidentalis
131=	45	Eriachne
134=	44	Callitris columellaris
134=	44	Cassytha
134=	44	Senecio sp.
134=	44	brevidens
138=	43	Acacia spirorbis
138=	43	Cassinia longifolia
138=	43	Enekbatus stowardii
138=	43	Thryptomene sp. Eneabba
138=	43	Thryptomene sp. lancelin &#40;m.e. trudgen 14000&#41;
138=	43	platycarpum
144=	42	Eremophila freelingii
144=	42	Monotoca glauca
144=	42	Sollya heterophylla
147=	41	Beyeria
147=	41	Dicrastylis fulva
147=	41	Phebalium
150=	40	Allocasuarina humilis
150=	40	Argyrodendron actinophyllum
150=	40	Baeckea uncinella
150=	40	Calotis erinacea
150=	40	Leptospermum laevigatum
