name	family	highertaxon	interaction	host name	host family	host highertaxon	source
Abracadabrella elegans	Salticidae	Araneae	Associate:Neutral	Avicennia marina	Verbenaceae	Dicotyledoneae	http://trin.org.au/pub/Mangroves/SemanticLinksReportList/discover.tsv Australian Mangrove and Saltmarsh Resource
Acalolepta holotephra	Cerambycidae	Coleoptera	Associate:Commensal:Inhabits	Avicennia marina	Verbenaceae	Dicotyledoneae	http://trin.org.au/pub/Mangroves/SemanticLinksReportList/discover.tsv Australian Mangrove and Saltmarsh Resource
Acanthus ilicifolius	Acanthaceae	Dicotyledoneae	Associate:Neutral	Acrostichum speciosum	Pteridaceae	Pteridophyta	http://trin.org.au/pub/Mangroves/SemanticLinksReportList/discover.tsv Australian Mangrove and Saltmarsh Resource
Acanthus ilicifolius	Acanthaceae	Dicotyledoneae	Associate:Neutral	Aegiceras corniculatum	Primulaceae	Dicotyledoneae	http://trin.org.au/pub/Mangroves/SemanticLinksReportList/discover.tsv Australian Mangrove and Saltmarsh Resource
Acanthus ilicifolius	Acanthaceae	Dicotyledoneae	Associate:Neutral	Avicennia integra	Acanthaceae	Dicotyledoneae	http://trin.org.au/pub/Mangroves/SemanticLinksReportList/discover.tsv Australian Mangrove and Saltmarsh Resource
Acanthus ilicifolius	Acanthaceae	Dicotyledoneae	Associate:Neutral	Avicennia marina	Verbenaceae	Dicotyledoneae	http://trin.org.au/pub/Mangroves/SemanticLinksReportList/discover.tsv Australian Mangrove and Saltmarsh Resource
Acanthus ilicifolius	Acanthaceae	Dicotyledoneae	Associate:Neutral	Bruguiera exaristata	Rhizophoraceae	Dicotyledoneae	http://trin.org.au/pub/Mangroves/SemanticLinksReportList/discover.tsv Australian Mangrove and Saltmarsh Resource
Acanthus ilicifolius	Acanthaceae	Dicotyledoneae	Associate:Neutral	Bruguiera gymnorhiza	Rhizophoraceae	Dicotyledoneae	http://trin.org.au/pub/Mangroves/SemanticLinksReportList/discover.tsv Australian Mangrove and Saltmarsh Resource
Acanthus ilicifolius	Acanthaceae	Dicotyledoneae	Associate:Neutral	Bruguiera parviflora	Rhizophoraceae	Dicotyledoneae	http://trin.org.au/pub/Mangroves/SemanticLinksReportList/discover.tsv Australian Mangrove and Saltmarsh Resource
Acanthus ilicifolius	Acanthaceae	Dicotyledoneae	Associate:Neutral	Bruguiera sexangula	Rhizophoraceae	Dicotyledoneae	http://trin.org.au/pub/Mangroves/SemanticLinksReportList/discover.tsv Australian Mangrove and Saltmarsh Resource
