rank	count	From
244=	1	Cerithium zonatum
244=	1	Chaenothecopsis kalbii
244=	1	Clypeomorus batillariaeformis
244=	1	Coccocarpia pellita
244=	1	Collema leucocarpum
244=	1	Cordia dichotoma
244=	1	Cornutispora lichenicola
244=	1	Cratiria lauricassiae
244=	1	Cryptothecia scripta
244=	1	Cryptovalsa halosarceicola
244=	1	Curculionoidea
244=	1	Cytospora rhizophorae
244=	1	Dalbergia candenatensis
244=	1	Danaus affinis
244=	1	Delias nigrina
244=	1	Delias nysa
244=	1	Dicaeum hirundinaceum
244=	1	Didymocantha obliqua
244=	1	Diorygma rufopruinosum
244=	1	Diospyros compacta
244=	1	Dirinaria aegialita
244=	1	Dirinaria purpurascens
244=	1	Ellobium
244=	1	Enterographa compunctula
244=	1	Eulabeornis castaneoventris
244=	1	Euphranta marina
244=	1	Euploea core
244=	1	Eutypa bathurstensis
244=	1	Eutypella naqsii
244=	1	Frullania rostrata
244=	1	Graphis aquilonia
244=	1	Graphis caesiella
244=	1	Graphis cincta
244=	1	Graphis furcata
244=	1	Graphis mucronata
244=	1	Graphis vinosa
244=	1	Haematomma accolens
244=	1	Halosarpheia fibrosa
244=	1	Haminoea
244=	1	Hasora hurama
244=	1	Heterodermia speciosa
244=	1	Heteropanope glabra
244=	1	Hypochrysops delicia
244=	1	Hypochrysops epicurus
244=	1	Hypochrysops ignita
244=	1	Hypolimnas bolina
244=	1	Hypotrachyna immaculata
244=	1	Hypotrachyna osseoalba
244=	1	Iravadia quadrasi
244=	1	Jackelixia elixii
244=	1	Jackelixia ligulata
244=	1	Jackelixia streimannii
244=	1	Julella avicenniae
244=	1	Kallichroma glabrum
244=	1	Lampona
244=	1	Leanobium
244=	1	Lecanora achroa
244=	1	Lecanora alba
244=	1	Lecanora arthothelinella
244=	1	Lecanora elatinoides
244=	1	Lecanora flavidofusca
244=	1	Lecanora flavopallida
244=	1	Lecanora leproplaca
244=	1	Lecanora pseudoargentata
244=	1	Leptogium coralloideum
244=	1	Leptogium faciifictum
244=	1	Lichenostomus fasciogularis
244=	1	Lulworthia longispora
244=	1	Lyrodus pedicellatus
244=	1	Mangrovispora pemphii
244=	1	Marinosphaera mangrovei
244=	1	Martesia striata
244=	1	Massarina lacertensis
244=	1	Melampus
244=	1	Melaspilea mangrovei
244=	1	Melobasis purpurascens
244=	1	Metzgeria furcata
244=	1	Mictyris livingstonei
244=	1	Mycocalicium americanum
244=	1	Myriotrema phaeosporum
244=	1	Myriotrema rugiferum
244=	1	Nacaduba kurava
244=	1	Neptunella longirostris
244=	1	Nerita planospira
244=	1	Neritina variegata
244=	1	Nia vibrissa
244=	1	Ocellularia confluens
244=	1	Ochrolechia gyrophorica
244=	1	Onchidium damelli
244=	1	Opegrapha agelaeotera
244=	1	Ophiobolus australiensis
244=	1	Pannaria elatior
244=	1	Pannaria elixii
244=	1	Pannaria mangroviana
244=	1	Paragrapsus gaimardii
244=	1	Parmelinopsis horrescens
244=	1	Parmotrema paracrinitum
244=	1	Parmotrema rampoddense
244=	1	Parmotrema subtinctorium
244=	1	Periconia prolifica
244=	1	Pertusaria atromaculata
244=	1	Pertusaria erythrella
244=	1	Pertusaria melaleucoides
244=	1	Pertusaria novaehollandiae
244=	1	Pertusaria paradoxica var paradoxica
244=	1	Pertusaria pertractata
244=	1	Pertusaria pertusella
244=	1	Pertusaria porinella
244=	1	Pertusaria pycnothelia
244=	1	Pertusaria texana
244=	1	Pertusaria thwaitesii
244=	1	Pertusaria undulata
244=	1	Pertusaria xanthonaria
244=	1	Phialophorophoma littoralis
244=	1	Phoracantha mitchelli
244=	1	Physcia adscendens
244=	1	Physcia atrostriata
244=	1	Physcia erumpens
244=	1	Physcia krogiae
244=	1	Physcia sorediosa
244=	1	Phytophthora nicotianae
244=	1	Pilumnus
244=	1	Polyrhachis machaon
244=	1	Polystigma sonneratiae
244=	1	Polyura sempronius
244=	1	Prosoplus bankii
244=	1	Pseudobothrideres
244=	1	Pseudoplites
244=	1	Pyrenographa irregularis
244=	1	Pyrenula concatervans
244=	1	Pyrenula microcarpa
244=	1	Pyrenula ochraceoflava
244=	1	Pyrenula quassiaecola
244=	1	Pyxine australiensis
244=	1	Pyxine fallax
244=	1	Pyxine pungens
244=	1	Ramalina canariensis
244=	1	Ramalina celastri celastri
244=	1	Ramalina fissa
244=	1	Ramalina glaucescens
244=	1	Ramalina inflata australis
244=	1	Ramalina inflata inflata
244=	1	Ramalina unilateralis
244=	1	Rebilus
244=	1	Relicina amphithrix
244=	1	Relicina connivens
244=	1	Relicina terricrocodilia
244=	1	Rhipidura dryas
