rank	count	N_AUTHOR
204=	1	Dehnh.
204=	1	Denis
204=	1	Desf. ex Pers.
204=	1	Desfontaines
204=	1	Desmoulinus
204=	1	Desnarest
204=	1	Dixon
204=	1	Dobson
204=	1	Donovan
204=	1	Döderlein
204=	1	Ehrh.
204=	1	Eldridge & Close
204=	1	Eschscholtz
204=	1	Ewart & Jean White
204=	1	F. Muell
204=	1	F. Muell ex Benth
204=	1	F. Muell. B. Hyland
204=	1	F. Muell. Radlk.
204=	1	F. Muell. and Maiden
204=	1	F. Muell. ex Miq.
204=	1	F.A.A. Meyer
204=	1	Fabricius
204=	1	Fitzinger & Heuglin
204=	1	Fleischer
204=	1	Forel
204=	1	Forrskål
204=	1	Forsskal
204=	1	Forster & G.Forster
204=	1	Froggatt
204=	1	Fry
204=	1	G.o. Sars
204=	1	Garman
204=	1	Geras. ex Symon.
204=	1	Graham
204=	1	Gravenhorst
204=	1	Griffith
204=	1	Griffith & Smith
204=	1	Griscom & Greenway
204=	1	Guenther
204=	1	Günter
204=	1	H. Milne Edwards
204=	1	Haddon & Shackleton
204=	1	Hara
204=	1	Haswell
204=	1	Herdman
204=	1	Heward ex Benth.
204=	1	Hill ex Maiden
204=	1	Hook.f.
204=	1	Iredale
204=	1	J. D. Hook
204=	1	J. König Ex Retz.
204=	1	J. White
204=	1	Johnston
204=	1	Jordan & Selae
204=	1	Jourdan
204=	1	Joy Thomps. & L.A.S.Johnson
204=	1	Kinahan
204=	1	Kinoshita
204=	1	Kirchenpauer
204=	1	Kner
204=	1	Kner & Steindacher
204=	1	Koehler
204=	1	Kraenzl.
204=	1	Kurz in Teijsm. & Binn.
204=	1	L.A.S.Johnson
204=	1	Lam.
204=	1	Last, Manjaji & Yearsley
204=	1	Lataste
204=	1	Layard
204=	1	Leisler
204=	1	Leske
204=	1	Lesueur
204=	1	Lewin
204=	1	Liem
204=	1	Lindley
204=	1	Linnaues
204=	1	Linnaueus
204=	1	Liénard
204=	1	Lour.
204=	1	Lowe
204=	1	M'Coy
204=	1	Maiden & Betche
204=	1	Maiden & Blakely
204=	1	Martin
204=	1	Maskell
204=	1	Maynes
204=	1	McGuigan
204=	1	Meinertzhagen
204=	1	Mertens
204=	1	Miers
204=	1	Mill.
204=	1	Milne Edwards
204=	1	Milne-Edwards & Haime
204=	1	Muell. Arg.
204=	1	Muller
204=	1	Muller & Henle
204=	1	Murphy & Harper
204=	1	Müller &  Henle
204=	1	Nees in Lehm.
204=	1	Neumann
204=	1	Nichols & Raven
204=	1	North
204=	1	O'Reilly
204=	1	Ord
204=	1	Osbeck
204=	1	Otto & A.Dietr.
204=	1	Pennant
204=	1	Perr
204=	1	Perry
204=	1	Perugia
204=	1	Poir.
204=	1	Preiss ex Meisn.
204=	1	Pucheran
204=	1	Péron & Lesueur
204=	1	R. Br
204=	1	RBr
204=	1	Rafinesque
204=	1	Richardson & Solander
204=	1	Rothschild
204=	1	Rowe, Hoggett, Birtles & Vail
204=	1	Roxb.
204=	1	Ruppius ex Suckow
204=	1	Rusby var. <I>nitidibaccatum</I>
204=	1	S.T.Blake
204=	1	Salisb.
204=	1	Salva
204=	1	Schlegel & Müller
204=	1	Schltdl.
204=	1	Schott
204=	1	Semper
204=	1	Sieber ex Spreng
204=	1	Smith & Schuster
204=	1	Sol.ex Gaertn.
204=	1	Sprengel
204=	1	Springer
204=	1	Sternfeld
204=	1	Stimpson
204=	1	Storr
204=	1	Stål
204=	1	Sw.
204=	1	Tanaka
204=	1	Tarragon
204=	1	Temminck & Kuhl
204=	1	Temminck & Laugier
204=	1	Temminck & Schlegel
204=	1	Temminick
204=	1	Ten.
204=	1	Thunb.
204=	1	Thunb. ex Murray
204=	1	Thw.
204=	1	Tilesius
204=	1	Tindale
204=	1	Traill
204=	1	Trouessart
204=	1	Vasey
204=	1	Venten.
204=	1	Versluys
204=	1	Vigors
204=	1	Voigt.
204=	1	Weber
204=	1	White, Last & Compagno
204=	1	coues
204=	1	linnaeus
204=	1	unknown

2665	TOTAL
