rank	count	N_SPECIES
232=	2	lanceolatum
232=	2	lapponica
232=	2	latus
232=	2	lentiginosus
232=	2	lessonii
232=	2	lesueur
232=	2	leucadendra
232=	2	leucopterus
232=	2	limbatus
232=	2	lobatus
232=	2	longiceps
232=	2	lophotes
232=	2	luehmannii
232=	2	lumholtzi
232=	2	maccullochi
232=	2	macdonnelliensis
232=	2	macroptera
232=	2	macropterus
232=	2	maculata
232=	2	magnus
232=	2	marinus
232=	2	melanocephalus
232=	2	melanoleucos
232=	2	melanopteros
232=	2	melanopterus
232=	2	mellori
232=	2	membranaceus
232=	2	meraukensis
232=	2	microstoma
232=	2	minuta
232=	2	minutus
232=	2	mitchellii
232=	2	monopterygium
232=	2	mucosa
232=	2	munroi
232=	2	murina
232=	2	naevosa
232=	2	nanus
232=	2	nematophorus
232=	2	neoguinaicus
232=	2	neohirsutus
232=	2	nobilis
232=	2	nodosa
232=	2	normanbyi
232=	2	norvegicus
232=	2	nucifera
232=	2	oldfieldii
232=	2	ornatus
232=	2	owstoni
232=	2	parviflora
232=	2	parvulus
232=	2	patagonicus
232=	2	pelagicus
232=	2	percoides
232=	2	persephone
232=	2	philomelos
232=	2	planiceps
232=	2	pleurogramma
232=	2	porphyrocephala
232=	2	portusjacksoni
232=	2	prostrata
232=	2	pycnantha
232=	2	quinquiflora
232=	2	radjah
232=	2	ramsayi
232=	2	reticulatus
232=	2	riparia
232=	2	rosamondae
232=	2	rubicunda
232=	2	rubricollis
232=	2	ruficollis
232=	2	sandvicensis
232=	2	sanguinea
232=	2	serrata
232=	2	spilota
232=	2	spinosa
232=	2	splendens
232=	2	spp
232=	2	spurius
232=	2	stenophylla
232=	2	stercusmuscarum
232=	2	stolidus
232=	2	sturtianum
232=	2	sturtii
232=	2	superciliosa
232=	2	tabacum
232=	2	tandanus
232=	2	tauvina
232=	2	temporalis
232=	2	tinnunculus
232=	2	tirica
232=	2	tomentosa
232=	2	typhlops
232=	2	uncinata
232=	2	undulata
232=	2	undulatum
232=	2	unicolor
232=	2	vagabundus
232=	2	versicolor
232=	2	victoriae
232=	2	vincentiana
232=	2	virgatus
232=	2	viscosa
232=	2	vittata
232=	2	vlaminghi
232=	2	vulpinus
232=	2	ypsilophora
232=	2	zeylandicum
232=	2	zonarius
425=	1	(?)glauca
425=	1	abbreviata
425=	1	acanthias
425=	1	acmenioides
425=	1	aculeata
425=	1	acuminata
425=	1	acuminatissima
425=	1	adeliae
425=	1	adeta
425=	1	admete
425=	1	adnata
425=	1	adscitus
425=	1	adversus
425=	1	aequipinnis
425=	1	aethereus
425=	1	aethiopicus
425=	1	afra
425=	1	albacares
425=	1	albinotus
425=	1	albogularis
425=	1	albonotata
425=	1	album
425=	1	alletteratus
425=	1	altivelis
425=	1	amblyrhynchos
425=	1	amboinensis
425=	1	americana
425=	1	ampullatus
425=	1	analis
425=	1	angustirostris
425=	1	antacticus
425=	1	aphyllus
425=	1	approximans
425=	1	aprepta
425=	1	apricaria
425=	1	apricarius
425=	1	aquaticus
425=	1	arctuata
425=	1	arcuata
425=	1	argentae
425=	1	arnhemica
425=	1	arquata
425=	1	artemisioides
425=	1	aspericollis
425=	1	asterias
425=	1	ater
425=	1	aterrimus
425=	1	atriceps
425=	1	atropus
425=	1	atun
425=	1	auda
425=	1	audax
425=	1	aulacocarpa
425=	1	aurea
425=	1	australasica
425=	1	australasicus
425=	1	australiae
425=	1	australica
425=	1	australiensis
425=	1	axillaris
425=	1	beccarii
425=	1	bellus
425=	1	bengalensis
425=	1	bennetti
425=	1	bennettianus
425=	1	bergii
425=	1	berigora
425=	1	bicinctus
425=	1	bidyanus
425=	1	bilarni
425=	1	bimaculatus
425=	1	bipinnulata
425=	1	boenak
425=	1	bougainille
425=	1	brachyptera
425=	1	bracteata
425=	1	brevifolia
425=	1	brevipes
425=	1	browni
425=	1	brunii
425=	1	bulleri
425=	1	bursapastoris
425=	1	butcheri
425=	1	caeruleus
425=	1	calabyi
425=	1	caledonicus
425=	1	callianassa
425=	1	calligastra
425=	1	canadum
425=	1	cancrivora
425=	1	canorus
425=	1	capitellata
425=	1	carcharias
425=	1	carcinophagus
425=	1	carinata
425=	1	carinatus
425=	1	carolinus
425=	1	carpinifolia
425=	1	carunculata
425=	1	caspia
425=	1	caudatus
425=	1	cerulea
425=	1	cervinus
425=	1	championiI
425=	1	chrysocephalus
425=	1	chrysolophus
425=	1	chrysostoma
425=	1	ciliata
425=	1	cinerasceus
425=	1	cirrocephalus
425=	1	clathroclada
425=	1	clavata
425=	1	clypeata
425=	1	coccinea
425=	1	coenensis
425=	1	collina
425=	1	columbianus
425=	1	communis
425=	1	comosus
425=	1	conatus
425=	1	concinna
425=	1	concinnus
425=	1	confertus
425=	1	conirostris
425=	1	corallinus
425=	1	corax
425=	1	coriacium
425=	1	corniculatus
425=	1	corymbosa
425=	1	crassicaudata
425=	1	crassispinum
425=	1	crebra
425=	1	crecca
425=	1	crenilabis
425=	1	cruciatus
425=	1	cuneifolia
