rank	count	N_FAMILY
162=	2	PRISTIDAE
162=	2	PSEUDOMUGILIDAE
162=	2	Potoroidae
162=	2	RHINIDAE
162=	2	ROSACEAE
162=	2	SAPINDACEAE
162=	2	SCARIDAE
162=	2	SCYLIORHINIDAE
162=	2	SEBASTIDAE
162=	2	STAPHYLINIDAE
162=	2	STRIGIDAE
162=	2	Sapindaceae
162=	2	Scincidae
162=	2	Suidae
162=	2	TRIGLIDAE
162=	2	ZANCLIDAE
162=	2	ZOANTHIDAE
234=	1	ACCIPITIDAE
234=	1	ACERACEAE
234=	1	ACROBATIDAE
234=	1	AEGIDAE
234=	1	AGAMIDAE
234=	1	ALAUDIDAE
234=	1	ALCEDINIDAE
234=	1	ALOPIIDAE
234=	1	AMBASSIDAE
234=	1	ANGUILLIDAE
234=	1	ASCLEPIADACEAE
234=	1	ASTELIACEAE
234=	1	ASTERIIDAE
234=	1	ASTROPECTINIDAE
234=	1	Acanthuridae
234=	1	Alangiaceae
234=	1	Anacardiaceae
234=	1	Araucariaceae
234=	1	Arecaceae
234=	1	Atherinidae
234=	1	BLATTIDAE
234=	1	BOPYRIDAE
234=	1	BOTHIDAE
234=	1	BRISINGIDAE
234=	1	BUXACEAE
234=	1	Bufonidae
234=	1	Burhinidae
234=	1	CAESALPINACEAE
234=	1	CAESALPINIACEAE
234=	1	CAPRIFOLIACEAE
234=	1	CERVIDAE
234=	1	CETORHINIDAE
234=	1	CHELONIIDAE
234=	1	CICONIIDAE
234=	1	CIPRINIDAE
234=	1	CLUSIACEAE
234=	1	CLYPEASTERIDAE
234=	1	COMPOSITAE
234=	1	CORCORACIDAE
234=	1	CRACTICIDAE
234=	1	CUNONIACEAE
234=	1	CYNOGLOSSIDAE
234=	1	CYPRINIDAE
234=	1	Campanulaceae
234=	1	Canidae
234=	1	Carangidae
234=	1	Carcharhinidae
234=	1	Casurinaceae
234=	1	Cerambycidae
234=	1	Chenopidiaceae
234=	1	Chenopodiaceae
234=	1	Cheonopodiaceae
234=	1	Colubirdae
234=	1	Columbidae
234=	1	Corcoracidae
234=	1	DICKSONIACEAE
234=	1	DIODONTIDAE
234=	1	DIOGENIDAE
234=	1	DROMAIIDAE
234=	1	Didemnidae
234=	1	ECHINASTERIDAE
234=	1	ELAPIDAE
234=	1	EMBALLONURIDAE
234=	1	ENGRAULIDAE
234=	1	EPACIRDACEAE
234=	1	EPHIPPIDAE
234=	1	EQUIDAE
234=	1	ERIOPHYIDAE
234=	1	EUPHORBIACAEA
234=	1	Equidae
234=	1	FUNGIACYATHIDAE
234=	1	Felidae
234=	1	GALAXIIDAE
234=	1	GALAXIINAE
234=	1	GEKKONIDAE
234=	1	GEMPYLIDAE
234=	1	GLAUCOSOMATIDAE
234=	1	GOBIIDAE
234=	1	GOODENIACEAE
234=	1	GRAMINAE
234=	1	GROSSULARIACEAE
234=	1	HAEMATOPODIDAE
234=	1	HAEMUILDAE
234=	1	HALCYONIDAE
234=	1	HEMIRAMPHIDAE
234=	1	HEXANCHIDAE
