rank	count	NAME_COMPLETE

1	18	Bemisia tabaci
2	8	Trialeurodes vaporariorum
3	6	Siphoninus phillyreae
4=	5	Actornithophilus umbrinus
4=	5	Menacanthus eurysternus
6=	4	Aleuroplatus pectiniferus
6=	4	Anaticola crassicornis crassicornis
6=	4	Bemisia giffardi
6=	4	Brueelia menuraelyrae
6=	4	Pseudomenopon pilosum
6=	4	Saemundssonia (Saemundssonia) conica conica
6=	4	Trabeculus schillingi
13=	3	Actornithophilus incisus
13=	3	Aleurocanthus spiniferus
13=	3	Aleyrodes proletella
13=	3	Ancistrona vagelli
13=	3	Ardeicola expallidus
13=	3	Austromenopon atrofulvum
13=	3	Austromenopon brevifimbriatum
13=	3	Cuclotogaster heterographus
13=	3	Cyamus boopis
13=	3	Icerya seychellarum seychellarum
13=	3	Menopon gallinae
13=	3	Pectinopygus dispar
13=	3	Porrorchis hylae
13=	3	Pterobothrium lintoni
13=	3	Struthiolipeurus struthionis
13=	3	Xenopsylla vexabilis
29=	2	Acanthopsylla pavida
29=	2	Acanthopsylla rothschildi rothschildi
29=	2	Actornithophilus ochraceus
29=	2	Actornithophilus piceus piceus
29=	2	Aleurocanthus woglumi
29=	2	Anaticola anseris
29=	2	Anaticola australis
29=	2	Ardeicola stellaris
29=	2	Armillifer australis
29=	2	Aulacaspis tubercularis
29=	2	Australiformis semoni
29=	2	Austramphilina elongata
29=	2	Austromenopon transversum
29=	2	Austrostrongylus macropodis
29=	2	Bedfordiella unica
29=	2	Bemisia afer
29=	2	Bombycirhynchus sphaerenaicum
29=	2	Boopia bettongia
29=	2	Boopia grandis
29=	2	Brueelia semiannulata
29=	2	Callipappus farinosus
29=	2	Capsaloides perugiai
29=	2	Carduiceps zonarius
29=	2	Chelopistes meleagridis
29=	2	Ciconiphilus decimfasciatus
29=	2	Colpocephalum fregili
29=	2	Colpocephalum turbinatum
29=	2	Columbicola columbae
29=	2	Cooperia pectinata
29=	2	Corynosoma hamanni
29=	2	Cuculicola acutus
29=	2	Cuculiphilus (Cuculiphilus) platygaster
29=	2	Cyamus catodontis
29=	2	Dahlemhornia asymmetrica
29=	2	Degeeriella fusca
29=	2	Dialeuropora decempuncta
29=	2	Diphyllobothrium arctocephalinum
29=	2	Docophoroides murphyi
29=	2	Eidmanniella albescens
29=	2	Eidmanniella pellucida
29=	2	Eucolpocephalum femorale
29=	2	Franciscoloa (Franciscoloa) pallida
29=	2	Goniodes australis
29=	2	Goniodes gigas
29=	2	Goniodes souefi
29=	2	Grillotia shipleyi
29=	2	Gyrocoelia australiensis
29=	2	Gyrocotyle maxima
29=	2	Haffneria grandis
29=	2	Halipeurus diversus
29=	2	Halipeurus gravis priapulus
29=	2	Hemiparonia cacatuae
29=	2	Holomenopon leucoxanthum
29=	2	Icerya nudata
29=	2	Incidifrons fulicae
29=	2	Kiricephalus pattoni
29=	2	Laemobothrion (Eulaemobothrion) atrum
29=	2	Linguatula serrata
29=	2	Lipeurus caponis
29=	2	Mediorhynchus alecturae
29=	2	Menacanthus alaudae
29=	2	Menacanthus stramineus
29=	2	Molicola uncinatus
29=	2	Neopolystoma kreffti
29=	2	Nycteribia alternata
29=	2	Paralinstowia semoni
29=	2	Parapsyllus magellanicus
29=	2	Parlatoria pittospori
29=	2	Pealius azaleae
29=	2	Pectinopygus bassani
29=	2	Pectinopygus turbinatus
29=	2	Pedibothrium veravalense
29=	2	Philopterus turdi
29=	2	Phyllobothrium magnum
29=	2	Piagetiella africana
29=	2	Porribius caminae
29=	2	Proemotobothrium linstowi
29=	2	Progamotaenia proterogyna
29=	2	Progynotaenia evaginata
29=	2	Pseudomenopon scopulacorne
29=	2	Pseudonirmus lugubris
29=	2	Pterobothrium heteracanthum
29=	2	Pygiopsylla zethi
29=	2	Quadraceps charadrii hospes
29=	2	Raillietiella hebitihamata
29=	2	Rallicola lugens
29=	2	Saemundssonia (Saemundssonia) antarctica
29=	2	Saemundssonia (Saemundssonia) conica naumanni
29=	2	Saemundssonia (Saemundssonia) integer
29=	2	Saemundssonia (Saemundssonia) tringae tringae
29=	2	Saemundssonia (Saemundssonia) uppalensis
29=	2	Spirometra erinaceieuropaei
29=	2	Teladorsagia circumcincta
29=	2	Xenopsylla cheopis
123=	1	Abgrallaspis cyanophylli
123=	1	Acanthobothrium adlardi
123=	1	Acanthobothrium angelae
123=	1	Acanthobothrium arlenae
123=	1	Acanthobothrium australe
123=	1	Acanthobothrium bartonae
123=	1	Acanthobothrium blairi
123=	1	Acanthobothrium bobconniorum
123=	1	Acanthobothrium brayi
123=	1	Acanthobothrium cannoni
123=	1	Acanthobothrium chisholmae
123=	1	Acanthobothrium clarkeae
123=	1	Acanthobothrium cribbi
123=	1	Acanthobothrium edmondsi
123=	1	Acanthobothrium gasseri
123=	1	Acanthobothrium gibsoni
123=	1	Acanthobothrium gloveri
123=	1	Acanthobothrium heterodonti
123=	1	Acanthobothrium hypermekkolpos
123=	1	Acanthobothrium jeanneae
123=	1	Acanthobothrium jonesi
123=	1	Acanthobothrium lasti
123=	1	Acanthobothrium laurenbrownae
123=	1	Acanthobothrium martini
123=	1	Acanthobothrium matttaylori
123=	1	Acanthobothrium mooreae
123=	1	Acanthobothrium nanogravidum
123=	1	Acanthobothrium ocallaghani
123=	1	Acanthobothrium odonoghuei
123=	1	Acanthobothrium pearsoni
123=	1	Acanthobothrium pichelinae
123=	1	Acanthobothrium rhynchobatidis
