rank	count	N_GENUS

1	164	Macropus
2	69	Acacia
3	49	Eucalyptus
4	41	Rattus
5	40	Petrogale
6	35	Casuarina
7=	33	Isoodon
7=	33	Thylogale
9	32	Antechinus
10=	31	Melaleuca
10=	31	Wallabia
12	25	Himantura
13=	20	Cygnus
13=	20	Dasyurus
15	18	Gallus
16=	16	Citrus
16=	16	Iridomyrmex
18=	15	Ovis
18=	15	Rhynchobatus
18=	15	Tachyglossus
21=	14	Bos
21=	14	Cacatua
21=	14	Diomedea
21=	14	Pastinachus
21=	14	Pterodroma
21=	14	Puffinus
21=	14	Siganus
21=	14	Sterna
21=	14	Trichosurus
30=	13	Calidris
30=	13	Melanotaenia
30=	13	Vanellus
33=	12	Anas
33=	12	Banksia
33=	12	Mustelus
33=	12	NULL
37=	11	Aetobatus
37=	11	Carcharhinus
37=	11	Charadrius
37=	11	Dasyatis
37=	11	Phalacrocorax
37=	11	Vombatus
43=	10	Acanthopagrus
43=	10	Dromaius
43=	10	Eremophila
43=	10	Euastacus
43=	10	Lagorchestes
43=	10	Leptospermum
43=	10	Myliobatis
43=	10	Platalea
51=	9	Allocasuarina
51=	9	Callistemon
51=	9	Corvus
51=	9	Egretta
51=	9	Lasiorhinus
51=	9	Litoria
51=	9	Melomys
51=	9	Mugil
51=	9	Perameles
51=	9	Taeniura
61=	8	Alectura
61=	8	Columba
61=	8	Emydura
61=	8	Fulica
61=	8	Macronectes
61=	8	Miniopterus
61=	8	Onychogalea
61=	8	Platycephalus
61=	8	Pluvialis
61=	8	Threskiornis
71=	7	Bettongia
71=	7	Canis
71=	7	Chaetodon
71=	7	Coturnix
71=	7	Ficus
71=	7	Gallinula
71=	7	Himantopus
71=	7	Larus
71=	7	Leipoa
71=	7	Neoarius
71=	7	Pelecanus
71=	7	Phaps
71=	7	Pittosporum
71=	7	Pseudomys
71=	7	Scomberomorus
86=	6	Callitris
86=	6	Capra
86=	6	Cherax
86=	6	Chrysophrys
86=	6	Dendrocygna
86=	6	Falco
86=	6	Fulmarus
86=	6	Hakea
86=	6	Menura
86=	6	Naso
86=	6	Potorous
86=	6	Pseudocheirus
86=	6	Saccharum
86=	6	Solanum
86=	6	Trygonorrhina
101=	5	Anseranas
101=	5	Aquila
101=	5	Arctocephalus
101=	5	Argyrosomus
101=	5	Avicennia
101=	5	Comanthus
101=	5	Crocodylus
101=	5	Dendrolagus
101=	5	Epinephelus
101=	5	Eudyptes
101=	5	Haematopus
101=	5	Hirundo
101=	5	Homo
101=	5	Hydromys
101=	5	Hydrurga
101=	5	Lutjanus
101=	5	Morelia
101=	5	Morus
101=	5	Nebrius
101=	5	Nothofagus
101=	5	Papyrius
101=	5	Pelecanoides
101=	5	Platycercus
101=	5	Pseudechis
101=	5	Scythrops
101=	5	Setonix
101=	5	Syzygium
101=	5	Urolophus
101=	5	Uromys
130=	4	Aepyprymnus
130=	4	Aldrichetta
130=	4	Aptychotrema
130=	4	Calyptorhynchus
130=	4	Camelus
130=	4	Cercartetus
130=	4	Cereopsis
130=	4	Chelodina
130=	4	Chiloscyllium
130=	4	Chlidonias
130=	4	Cinnamomum
130=	4	Circus
130=	4	Daption
130=	4	Equus
130=	4	Felis
130=	4	Hemibelideus
130=	4	Leptonychotes
130=	4	Lethrinus
130=	4	Macadamia
130=	4	Malurus
130=	4	Meleagris
130=	4	Mus
130=	4	Myrmecobius
130=	4	Nicotiana
130=	4	Numenius
130=	4	Oryctolagus
130=	4	Pachyptila
130=	4	Pandanus
130=	4	Pelagodroma
130=	4	Phaethon
130=	4	Plegadis
130=	4	Recurvirostra
130=	4	Rhinoptera
130=	4	Rhytidoponera
130=	4	Sillago
130=	4	Sminthopsis
130=	4	Sphyrna
130=	4	Sula
130=	4	Thalassoica
130=	4	Triodia
130=	4	Trygonoptera
130=	4	Zyzomys
172=	3	Accipiter
172=	3	Anous
172=	3	Anser
172=	3	Antedon
172=	3	Aptenodytes
172=	3	Araucaria
172=	3	Aspidites
172=	3	Austrelaps
172=	3	Biziura
172=	3	Botaurus
172=	3	Burhinus
172=	3	Craterocephalus
172=	3	Crinia
172=	3	Dacelo
172=	3	Daviesia
172=	3	Dryandra
172=	3	Engaeus
172=	3	Eugenia
172=	3	Euphorbia
172=	3	Glossopsitta
172=	3	Grus
172=	3	Gymnobelideus
172=	3	Gymnorhina
172=	3	Hemigaleus
172=	3	Hemipristis
172=	3	Hephaestus
172=	3	Hydrolagus
172=	3	Megapodius
172=	3	Megaptera
172=	3	Mola
172=	3	Mormopterus
172=	3	Neotrygon
172=	3	Pagodroma
172=	3	Petaurus
172=	3	Phascogale
172=	3	Polytelis
172=	3	Porphyrio
172=	3	Pristiophorus
172=	3	Psidium
172=	3	Ptilonorhynchus
172=	3	Rhina
172=	3	Rhinobatos
172=	3	Sarcophilus
172=	3	Scoteanax
172=	3	Seriola
172=	3	Seriolella
172=	3	Sphyraena
172=	3	Strepera
172=	3	Struthio
172=	3	Sturnus
172=	3	Sus
172=	3	Sutorectus
172=	3	Tadorna
172=	3	Turdus
172=	3	Varanus
172=	3	Vespadelus
172=	3	Xanthorrhoea
172=	3	Zosterops
230=	2	Acanthurus
230=	2	Achyranthes
230=	2	Alauda
230=	2	Amblyopone
230=	2	Amyema
230=	2	Aphaenogaster
230=	2	Ardea
230=	2	Arripis
230=	2	Athya
230=	2	Atriplex
230=	2	Aythya
230=	2	Barnardius
230=	2	Beyeria
230=	2	Bledius
230=	2	Brassica
230=	2	Brotogeris
230=	2	Camponotus
230=	2	Capreolus
230=	2	Carangoides
230=	2	Cassinia
230=	2	Catharacta
230=	2	Centropus
230=	2	Cephalopholis
230=	2	Chalinolobus
230=	2	Charybdis
230=	2	Chimaera
230=	2	Chionis
230=	2	Choerodon
230=	2	Chrysogorgia
230=	2	Cnidoglanis
230=	2	Cocos
230=	2	Codiaeum
230=	2	Corymbia
230=	2	Coryphaena
230=	2	Crematogaster
230=	2	Cyprinus
230=	2	Dendrelaphis
230=	2	Diagramma
230=	2	Diospyros
230=	2	Dissiliaria
230=	2	Dorcopsis
230=	2	Ducula
230=	2	Egernia
230=	2	Elaeocarpus
230=	2	Enchylaena
230=	2	Eremocitrus
230=	2	Erinaceus
230=	2	Eudyptula
230=	2	Euponera
230=	2	Exocarpus
230=	2	Fregata
230=	2	Galaxias
230=	2	Gallirallus
230=	2	Geijera
230=	2	Gerres
230=	2	Glaucostegus
