rank	count	cc_attributionURL
29=	2	http://biodiversity.org.au/afd.taxon/5451153d-d444-4883-aceb-542cc22c703b
29=	2	http://biodiversity.org.au/afd.taxon/56aa7973-756e-4557-9a48-7fb6fa3f1643
29=	2	http://biodiversity.org.au/afd.taxon/59e6485b-3451-4890-882f-214b0a3bf499
29=	2	http://biodiversity.org.au/afd.taxon/5cfd5eaf-bbca-4057-9740-23a23bbf8801
29=	2	http://biodiversity.org.au/afd.taxon/5dc2244e-1b11-4364-83d2-c328c4c89565
29=	2	http://biodiversity.org.au/afd.taxon/5f9f2964-6e5f-4a40-b4c3-19c034073c60
29=	2	http://biodiversity.org.au/afd.taxon/5fb7b18f-e033-4033-b7e4-2030fd7c00c4
29=	2	http://biodiversity.org.au/afd.taxon/6599b598-2091-4c01-8e10-a5b7365602f1
29=	2	http://biodiversity.org.au/afd.taxon/6a644b0e-793a-4f88-a8c7-3ba41b96e04e
29=	2	http://biodiversity.org.au/afd.taxon/6be36413-8b56-4671-bc7c-1f7df5686022
29=	2	http://biodiversity.org.au/afd.taxon/6eaff4e8-021c-4484-a512-86feebf3ea38
29=	2	http://biodiversity.org.au/afd.taxon/74a8c14f-31e8-4758-a511-979262230531
29=	2	http://biodiversity.org.au/afd.taxon/78488036-687d-4d1b-b412-180983750431
29=	2	http://biodiversity.org.au/afd.taxon/7a17712a-2a70-4b8f-8520-568ce25ddd5f
29=	2	http://biodiversity.org.au/afd.taxon/7a866f9e-4768-4c4c-8f5f-f355a6aac53c
29=	2	http://biodiversity.org.au/afd.taxon/7af9c6ae-9425-4a24-a420-bfb2fcfa6edd
29=	2	http://biodiversity.org.au/afd.taxon/7daf8ca7-304b-456e-9145-47793bcd24fb
29=	2	http://biodiversity.org.au/afd.taxon/83a4c53a-7b84-4e95-bcb8-98b66f876a7c
29=	2	http://biodiversity.org.au/afd.taxon/83ba1aae-3ea8-4a1e-a9b7-acfcbf3795de
29=	2	http://biodiversity.org.au/afd.taxon/8be06ecf-34a3-438f-a0e9-21585a340638
29=	2	http://biodiversity.org.au/afd.taxon/8c56801d-9398-4a3b-ab15-d8cb2e9979da
29=	2	http://biodiversity.org.au/afd.taxon/8caf956b-7fcf-442b-836c-1a14ca5dfaad
29=	2	http://biodiversity.org.au/afd.taxon/92311b17-e454-4da4-9165-5fe8350237df
29=	2	http://biodiversity.org.au/afd.taxon/96376974-c409-4086-8a3d-228ec5abb942
29=	2	http://biodiversity.org.au/afd.taxon/9693b849-d7ab-443c-a3e1-6c788ed6d914
29=	2	http://biodiversity.org.au/afd.taxon/abc5c910-ff1d-46e9-96c3-c68f49b4aa80
29=	2	http://biodiversity.org.au/afd.taxon/aeb8e2c3-03a8-41fb-bf51-ef8b26320781
29=	2	http://biodiversity.org.au/afd.taxon/b5ff1c8e-ebd5-41b1-af78-0582b403514c
29=	2	http://biodiversity.org.au/afd.taxon/bdca7ca2-b856-4169-9b38-1e88df891b2a
29=	2	http://biodiversity.org.au/afd.taxon/c151472f-1f29-4b08-9e20-bea9260e7046
29=	2	http://biodiversity.org.au/afd.taxon/c9e2a684-84f6-4aec-9a82-0cbbb4552e29
29=	2	http://biodiversity.org.au/afd.taxon/ca7554ba-8b58-4cdc-a8b7-6d130819ed3d
29=	2	http://biodiversity.org.au/afd.taxon/cc6a0cf1-29c7-445c-bbcd-6a839348f52d
29=	2	http://biodiversity.org.au/afd.taxon/cf242a83-16b7-4e3d-a39e-16b0f175bf89
29=	2	http://biodiversity.org.au/afd.taxon/d0a7fc40-bf42-4b79-9c0c-2dfa37f879df
29=	2	http://biodiversity.org.au/afd.taxon/d1b284fa-f20b-43b2-984d-e433b1541b24
29=	2	http://biodiversity.org.au/afd.taxon/d31b0e86-54ec-498c-8e3f-2d8fd983bb37
29=	2	http://biodiversity.org.au/afd.taxon/d32f8aa7-a82b-4f69-bc8f-bf869b170e73
29=	2	http://biodiversity.org.au/afd.taxon/d404fb53-c344-4a4e-8257-06691f20a497
29=	2	http://biodiversity.org.au/afd.taxon/d73e8b0f-a01f-42e2-82b5-d8ff33d7c9cd
29=	2	http://biodiversity.org.au/afd.taxon/d7400866-ed49-491f-97c1-a5827ea507a6
29=	2	http://biodiversity.org.au/afd.taxon/d79e17af-85b4-40d2-988d-0da2626303ee
29=	2	http://biodiversity.org.au/afd.taxon/d8941b1b-f66e-402c-bc5b-ed695eabeee8
29=	2	http://biodiversity.org.au/afd.taxon/db99d598-e943-412a-ae2e-420a2134c633
29=	2	http://biodiversity.org.au/afd.taxon/de7952f6-89ad-4571-b146-1570dcbfa4b2
29=	2	http://biodiversity.org.au/afd.taxon/e73e3abd-bfb6-4c3c-b9bb-5edf36e9560c
29=	2	http://biodiversity.org.au/afd.taxon/e79c0d27-b78e-492d-84b7-04efb3eaf126
29=	2	http://biodiversity.org.au/afd.taxon/e9330160-cc09-4d12-8f65-dfc582944da6
29=	2	http://biodiversity.org.au/afd.taxon/e99174d5-65d2-444b-92b9-727826ffb830
29=	2	http://biodiversity.org.au/afd.taxon/ebf8e2a0-3b26-425a-bb3b-164e81665244
29=	2	http://biodiversity.org.au/afd.taxon/f1c470df-d251-4337-b148-7d810058acfe
29=	2	http://biodiversity.org.au/afd.taxon/f2aaa314-0322-465c-8b58-2b9739ab51bc
29=	2	http://biodiversity.org.au/afd.taxon/f42c9116-531d-4c68-b5a9-1f747db315cd
29=	2	http://biodiversity.org.au/afd.taxon/f5f90d64-eb56-4b91-b027-421e1061eff3
29=	2	http://biodiversity.org.au/afd.taxon/f7e39645-0c31-44f8-bf7f-0d40f216dd0d
29=	2	http://biodiversity.org.au/afd.taxon/fb5a10a2-2aa1-4f9a-90a4-ed4e3705eb4d
29=	2	http://biodiversity.org.au/afd.taxon/fd265d18-0bd9-40ae-bb82-7ace0a616b5f
29=	2	http://biodiversity.org.au/afd.taxon/fd8b4e53-b699-48b1-8f20-2366b283e73b
29=	2	http://biodiversity.org.au/afd.taxon/fdf5c485-05c9-43e0-ad48-7899a26fb936
29=	2	http://biodiversity.org.au/afd.taxon/ff49f6e9-d0c8-4766-bea6-62a7648771b8
123=	1	http://biodiversity.org.au/afd.taxon/002559a3-9229-4d9b-9a89-723cc2c029d4
123=	1	http://biodiversity.org.au/afd.taxon/0048853b-b16d-41bd-9cd8-19a0c6dbed5c
123=	1	http://biodiversity.org.au/afd.taxon/004994a8-44ff-4b1e-b724-b7287b00f7e6
123=	1	http://biodiversity.org.au/afd.taxon/0059a81e-ddb2-4285-bee4-0e3b6849ab7a
123=	1	http://biodiversity.org.au/afd.taxon/006cbd6e-abaa-4ed1-a748-fd519df60eb4
123=	1	http://biodiversity.org.au/afd.taxon/0071efdc-142d-4d02-8309-3688715affc4
123=	1	http://biodiversity.org.au/afd.taxon/0083cad1-7ed0-4832-8c62-54191c77b9ed
123=	1	http://biodiversity.org.au/afd.taxon/0087172d-b5d5-492f-8d64-bb46a094cd0e
123=	1	http://biodiversity.org.au/afd.taxon/009ea8d3-2dec-46b0-b956-4223dd75dd1d
123=	1	http://biodiversity.org.au/afd.taxon/010dacc8-45d5-4c37-b281-68344ff9371e
123=	1	http://biodiversity.org.au/afd.taxon/01148ee3-7f1a-4296-9473-3bc37df85edb
123=	1	http://biodiversity.org.au/afd.taxon/01271eaf-2e97-41c5-97ad-27962e547c11
