rank	count	NAME_LSID

1	18	urn:lsid:biodiversity.org.au:afd.name:288281
2	8	urn:lsid:biodiversity.org.au:afd.name:444573
3	6	urn:lsid:biodiversity.org.au:afd.name:404341
4=	5	urn:lsid:biodiversity.org.au:afd.name:425841
4=	5	urn:lsid:biodiversity.org.au:afd.name:438854
6=	4	urn:lsid:biodiversity.org.au:afd.name:308670
6=	4	urn:lsid:biodiversity.org.au:afd.name:392646
6=	4	urn:lsid:biodiversity.org.au:afd.name:403137
6=	4	urn:lsid:biodiversity.org.au:afd.name:405731
6=	4	urn:lsid:biodiversity.org.au:afd.name:438911
6=	4	urn:lsid:biodiversity.org.au:afd.name:465478
6=	4	urn:lsid:biodiversity.org.au:afd.name:470971
13=	3	urn:lsid:biodiversity.org.au:afd.name:281211
13=	3	urn:lsid:biodiversity.org.au:afd.name:314692
13=	3	urn:lsid:biodiversity.org.au:afd.name:337061
13=	3	urn:lsid:biodiversity.org.au:afd.name:367103
13=	3	urn:lsid:biodiversity.org.au:afd.name:372933
13=	3	urn:lsid:biodiversity.org.au:afd.name:373719
13=	3	urn:lsid:biodiversity.org.au:afd.name:390246
13=	3	urn:lsid:biodiversity.org.au:afd.name:403270
13=	3	urn:lsid:biodiversity.org.au:afd.name:430830
13=	3	urn:lsid:biodiversity.org.au:afd.name:430922
13=	3	urn:lsid:biodiversity.org.au:afd.name:431558
13=	3	urn:lsid:biodiversity.org.au:afd.name:450087
13=	3	urn:lsid:biodiversity.org.au:afd.name:454853
13=	3	urn:lsid:biodiversity.org.au:afd.name:455331
13=	3	urn:lsid:biodiversity.org.au:afd.name:483618
13=	3	urn:lsid:biodiversity.org.au:afd.name:527866
29=	2	urn:lsid:biodiversity.org.au:afd.name:272570
29=	2	urn:lsid:biodiversity.org.au:afd.name:282758
29=	2	urn:lsid:biodiversity.org.au:afd.name:288424
29=	2	urn:lsid:biodiversity.org.au:afd.name:290786
29=	2	urn:lsid:biodiversity.org.au:afd.name:300636
29=	2	urn:lsid:biodiversity.org.au:afd.name:303992
29=	2	urn:lsid:biodiversity.org.au:afd.name:308910
29=	2	urn:lsid:biodiversity.org.au:afd.name:314129
29=	2	urn:lsid:biodiversity.org.au:afd.name:317701
29=	2	urn:lsid:biodiversity.org.au:afd.name:321245
29=	2	urn:lsid:biodiversity.org.au:afd.name:324460
29=	2	urn:lsid:biodiversity.org.au:afd.name:324539
29=	2	urn:lsid:biodiversity.org.au:afd.name:324791
29=	2	urn:lsid:biodiversity.org.au:afd.name:326985
29=	2	urn:lsid:biodiversity.org.au:afd.name:327036
29=	2	urn:lsid:biodiversity.org.au:afd.name:332078
