rank	count	N_NAME
133=	3	Seriolella brama
133=	3	Siganus fuscescens
133=	3	Sphyraena obtusata
133=	3	Sphyrna mokarran
133=	3	Struthio camelus
133=	3	Sturnus vulgaris
133=	3	Sus scrofa
133=	3	Sutorectus tentaculatus
133=	3	Syzygium sp.
133=	3	Threskiornis spinicollis
133=	3	Trichosurus caninus
133=	3	Triodia
133=	3	Trygonoptera testacea
133=	3	Vanellus novaehollandiae
133=	3	Vespadelus pumilus
220=	2	Acacia aneura
220=	2	Acacia baileyana
220=	2	Acacia bidwillii
220=	2	Acacia macdonnelliensis
220=	2	Acacia pycnantha
220=	2	Acacia stenophylla
220=	2	Acanthopagrus berda
220=	2	Acanthopagrus latus
220=	2	Achyranthes aspera
220=	2	Alauda arvensis
220=	2	Alectura lathami
220=	2	Allocasuarina campestris
220=	2	Allocasuarina dielsiana
220=	2	Amblyopone australis
220=	2	Anas (Anas) superciliosa
220=	2	Aphaenogaster longiceps
220=	2	Aptenodytes patagonicus
220=	2	Aptychotrema rostrata
220=	2	Aptychotrema vincentiana
220=	2	Aspidites ramsayi
220=	2	Athya australis
220=	2	Aythya australis
220=	2	Barnardius zonarius
220=	2	Bettongia lesueur
220=	2	Bettongia penicillata
220=	2	Bledius sp.
220=	2	Botaurus lentiginosus
220=	2	Brassica sp.
220=	2	Brotogeris tirica
220=	2	Calidris alba
220=	2	Calidris canutus
220=	2	Calidris tenuirostris
220=	2	Callistemon
220=	2	Callistemon viminalis
220=	2	Capreolus capreolus
220=	2	Carangoides fulvoguttatus
220=	2	Carcharhinus brachyurus
220=	2	Carcharhinus limbatus
220=	2	Carcharhinus melanopteros
220=	2	Carcharhinus melanopterus
220=	2	Casuarina equisetifolia
220=	2	Casuarina glauca
220=	2	Casuarina luehmannii
220=	2	Chaetodon vagabundus
220=	2	Chionis minor nasicornis
220=	2	Chlidonias leucopterus
220=	2	Cinnamomum sp.
220=	2	Cinnamomum zeylandicum
220=	2	Cocos nucifera
220=	2	Columba livia domestica
220=	2	Corvus mellori
220=	2	Coryphaena hippurus
220=	2	Coturnix ypsilophora australis
220=	2	Craterocephalus stercusmuscarum stercusmuscarum
220=	2	Crematogaster laeviceps
220=	2	Cyprinus carpio
220=	2	Dasyatis akajei
220=	2	Dasyatis centroura
220=	2	Dasyatis sp.
220=	2	Dendrolagus lumholtzi
220=	2	Diomedea albatrus
220=	2	Dissiliaria baloghioides
220=	2	Egretta alba
220=	2	Emydura macquarii krefftii
220=	2	Emydura macquarii signata
220=	2	Enchylaena tomentosa
220=	2	Engaeus parvulus
220=	2	Epinephelus tauvina
220=	2	Equus asinus
220=	2	Equus caballus
220=	2	Eremocitrus glauca
220=	2	Eremophila mitchellii
220=	2	Eremophila sturtii
220=	2	Erinaceus europaeus
220=	2	Euastacus crassus
220=	2	Euastacus neohirsutus
220=	2	Euastacus nobilis
220=	2	Euastacus sp.
220=	2	Eucalyptus camaldulensis
220=	2	Eucalyptus camaldulensis x grandis
220=	2	Eucalyptus cosmophylla
220=	2	Eudyptula minor novaehollandiae
220=	2	Euponera lutea
220=	2	Ficus sp.
220=	2	Fregata minor
220=	2	Fulmarus glacialis
220=	2	Fulmarus glacialis glacialis
220=	2	Fulmarus glacialoides
220=	2	Geijera parviflora
220=	2	Glaucostegus typus
220=	2	Glossopsitta porphyrocephala
220=	2	Gossypium sp.
220=	2	Grus rubicunda
220=	2	Haematopus ostralegus
220=	2	Hemidactylus frenatus
220=	2	Hemigaleus microstoma
220=	2	Hemiphaga novaeseelandiae spadicea
220=	2	Hephaestus carbo
220=	2	Heterodontus portusjacksoni
220=	2	Heterometra crenulata
220=	2	Himantopus himantopus himantopus
220=	2	Himantura sp.
220=	2	Himantura undulata
220=	2	Hirundo rustica
220=	2	Hypnos monopterygium
220=	2	Iridomyrmex gracilis
220=	2	Lates calcarifer
220=	2	Latridopsis forsteri
220=	2	Leporillus conditor
220=	2	Litoria caerulea
220=	2	Litoria moorei
220=	2	Litsea dealbata
220=	2	Macadamia sp.
220=	2	Macrochelodina expansa
220=	2	Macropus bernardus
220=	2	Macropus fuliginosus melanops
220=	2	Malurus cyaneus
220=	2	Mangifera indica
220=	2	Manihot sp.
220=	2	Marilyna meraukensis
220=	2	Melaleuca leucadendra
220=	2	Melaleuca nodosa
220=	2	Melaleuca uncinata
220=	2	Melanotaenia maccullochi
220=	2	Meleagris gallopavo
220=	2	Meleagris gallopavo gallopavo
220=	2	Melomys sp.
220=	2	Mitsukurina owstoni
220=	2	Monotoca elliptica
220=	2	Morelia amethistina
220=	2	Mormopterus planiceps
220=	2	Morus bassanus
220=	2	Morus serrator
220=	2	Naso brevirostris
220=	2	Negaprion acutidens
220=	2	Nemadactylus macropterus
220=	2	Nematalosa vlaminghi
220=	2	Nicotiana tabacum
220=	2	Nicotiniana sp.
220=	2	Nothofagus moorei
220=	2	Notoryctes typhlops
220=	2	Ocyphaps lophotes
220=	2	Orectolobus maculatus
220=	2	Pachycondyla lutea
220=	2	Pastinachus atrus
220=	2	Pavo cristatus
220=	2	Petaurus breviceps
220=	2	Petrogale inornata
220=	2	Petrogale penicillata
220=	2	Petrogale persephone
220=	2	Phalacrocorax carbo
220=	2	Phalacrocorax varius
220=	2	Phasianus colchicus
220=	2	Phillyrea latifolia
220=	2	Physeter catodon
220=	2	Pittosporum eugenoides
220=	2	Pittosporum undulatum
220=	2	Platycephalus arenarius
220=	2	Plectropomus maculatus
220=	2	Plegadis falcinellus
220=	2	Plegadis falcinellus falcinellus
220=	2	Pluvialis fulva
220=	2	Polytelis anthopeplus
220=	2	Procellaria aequinoctialis
220=	2	Pseudocaranx dentex
220=	2	Pseudorca crassidens
220=	2	Psidium guajava
220=	2	Pterodroma (Pterodroma) lessonii
220=	2	Pterodroma brevirostris
220=	2	Pterodroma macroptera
220=	2	Ptyas mucosa
220=	2	Puffinus carneipes
220=	2	Puffinus pacificus chlororhynchus
220=	2	Purpureicephalus spurius
220=	2	Rattus exulans
220=	2	Rattus norvegicus
220=	2	Rhinobatos typus
220=	2	Rhododendron sp.
220=	2	Rhynchobatus sp.
220=	2	Santalum lanceolatum
220=	2	Sarcocornia quinquiflora
220=	2	Sclerolaena dicantha
220=	2	Scolopia braunii
220=	2	Scomberomorus munroi
220=	2	Seriola lalandi
220=	2	Siganus canaliculatus
220=	2	Siganus lineatus
220=	2	Siganus punctatus
220=	2	Sminthopsis murina
220=	2	Solanum sturtianum
220=	2	Sphecotheres viridis
220=	2	Sterna albifrons albifrons
220=	2	Sterna hirundo hirundo
220=	2	Sterna sandvicensis
220=	2	Stictonetta naevosa
220=	2	Strepera graculina
220=	2	Struthidea cinerea
220=	2	Sula leucogaster
220=	2	Symphorus nematophorus
220=	2	Syzygium smithii
220=	2	Tadorna radjah
220=	2	Tandanus tandanus
220=	2	Tecticornia arbuscula
220=	2	Thinornis rubricollis
220=	2	Threskiornis molucca
220=	2	Torquigener pleurogramma
220=	2	Urolophus lobatus
220=	2	Vanellus (Lobivanellus) tricolor
220=	2	Vanellus miles novaehollandiae
220=	2	Varanus gouldii
220=	2	Zanclus cornutus
220=	2	Zosterops lateralis
220=	2	Zyzomys argurus
220=	2	Zyzomys woodwardi
434=	1	Acacia aprepta
434=	1	Acacia aulacocarpa
434=	1	Acacia cyclops
434=	1	Acacia enervia enervia
434=	1	Acacia eriopoda
434=	1	Acacia huegelii
434=	1	Acacia linifolia
434=	1	Acacia macdonellensis
434=	1	Acacia mackeyana
434=	1	Acacia mearnsi
434=	1	Acacia melanoxylon
434=	1	Acacia melvillei
434=	1	Acacia oldfieldii
434=	1	Acacia oshanesii
434=	1	Acacia papyrocarpa
434=	1	Acacia papyrophylla
434=	1	Acacia pentadenia
434=	1	Acacia pulchella
434=	1	Acacia retinoides
434=	1	Acacia rubida
434=	1	Acacia saligna
434=	1	Acacia victoriae
434=	1	Acacia xanthina
434=	1	Acanthias vulgaris
434=	1	Acanthiza ewingii
434=	1	Acanthopagrus butcheri
434=	1	Acanthornis magnus
434=	1	Acanthurus lineatus
434=	1	Acanthurus olivaceus
434=	1	Accipeter (Leucospiza) novaehollandiae
434=	1	Accipiter (Paraspizias) cirrocephalus
434=	1	Accipiter gentilis gentilis
434=	1	Accipiter sp.
434=	1	Acer dasycarpum
434=	1	Acomys cinerasceus
434=	1	Acrobates pygmaeus
434=	1	Acronychia laevis
434=	1	Actinometra spp
434=	1	Aega cyclops
434=	1	Aegotheles (Aegotheles) cristatus
434=	1	Aetobatis narinari
434=	1	Aetobatus fremenvilli
434=	1	Aetobatus narnari
434=	1	Agathis robusta
434=	1	Agonis flexuosa
434=	1	Alangium villosum
434=	1	Aldrichetta fosteri
434=	1	Alectryon oleifolius
434=	1	Aleurocanthus t-signatus
434=	1	Aleuroduplidens wellsae
434=	1	Allocasuarina huegeliana
434=	1	Allocasuarina torulosa
434=	1	Allostichaster polyplax
434=	1	Allosyncarpia ternata
434=	1	Alniphagus aspericollis
434=	1	Alopias vulpinus
434=	1	Amaurornis phoenicurus
434=	1	Ambassis jacksoniensis
434=	1	Amitermes vitiosus
434=	1	Amyema nestor
434=	1	Amyema sanguinea
434=	1	Anacardium occidentale
434=	1	Anampses neoguinaicus
434=	1	Ananas comosus
434=	1	Anapses neoguinaicus
434=	1	Anas clypeata
434=	1	Anas crecca crecca
434=	1	Anas gracilis
434=	1	Andropogon nardus
434=	1	Angophora sp.
434=	1	Anguilla reinhardtii
434=	1	Anhinga melanogaster rufa
434=	1	Anonychomyrma itinerans
434=	1	Anous minutus melanogenys
434=	1	Anous stolidus
434=	1	Anous stolidus pileatus
434=	1	Anoxypristis cuspidata
434=	1	Anser anser
434=	1	Anser anser anser
434=	1	Anser sp.
434=	1	Antechinomys laniger
434=	1	Antechinus bellus
434=	1	Antechinus bilarni
434=	1	Antechinus minimus
434=	1	Antechinus rosamondae
434=	1	Antechinus sp
434=	1	Antechinus sp.
434=	1	Antedon insignis
434=	1	Antedon sp.
434=	1	Antedon spp
434=	1	Anthocercis littorea
434=	1	Anthochaera carunculata
434=	1	Anthus novaeseelandiae
434=	1	Apristurus sp.
434=	1	Aptenodytes forsteri
434=	1	Aquila auda
434=	1	Aquila audax
434=	1	Arctocephalus forsteri
434=	1	Arctocephalus gazella
434=	1	Ardea alba
434=	1	Ardea ibis
434=	1	Arenaria interpres
434=	1	Argyrosomus japonicus
434=	1	Arius graeffei
434=	1	Arothron hispidus
434=	1	Arripis georgianus
434=	1	Arripis trutta
434=	1	Artocarpus communis
434=	1	Aspidistra sp.
434=	1	Aspidites melanocephalus
434=	1	Astacopsis sp.
434=	1	Astronia sp.
434=	1	Astropecten granulatus
434=	1	Athene noctua noctua
434=	1	Atriplex sp.
434=	1	Atriplex vesicaria
434=	1	Atropus atropus
434=	1	Aulochone clathroclada
434=	1	Auxis rochei
434=	1	Balaenoptera physalus
434=	1	Balanophyllia carinata
434=	1	Bambusa arnhemica
434=	1	Banksia coccinea
434=	1	Banksia grandis
434=	1	Banksia ilicifolia
434=	1	Banksia marginata
434=	1	Banksia robur
434=	1	Banksia serrata
434=	1	Banksia sessilis
434=	1	Banksia sp.
434=	1	Belone schismatorhynchus
434=	1	Beryx splendens
434=	1	Beyeria sp.
434=	1	Beyeria viscosa
434=	1	Bidyanus bidyanus
434=	1	Bodianus axillaris
434=	1	Botaurus stellaris stellaris
434=	1	Bothriomyrmex sp.
434=	1	Brachychiton populneus
434=	1	Brisinga evermanni
434=	1	Bruguiera gymnorhiza
434=	1	Buchanania lanzan
434=	1	Bufo marinus
434=	1	Burhinus magnirostris
434=	1	Burhinus oedicnemus indicus
434=	1	Burhinus senegalensis
434=	1	Bursaria spinosa
434=	1	Buxus sempervirens
434=	1	Cacatua galerita triton
434=	1	Cacatua leadbeateri
